match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_shotOffTarget,stat_unsuccessfulTouch,stat_clearanceOffLine,stat_errorLeadToAGoal,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_accurateCross,stat_totalOffside
14025156,home,Aston Villa,Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195.0,61053,M,EmiMartínez,158263,EUR,715392000,G,23,23,False,43.0,28.0,28.0,13.0,0.0,18.0,20.0,10.0,23.0,1.0,1.0,9.0,1.0,1.0,2.0,7.0,1.0,1.0,90.0,57.0,7.6,15.0,0.0041494,52.861664122398,10.0,8.82,4.305,0.383,0,1.0719,0.15,-0.06,-0.07,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025156,home,Aston Villa,Matty Cash,matty-cash,M. Cash,D,2,185.0,9380,M,mattycash622,833956,EUR,870912000,D,2,2,False,32.0,28.0,4.0,1.0,0.0,14.0,15.0,14.0,17.0,3.0,4.0,1.0,,,,,,,87.0,51.0,7.8,11.0,0.0506842,58.120323268013,10.0,-20.37,6.09,,2,,0.08,-0.23,-0.13,,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2512,0.1326,1.0,0.55,,,,,,,,,,,,,,,,
14025156,home,Aston Villa,Ezri Konsa,ezri-konsa,E. Konsa,D,4,183.0,3197,M,,827679,EUR,877564800,D,4,4,False,44.0,44.0,1.0,1.0,0.0,28.0,28.0,16.0,16.0,1.0,5.0,4.0,,1.0,,,,,90.0,51.0,6.6,,0.00542661,126.55663977762,18.0,17.955,13.755,,0,,0.03,0.08,-0.04,,,,2.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
14025156,home,Aston Villa,Pau Torres,pau-torres,P. Torres,D,14,192.0,4099,M,pauttorres,864169,EUR,853372800,D,14,14,False,48.0,41.0,7.0,5.0,0.0,24.0,29.0,17.0,19.0,4.0,2.0,5.0,1.0,1.0,,,,,86.0,58.0,6.9,10.0,0.0152423,167.93209129512,20.0,74.76,16.8,,0,,0.26,0.14,-0.21,,1.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,
14025156,home,Aston Villa,Ian Maatsen,ian-maatsen,I. Maatsen,D,22,178.0,5464,M,maatsen_,976263,EUR,1015718400,D,22,22,False,26.0,20.0,1.0,1.0,0.0,9.0,11.0,11.0,15.0,7.0,3.0,2.0,,2.0,,,,,90.0,53.0,6.4,16.0,0.0274219,168.60620578018,14.0,121.8,48.09,,1,,-0.19,0.11,-0.22,,1.0,1.0,5.0,2.0,,,,,1.0,1.0,2.0,0.048,,,-0.05,,,1.0,,3.0,3.0,,1.0,5.0,,,,,,,
14025156,home,Aston Villa,Boubacar Kamara,boubacar-kamara,B. Kamara,M,44,184.0,3386,M,,826204,EUR,943315200,M,44,44,False,46.0,42.0,2.0,2.0,1.0,17.0,17.0,25.0,29.0,5.0,,6.0,,,,,,,90.0,60.0,7.6,6.0,0.0404365,114.52830339283,15.0,42.63,14.07,,1,,-0.12,0.39,0.18,,,,3.0,1.0,,1.0,,1.0,4.0,2.0,,0.0884,,1.0,-0.41,,,,,3.0,1.0,1.0,,,1.0,,,,,,
14025156,home,Aston Villa,Amadou Onana,amadou-onana,A. Onana,M,24,195.0,7180,M,its_onana,923973,EUR,997920000,M,24,24,False,28.0,26.0,3.0,2.0,0.0,11.0,11.0,15.0,17.0,3.0,3.0,4.0,1.0,,,,,,75.0,37.0,6.3,3.0,0.0158333,86.110582303797,12.0,29.295,19.845,,0,,0.04,0.17,-0.44,,,1.0,1.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,
14025156,home,Aston Villa,John McGinn,john-mcginn,J. McGinn,M,7,175.0,3895,M,,250223,EUR,782438400,M,7,7,False,19.0,14.0,3.0,3.0,0.0,5.0,8.0,9.0,11.0,3.0,1.0,1.0,,1.0,,,,,75.0,30.0,6.6,11.0,0.0177207,123.63104512723,11.0,31.92,10.605,,0,,0.07,0.27,-0.06,,3.0,1.0,7.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,,3.0,2.0,,,,,1.0,,,True,1.0,,,
14025156,home,Aston Villa,Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177.0,9789,M,youritielemans,331737,EUR,862963200,M,8,8,False,35.0,28.0,3.0,1.0,0.0,11.0,12.0,17.0,23.0,4.0,,6.0,,1.0,,,,,90.0,52.0,6.5,13.0,0.142757,52.848855879313,10.0,16.8,7.875,,2,,0.48,0.09,0.14,,2.0,,6.0,1.0,1.0,1.0,,1.0,3.0,2.0,1.0,0.3449,0.4433,1.0,-0.89,,,1.0,2.0,1.0,,,,1.0,,,,,1.0,,
14025156,home,Aston Villa,Morgan Rogers,morgan-rogers,M. Rogers,M,27,187.0,13638,M,mrogers,948261,EUR,1027641600,M,27,27,False,34.0,25.0,3.0,1.0,0.0,6.0,7.0,19.0,27.0,4.0,2.0,3.0,1.0,1.0,,,,,90.0,56.0,6.8,19.0,0.172794,213.92231296962,20.0,165.375,34.125,,1,,0.57,0.49,-0.15,,3.0,1.0,11.0,,1.0,,,1.0,1.0,1.0,3.0,0.0398,0.1553,2.0,-0.52,,,5.0,,4.0,1.0,,,5.0,,,,,,1.0,
