match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_clearanceOffLine,stat_outfielderBlock,stat_wasFouled,stat_totalOffside,stat_unsuccessfulTouch,stat_challengeLost,stat_accurateCross,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,player_sofascoreId,stat_dispossessed,stat_fouls,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_bigChanceMissed
12450897,home,Stade de Reims,Yehvann Diouf,,,yehvann-diouf,Y. Diouf,G,80,188.0,2968,M,845183,EUR,942710400,G,94,94,False,True,44.0,15.0,38.0,9.0,0.0,10.0,10.0,5.0,34.0,20.0,5.0,1.0,5.0,90.0,59.0,7.4,29.0,0.00165043,0,0.3494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450897,home,Stade de Reims,Aurélio Buta,,,aurelio-buta,A. Buta,D,17,169.0,489,M,357752,EUR,855532800,D,23,23,False,,11.0,9.0,2.0,,0.0,6.0,7.0,3.0,5.0,1.0,,,,73.0,24.0,6.9,4.0,0.00428691,0,,1.0,2.0,2.0,2.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12450897,home,Stade de Reims,Cédric Kipré,,,cedric-kipre,C. Kipré,D,4,196.0,670,M,886802,EUR,850089600,D,21,21,False,,15.0,9.0,6.0,1.0,0.0,8.0,10.0,1.0,5.0,1.0,,,,90.0,37.0,8.0,6.0,0.00073725,0,,,1.0,,1.0,3.0,,,10.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,
12450897,home,Stade de Reims,Joseph Okumu,,,joseph-okumu,J. Okumu,D,2,193.0,662,M,985933,EUR,864604800,D,2,2,False,,32.0,23.0,11.0,4.0,0.0,17.0,21.0,6.0,11.0,3.0,,,,90.0,51.0,7.0,10.0,0.00109678,0,,,,,,,,,14.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
12450897,home,Stade de Reims,Mory Gbane,,,gbane-mory,M. Gbane,M,24,188.0,509,M,1003400,EUR,977702400,D,24,24,False,,12.0,7.0,2.0,,0.0,4.0,8.0,3.0,4.0,3.0,,,,90.0,23.0,6.9,5.0,0.00391473,0,,,,1.0,1.0,4.0,2.0,2.0,6.0,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,
12450897,home,Stade de Reims,Sergio Akieme,,,sergio-akieme,S. Akieme,D,18,175.0,293,M,827942,EUR,882230400,D,18,18,False,,15.0,9.0,4.0,,0.0,7.0,10.0,3.0,6.0,7.0,,,,90.0,25.0,7.1,6.0,0.0454954,1,,1.0,1.0,1.0,2.0,2.0,,,2.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.0194,1.0,,,,,,,,,,,
12450897,home,Stade de Reims,Junya Ito,,,junya-ito,J. Ito,M,10,176.0,4867,M,783278,EUR,731635200,M,7,7,False,,21.0,11.0,1.0,1.0,0.0,7.0,12.0,4.0,9.0,7.0,,,,90.0,38.0,6.6,16.0,0.0222281,0,,,5.0,,9.0,6.0,1.0,,1.0,,5.0,3.0,,,1.0,,3.0,1.0,,,,1.0,ItouJky,1.0,1.0,,,,,,,,
12450897,home,Stade de Reims,Valentin Atangana Edoa,Valentin Atangana Edoa,,atangana-edoa-valentin,V. A. Edoa,M,6,173.0,1036,M,1154611,EUR,1124928000,M,6,6,False,,10.0,5.0,,,0.0,3.0,4.0,2.0,6.0,,,,,90.0,25.0,7.5,7.0,0.00029474,2,,,1.0,2.0,3.0,4.0,,,7.0,1.0,1.0,1.0,,,1.0,,2.0,,,,0.4691,,,,2.0,2.0,1.0,0.4555,,,,,
12450897,home,Stade de Reims,Amadou Koné,,,kone-amadou,A. Kone,M,72,178.0,751,M,1586875,EUR,1116028800,M,72,72,False,,12.0,8.0,1.0,,0.0,7.0,8.0,1.0,4.0,4.0,,,,73.0,32.0,6.9,6.0,0.00025149,0,,,1.0,,2.0,6.0,,,8.0,1.0,3.0,2.0,,,3.0,,2.0,,,,,,,,1.0,,,,1.0,,,,
12450897,home,Stade de Reims,Mamadou Diakhon,,,diakhon-mamadou,M. Diakhon,F,67,180.0,1701,M,1495876,EUR,1127347200,M,67,67,False,,3.0,2.0,,,1.0,,1.0,2.0,2.0,,,,,59.0,12.0,7.7,5.0,0.0180465,1,,,2.0,,4.0,,,,1.0,,,,,,,,2.0,,,,0.3053,1.0,,2.0,,1.0,1.0,0.8848,,,,,
