match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_wasFouled,stat_totalCross,player_sofascoreId,stat_accurateCross,player_firstName,player_lastName,stat_challengeLost,stat_goals,captain,stat_bigChanceCreated,stat_totalOffside
13981573,home,Torino,Alberto Paleari,alberto-paleari,A. Paleari,G,1,192,344,M,259281,EUR,715046400,G,1,1,False,39.0,19.0,28.0,9.0,0.0,12.0,15.0,7.0,24.0,2.0,2.0,3.0,16.0,2.0,2.0,3.0,1.0,1.0,1.0,90.0,50.0,8.2,21.0,0.00589398,43.212966327474,8.0,15.75,6.51,0.3465,0,0.796,0.13,0.01,0.33,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981573,home,Torino,Ardian Ismajli,ardian-ismajli,A. Ismajli,D,44,188,1151,M,840414,EUR,844041600,D,44,44,False,42.0,30.0,11.0,6.0,0.0,21.0,26.0,9.0,16.0,4.0,4.0,6.0,4.0,,,,,,,90.0,60.0,6.6,18.0,0.00263626,80.29540665102,12.0,30.66,7.14,,3,,-0.04,0.0,0.44,,3.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,0.2046,0.7567,-0.59,,,,,,,,,,,,,,,,,,,
13981573,home,Torino,Guillermo Maripán,guillermo-maripan,G. Maripán,D,13,193,2139,M,339909,EUR,768182400,D,13,13,False,34.0,28.0,6.0,5.0,0.0,19.0,20.0,9.0,14.0,2.0,4.0,5.0,3.0,,,,,,,90.0,47.0,7.0,7.0,0.0073659,67.787193467027,10.0,13.545,9.03,,2,,0.14,0.22,0.32,,5.0,7.0,,2.0,,1.0,,,0.155,,-0.48,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,
13981573,home,Torino,Saúl Coco,saul-coco,S. Coco,D,23,188,1248,M,1089453,EUR,918518400,D,23,23,False,39.0,34.0,5.0,3.0,0.0,26.0,27.0,8.0,12.0,3.0,8.0,6.0,4.0,,,,,,,90.0,57.0,7.7,5.0,0.0489832,132.45303375996,13.0,83.58,25.2,,1,,0.16,0.08,0.62,,3.0,5.0,,,,,,,0.0784,,-0.04,,1.0,,3.0,2.0,2.0,,3.0,2.0,,,,,,,,,,
13981573,home,Torino,Marcus Pedersen,marcus-pedersen,M. Pedersen,D,16,178,644,M,934409,EUR,963705600,M,16,16,False,29.0,24.0,2.0,1.0,0.0,12.0,13.0,12.0,16.0,,1.0,3.0,3.0,,,,,,,90.0,53.0,6.5,12.0,0.00948869,204.99948651711,13.0,157.92,48.3,,1,,-0.38,0.53,0.22,,2.0,8.0,1.0,1.0,,,,,0.0287,,-0.19,,1.0,,1.0,1.0,4.0,,,,3.0,,,,,,,,,
13981573,home,Torino,Kristjan Asllani,kristjan-asllani,K. Asllani,M,23,179,5914,M,996820,EUR,1015632000,M,32,32,False,52.0,43.0,16.0,10.0,0.0,19.0,24.0,24.0,28.0,,5.0,2.0,5.0,,,,,,,89.0,69.0,7.9,13.0,0.192802,91.661749835221,15.0,24.78,13.335,,2,,0.45,0.13,0.19,,1.0,2.0,1.0,,,1.0,,,0.0269,,-0.11,,1.0,,3.0,2.0,,4.0,,2.0,6.0,KristjanAsllani,3.0,,,,,,,
13981573,home,Torino,Gvidas Gineitis,gineitis-gvidas,G. Gineitis,M,66,191,1446,M,1030829,EUR,1081987200,M,66,66,False,16.0,13.0,2.0,1.0,0.0,4.0,4.0,9.0,12.0,1.0,6.0,,3.0,,,,,,,64.0,37.0,6.8,12.0,0.14696,42.875556373867,5.0,12.18,10.29,,1,,0.36,0.1,-0.01,,2.0,9.0,2.0,2.0,,,,5.0,0.0316,,-0.15,1.0,1.0,,3.0,1.0,4.0,1.0,,1.0,3.0,,2.0,,,,,,,
13981573,home,Torino,Valentino Lazaro,valentino-lazaro,V. Lazaro,M,20,180,1014,M,233826,EUR,827625600,M,20,20,False,50.0,40.0,6.0,1.0,0.0,14.0,17.0,26.0,33.0,2.0,7.0,3.0,6.0,,,,,,,89.0,79.0,7.2,20.0,0.0342658,129.26794293193,13.0,69.615,25.725,,0,,0.17,0.15,-0.04,,1.0,4.0,,3.0,,,,,,,,2.0,,2.0,1.0,,1.0,1.0,,2.0,6.0,,,,,1.0,,,,
13981573,home,Torino,Nikola Vlašić,nikola-vlasic,N. Vlašić,M,10,178,5477,M,357596,EUR,875923200,F,10,10,False,29.0,26.0,3.0,3.0,0.0,9.0,9.0,17.0,20.0,,4.0,1.0,6.0,,,,,,,90.0,46.0,7.9,9.0,0.0512507,104.42008657996,15.0,25.725,16.17,,1,,0.37,0.17,-0.05,,2.0,10.0,2.0,2.0,,,1.0,1.0,0.1494,0.609,0.55,,,1.0,3.0,1.0,1.0,2.0,,1.0,1.0,niksivlasic_,,,,3.0,1.0,,,
13981573,home,Torino,Duván Zapata,duvan-zapata,D. Zapata,F,91,189,6003,M,38162,EUR,670464000,F,91,91,False,12.0,10.0,1.0,1.0,1.0,1.0,1.0,9.0,11.0,2.0,4.0,,,,,,,,,64.0,21.0,6.7,7.0,0.0127642,29.194215440258,4.0,18.9,5.775,,0,,-0.03,0.05,0.13,,2.0,5.0,2.0,1.0,,,,2.0,,,,1.0,,,,,1.0,1.0,,1.0,1.0,duvanzapata91,,,,,,True,1.0,
