match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialWon,stat_wonTackle,player_firstName,player_lastName,stat_fouls,player_sofascoreId,stat_totalCross,stat_shotOffTarget,stat_expectedGoals,captain,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_totalOffside,stat_accurateCross,stat_bigChanceCreated,stat_goals,stat_goodHighClaim,stat_lastManTackle,stat_hitWoodwork,stat_errorLeadToAGoal
12499345,home,Torino,Vanja Milinković-Savić,vanja-milinkovic-savic,V. Milinković-Savić,G,32,202,6222,M,356160,EUR,856396800,G,32,32,False,34.0,14.0,23.0,3.0,0.0,12.0,12.0,2.0,22.0,2.0,7.0,5.0,6.0,1.0,1.0,1.0,90.0,43.0,8.1,20.0,0.00086786,0,0.6207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499345,home,Torino,Saúl Coco,saul-coco,S. Coco,D,23,188,1248,M,1089453,EUR,918518400,D,23,23,False,29.0,24.0,2.0,,0.0,14.0,14.0,10.0,15.0,6.0,3.0,,,,,,90.0,47.0,7.2,8.0,0.00362852,0,,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12499345,home,Torino,Guillermo Maripán,guillermo-maripan,G. Maripán,D,13,193,2139,M,339909,EUR,768182400,D,13,13,False,35.0,26.0,7.0,1.0,0.0,24.0,25.0,2.0,10.0,7.0,3.0,,,,,,90.0,45.0,7.1,9.0,0.00070631,0,,1.0,1.0,4.0,,,,,,2.0,1.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
12499345,home,Torino,Adam Masina,adam-masina,A. Masina,D,,189,5428,M,259995,EUR,757468800,D,5,5,False,32.0,29.0,4.0,3.0,0.0,22.0,23.0,7.0,9.0,4.0,,,,,,,89.0,46.0,6.8,5.0,0.080432,0,,1.0,5.0,4.0,1.0,,1.0,,,1.0,1.0,,1.0,2.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,
12499345,home,Torino,Sebastian Walukiewicz,sebastian-walukiewicz,S. Walukiewicz,D,6,188,2252,M,886243,EUR,954892800,M,4,4,False,11.0,9.0,1.0,1.0,0.0,3.0,4.0,6.0,7.0,1.0,1.0,,,,,,45.0,18.0,6.5,4.0,0.00427821,0,,2.0,5.0,,1.0,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
12499345,home,Torino,Nikola Vlašić,nikola-vlasic,N. Vlašić,M,10,178,5477,M,357596,EUR,875923200,M,10,10,False,15.0,11.0,2.0,1.0,0.0,8.0,9.0,3.0,7.0,,5.0,,,,,,72.0,34.0,6.8,13.0,0.00133868,1,,,5.0,6.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,,4.0,,,2.0,,,,niksivlasic_,1.0,1.0,0.1208,,,,,,,,,,,,,,
12499345,home,Torino,Karol Linetty,karol-linetty,K. Linetty,M,10,176,2109,M,189135,EUR,791683200,M,77,77,False,19.0,17.0,1.0,1.0,0.0,9.0,10.0,8.0,9.0,1.0,6.0,,,,,,65.0,31.0,6.5,5.0,0.00299198,0,,,5.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,2.0,,,,,True,,,,,,,,,,,,,
12499345,home,Torino,Samuele Ricci,samuele-ricci,S. Ricci,M,4,182,4118,M,930189,EUR,998352000,M,28,28,False,31.0,26.0,5.0,4.0,0.0,11.0,13.0,15.0,18.0,,3.0,,,,,,90.0,46.0,7.1,6.0,0.01001,3,,,4.0,7.0,1.0,,,,,1.0,4.0,,1.0,3.0,,2.0,,,3.0,,,2.0,0.1264,,1.0,,,,,,,,,,,,
12499345,home,Torino,Valentino Lazaro,valentino-lazaro,V. Lazaro,M,20,180,1014,M,233826,EUR,827625600,M,20,20,False,18.0,13.0,2.0,,0.0,6.0,10.0,7.0,18.0,,3.0,,,,,,90.0,50.0,6.6,18.0,0.00671548,2,,1.0,3.0,2.0,,1.0,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,10.0,,0.1216,,1.0,1.0,1.0,0.0927,2.0,,,,,,,,
12499345,home,Torino,Che Adams,che-adams,C. Adams,F,19,175,2940,M,773409,EUR,837216000,F,18,18,False,16.0,11.0,1.0,,0.0,6.0,7.0,5.0,9.0,,2.0,,,,,,90.0,32.0,6.6,13.0,0.00877667,1,,3.0,8.0,5.0,,2.0,3.0,1.0,,,1.0,,3.0,1.0,2.0,,,,1.0,,,,0.048,,1.0,,,,1.0,2.0,,,,,,,
