match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_dribbleValueNormalized,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_clearanceOffLine,stat_wonTackle,stat_bigChanceCreated,stat_challengeLost,stat_wonContest,stat_wasFouled,stat_hitWoodwork,captain,stat_goals,stat_blockedScoringAttempt,stat_totalOffside,stat_goodHighClaim,stat_punches
14131929,home,Vitória SC,Nélson Oliveira,,,nelson-oliveira,N. Oliveira,F,7,186,461,M,42898,EUR,681609600,F,7,7,False,12.0,11.0,,,0.0,3.0,4.0,8.0,8.0,1.0,,,,45.0,19.0,7.0,5.0,0.0640924,,0,,0.2,0.13,,1.0,,1.0,1.0,2.0,2.0,,1.0,,,,2.0,,,,,0.04,,,,,,,,,,,1.0,,,,,,,
14131929,home,Vitória SC,Orest Lebedenko,,,orest-lebedenko,O. Lebedenko,D,17,174,156,M,844409,EUR,906508800,D,17,17,True,22.0,20.0,,,0.0,4.0,4.0,16.0,18.0,1.0,,,,45.0,39.0,7.2,4.0,0.0147371,,0,,0.06,0.18,,,,,1.0,1.0,5.0,,,,,2.0,2.0,1.0,,1.0,,0.11,,,3.0,,,,3.0,,,,1.0,,,,,,,
14131929,home,Vitória SC,Matija Mitrović,Matija Mitrovic,,mitrovic-matija,M. Mitrović,M,6,182,261,M,1166097,EUR,1102809600,M,6,6,True,30.0,24.0,3.0,,0.0,9.0,9.0,15.0,21.0,1.0,,,,45.0,42.0,6.6,9.0,0.0136939,,2,,-0.09,-0.03,,2.0,,,,1.0,1.0,,,2.0,2.0,1.0,1.0,,0.0961,,-0.04,0.15,,,1.0,,,,,,1.0,,,,,,,,,
14131929,home,Vitória SC,Alioune Ndoye,,,alioune-ndoye,A. Ndoye,F,90,186,958,M,1063255,EUR,1002153600,F,90,90,True,7.0,4.0,,,0.0,1.0,1.0,3.0,6.0,,,,,45.0,18.0,6.9,8.0,0.338207,,2,,0.41,0.15,,,,3.0,4.0,6.0,5.0,1.0,1.0,,1.0,,3.0,1.0,0.4414,,0.46,-0.78,1.0,,,0.9772,,,,,,,1.0,,,1.0,1.0,1.0,,
14131929,home,Vitória SC,Telmo Arcanjo,,,telmo-arcanjo,T. Arcanjo,M,18,180,559,M,1035280,EUR,993081600,M,18,18,True,7.0,5.0,,,0.0,,,5.0,7.0,2.0,,,,31.0,16.0,7.0,3.0,0.101929,,0,,0.2,0.13,,2.0,1.0,,1.0,1.0,4.0,,,,1.0,,,,,1.0,,0.02,,,1.0,,,,1.0,,1.0,,2.0,,,,,,,
14131929,home,Vitória SC,Oumar Camara,,,oumar-camara,O. Camara,F,19,176,863,M,1563640,EUR,1178841600,F,19,19,True,9.0,6.0,,,0.0,2.0,3.0,4.0,6.0,2.0,,,,20.0,10.0,6.3,3.0,0.00732523,,0,,-0.09,-0.04,,,,,,2.0,,,,,,,,1.0,,,,0.06,,,,,,,,,1.0,,,,,,,,,
14131929,home,Vitória SC,Charles,,,charles,Charles,G,27,186,127,M,155985,EUR,760320000,G,27,27,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131929,home,Vitória SC,Miguel Nóbrega,,,miguel-nobrega,M. Nóbrega,D,3,186,137,M,1066233,EUR,955929600,D,3,3,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131929,home,Vitória SC,Tony Strata,,,strata-tony,T. Strata,D,66,177,281,M,1488511,EUR,1094515200,D,66,66,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131929,home,Vitória SC,Diogo Sousa,,,diogo-lobao,D. Lobao,M,23,176,105,M,1434543,EUR,1137715200,M,23,23,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
