match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_bigChanceMissed,stat_shotOffTarget,stat_wasFouled,stat_expectedGoals,stat_shotValueNormalized,stat_accurateCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalOffside,stat_expectedGoalsOnTarget,player_firstName,player_lastName,player_sofascoreId,stat_challengeLost,captain,stat_bigChanceCreated,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_lastManTackle
13981487,home,Atalanta,Marco Carnesecchi,marco-carnesecchi,M. Carnesecchi,G,29,192,3101,M,865646,EUR,962409600,G,29,29,False,31.0,23.0,15.0,7.0,0.0,21.0,25.0,2.0,6.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,90.0,38.0,7.2,8.0,0.00042787,29.684549839805,6.0,0.105,3.045,0.1877,0,0.1276,0.02,-0.02,0.18,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981487,home,Atalanta,Berat Djimsiti,berat-djimsiti,B. Djimsiti,D,19,190,2156,M,151003,EUR,730080000,D,19,19,False,72.0,68.0,3.0,3.0,0.0,44.0,45.0,24.0,27.0,2.0,,,1.0,5.0,,,,90.0,80.0,7.4,5.0,0.0915619,137.87024701879,21.0,95.445,12.18,,0,,0.29,0.12,0.21,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13981487,home,Atalanta,Isak Hien,hien-isak,I. Hien,D,4,191,2306,M,1157713,EUR,916185600,D,4,4,False,63.0,58.0,7.0,5.0,0.0,37.0,39.0,21.0,24.0,2.0,2.0,1.0,2.0,5.0,,,,90.0,77.0,6.9,10.0,0.00703724,108.90847421233,16.0,29.61,11.13,,0,,0.1,0.06,0.2,,,,,1.0,1.0,,1.0,5.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
13981487,home,Atalanta,Honest Ahanor,honest-ahanor,H. Ahanor,D,69,184,1976,M,1634980,EUR,1203724800,D,69,69,False,49.0,44.0,1.0,,0.0,26.0,26.0,18.0,23.0,3.0,,,1.0,,,,,67.0,57.0,7.0,6.0,0.0128735,58.020674389631,9.0,31.185,10.605,,1,,0.1,0.02,0.15,,,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.6283,-0.22,,,,,,,,,,,,,,,
13981487,home,Atalanta,Davide Zappacosta,davide-zappacosta,D. Zappacosta,M,77,182,2125,M,132318,EUR,708220800,M,77,77,False,63.0,57.0,3.0,2.0,0.0,18.0,20.0,39.0,43.0,2.0,,,,4.0,,,,90.0,85.0,7.0,13.0,0.204884,138.76761578021,20.0,71.19,10.815,,4,,0.27,0.15,0.14,,6.0,,,2.0,1.0,2.0,,2.0,2.0,1.0,,,1.0,2.0,,0.2043,-0.5,1.0,1.0,1.0,1.0,1.0,0.2122,,,,,,,,,
13981487,home,Atalanta,Éderson,ederson,Éderson,M,13,183,7659,M,946888,EUR,931305600,M,13,13,False,70.0,65.0,7.0,4.0,0.0,28.0,30.0,37.0,40.0,4.0,,,1.0,2.0,,,,90.0,82.0,7.0,7.0,0.0328455,108.39651591526,15.0,15.96,8.61,,1,,0.11,0.12,-0.04,,1.0,,,2.0,,1.0,,3.0,,1.0,1.0,2.0,,,2.0,0.0978,-0.21,,1.0,,,,0.0422,,,ederson99,1.0,,,,,
13981487,home,Atalanta,Mario Pašalić,mario-pasalic,M. Pašalić,M,20,189,7385,M,190437,EUR,792288000,M,8,8,False,64.0,61.0,4.0,4.0,0.0,37.0,38.0,24.0,26.0,2.0,,,1.0,3.0,,,,67.0,70.0,7.0,4.0,0.0323528,183.5995010406,27.0,19.53,17.85,,1,,0.18,0.06,0.15,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,0.1435,-0.34,,,,,,,,,pasalicmario,,True,1.0,,,
13981487,home,Atalanta,Lorenzo Bernasconi,lorenzo-bernasconi,L. Bernasconi,M,47,190,638,M,1012177,EUR,1068940800,M,47,47,False,59.0,51.0,4.0,3.0,0.0,26.0,30.0,25.0,29.0,3.0,1.0,,2.0,4.0,,,,90.0,91.0,7.5,14.0,0.276003,187.45212932925,15.0,109.515,34.755,,1,,0.38,0.14,0.19,,9.0,1.0,,2.0,2.0,3.0,,2.0,,2.0,,1.0,,,,0.0476,-0.14,5.0,,1.0,,1.0,,,,,,,,,,
13981487,home,Atalanta,Charles De Ketelaere,charles-de-ketelaere,C. De Ketelaere,F,17,192,14835,M,960441,EUR,984182400,F,17,17,False,32.0,30.0,2.0,2.0,0.0,4.0,4.0,26.0,28.0,6.0,5.0,3.0,,3.0,,,,90.0,49.0,7.3,11.0,0.564594,221.70839302053,19.0,-13.65,14.91,,1,,0.61,0.3,-0.06,,2.0,,,2.0,1.0,3.0,,11.0,5.0,,1.0,3.0,,1.0,1.0,0.0401,-0.28,1.0,,,,,,,,cdk,1.0,,1.0,,,
13981487,home,Atalanta,Kamaldeen Sulemana,kamaldeen-sulemana,K. Sulemana,F,7,174,8299,M,1019442,EUR,1013731200,F,7,7,False,23.0,21.0,1.0,1.0,0.0,6.0,6.0,15.0,17.0,4.0,7.0,,,2.0,,,,67.0,40.0,6.1,15.0,0.127583,139.41016469761,15.0,45.99,24.465,,1,,0.06,-0.17,-0.01,,1.0,3.0,,,,,,9.0,1.0,,5.0,1.0,,1.0,1.0,0.1194,-0.44,1.0,,,,,,,,kamaldeenho10,,,,,,
