match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wasFouled,player_sofascoreId,stat_aerialLost,stat_duelLost,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_errorLeadToAShot,stat_challengeLost,stat_wonTackle,stat_keyPass,stat_unsuccessfulTouch,stat_totalOffside,stat_dispossessed,stat_onTargetScoringAttempt,captain,stat_bigChanceMissed,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_goalAssist,stat_goals
10389853,home,AS Monaco,Alexander Nübel,,,alexander-nubel,A. Nübel,G,33,193,2042,M,584722,EUR,844041600,G,16,16,False,29.0,21.0,17.0,9.0,19.0,22.0,2.0,7.0,14.0,1.0,2.0,7.0,90.0,46.0,7.7,8.0,0.0,0.0,0.00054995,0,0.4599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389853,home,AS Monaco,Ruben Aguilar,,,ruben-aguilar,R. Aguilar,M,2,172,407,M,579576,EUR,735782400,D,26,26,False,51.0,43.0,4.0,1.0,16.0,17.0,28.0,36.0,5.0,,,,89.0,73.0,6.8,10.0,0.0194,0.0,0.118112,1,,2.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
10389853,home,AS Monaco,Axel Disasi,,,axel-disasi,A. Disasi,D,4,190,9725,M,827243,EUR,889574400,D,6,6,False,55.0,40.0,5.0,,21.0,24.0,19.0,31.0,4.0,,,,90.0,63.0,6.8,16.0,0.0,0.0,0.0062033,0,,,,2.0,3.0,,1.0,1.0,,axel_disasi,2.0,5.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
10389853,home,AS Monaco,Malang Sarr,,,malang-sarr,M. Sarr,D,20,182,2159,M,826203,EUR,917049600,D,23,23,False,54.0,47.0,10.0,7.0,35.0,37.0,12.0,18.0,8.0,,,,90.0,68.0,7.1,8.0,0.0196,0.0,0.0273615,1,,1.0,,2.0,6.0,,4.0,2.0,1.0,,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10389853,home,AS Monaco,Caio Henrique,,,caio-henrique,C. Henrique,D,12,178,3679,M,845170,EUR,870307200,D,12,12,False,56.0,45.0,7.0,2.0,26.0,28.0,19.0,32.0,10.0,,,,90.0,78.0,6.9,15.0,0.0,0.0,0.0363364,0,,4.0,,,5.0,,,4.0,,,1.0,4.0,1.0,1.0,,1.0,1.0,,,3.0,2.0,1.0,,,,,,,,,,,,
10389853,home,AS Monaco,Krépin Diatta,,,krepin-diatta,K. Diatta,M,27,173,13115,M,873534,EUR,919900800,M,27,27,False,14.0,5.0,1.0,,1.0,3.0,4.0,11.0,3.0,,,,45.0,24.0,6.7,11.0,0.0,0.0,0.00138436,0,,,,,6.0,,,2.0,3.0,krepindiatta,3.0,4.0,,,,1.0,1.0,,,1.0,1.0,,2.0,2.0,,,,,,,,,,
10389853,home,AS Monaco,Youssouf Fofana,,,youssouf-fofana,Y. Fofana,M,19,185,6182,M,945062,EUR,915926400,M,19,19,False,61.0,52.0,7.0,3.0,23.0,25.0,29.0,36.0,12.0,,,,90.0,74.0,7.0,13.0,0.0616,0.0,0.0810302,1,,,,2.0,5.0,,1.0,1.0,1.0,YFofana19_,,2.0,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,3.0,,,,,,,,,,,
10389853,home,AS Monaco,Eliot Matazo,,,eliot-matazo,E. Matazo,M,36,174,581,M,1046150,EUR,1013731200,M,15,15,False,43.0,37.0,7.0,5.0,16.0,17.0,21.0,26.0,12.0,,,,90.0,62.0,6.9,10.0,0.0,0.0,0.0850707,0,,,,,7.0,,,2.0,4.0,,1.0,5.0,,5.0,,2.0,1.0,,1.0,2.0,1.0,1.0,2.0,,1.0,,,,,,,,,
10389853,home,AS Monaco,Aleksandr Golovin,,,aleksandr-golovin,A. Golovin,M,10,180,8439,M,318963,EUR,833414400,M,17,17,False,22.0,15.0,,,5.0,7.0,12.0,20.0,4.0,,,,77.0,38.0,7.4,12.0,0.0403,0.2314,0.0938724,1,,5.0,2.0,,4.0,,,2.0,,alex_golovin17,2.0,5.0,,2.0,,3.0,2.0,,,2.0,,2.0,,,,1.0,,,,,,,,
10389853,home,AS Monaco,Maghnes Akliouche,,,maghnes-akliouche,M. Akliouche,M,11,183,5917,M,1130939,EUR,1014595200,F,21,21,False,24.0,20.0,,,4.0,5.0,16.0,20.0,1.0,,,,60.0,30.0,6.5,7.0,0.0,0.0,0.0415143,0,,1.0,,,,,,,,,1.0,4.0,,1.0,,1.0,,,,2.0,,,1.0,,,,,,,,,,,
