match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_sofascoreId,stat_aerialLost,stat_onTargetScoringAttempt,stat_goals,stat_fouls,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_goalAssist,stat_dispossessed,stat_interceptionWon,captain,stat_bigChanceMissed,stat_hitWoodwork,stat_outfielderBlock,stat_lastManTackle,stat_errorLeadToAShot
11399389,home,NEC Nijmegen,Jasper Cillessen,,,jasper-cillessen,J. Cillessen,G,22,185,1498,M,123865,EUR,609206400,G,1,1,False,19.0,14.0,12.0,7.0,7.0,7.0,7.0,12.0,2.0,2.0,2.0,5.0,4.0,6.0,2.0,90.0,32.0,8.4,5.0,0.00357763,0,1.5317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399389,home,NEC Nijmegen,Bart van Rooij,,,bart-van-rooij,B. v. Rooij,D,28,174,343,M,946506,EUR,990835200,D,28,28,False,35.0,30.0,4.0,2.0,10.0,11.0,21.0,28.0,,2.0,1.0,2.0,,,,90.0,55.0,7.2,11.0,0.120359,2,,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0502,1.0,,,,,,,,,,,,,,,,,,,
11399389,home,NEC Nijmegen,Philippe Sandler,,,philippe-sandler,P. Sandler,D,3,188,233,M,842275,EUR,855532800,D,3,3,False,35.0,30.0,5.0,2.0,15.0,20.0,15.0,15.0,2.0,4.0,5.0,2.0,,,,74.0,46.0,6.9,6.0,0.0335093,0,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
11399389,home,NEC Nijmegen,Calvin Verdonk,,,calvin-verdonk,C. Verdonk,D,24,174,14345,M,361780,EUR,862012800,D,24,24,False,52.0,46.0,8.0,3.0,21.0,25.0,27.0,30.0,3.0,3.0,8.0,3.0,,,,90.0,68.0,8.1,7.0,0.097479,2,,3.0,2.0,5.0,,,,,,,0.087,1.0,,,,c.verdonk,3.0,2.0,1.0,2.0,0.4862,,,,,,,,,,
11399389,home,NEC Nijmegen,Youri Baas,,,youri-baas,Y. Baas,D,15,182,1216,M,1000228,EUR,1047859200,D,5,5,False,28.0,21.0,4.0,2.0,8.0,10.0,14.0,20.0,,3.0,,3.0,,,,90.0,46.0,7.4,10.0,0.294025,1,,2.0,1.0,4.0,2.0,,,,1.0,1.0,0.0639,3.0,2.0,2.0,1.0,,2.0,,,,,1.0,,,,,,,,,
11399389,home,NEC Nijmegen,Mees Hoedemakers,,,mees-hoedemakers,M. Hoedemakers,M,4,181,102,M,893748,EUR,887760000,M,6,6,False,48.0,45.0,3.0,3.0,16.0,17.0,29.0,31.0,,4.0,2.0,5.0,,,,90.0,65.0,7.4,7.0,0.0559884,2,,,,8.0,2.0,1.0,1.0,2.0,,,0.0612,1.0,3.0,3.0,,,1.0,,,1.0,,,1.0,4.0,3.0,,,,,,
11399389,home,NEC Nijmegen,Dirk Proper,,,dirk-proper,D. Proper,M,71,167,193,M,961685,EUR,1014508800,M,71,71,False,31.0,29.0,2.0,1.0,9.0,10.0,20.0,21.0,2.0,4.0,6.0,4.0,,,,74.0,48.0,7.7,4.0,0.0652677,3,,,,4.0,1.0,,,1.0,,2.0,0.1217,,,,1.0,,1.0,2.0,1.0,1.0,0.6779,,,1.0,,True,,,,,
11399389,home,NEC Nijmegen,Kodai Sano,Kodai Sano,,kodai-sano,K. Sano,M,23,176,1274,M,1184054,EUR,1064448000,M,23,23,False,35.0,25.0,,,8.0,12.0,18.0,26.0,2.0,12.0,2.0,9.0,,,,86.0,62.0,7.8,17.0,0.217543,1,,3.0,1.0,3.0,,5.0,3.0,1.0,,3.0,0.1117,2.0,4.0,3.0,3.0,,,,,1.0,,,,,1.0,,,,,,
11399389,home,NEC Nijmegen,Tjaronn Chery,,,tjaronn-chery,T. Chery,M,10,170,874,M,35208,EUR,581385600,M,9,9,False,43.0,35.0,4.0,2.0,14.0,17.0,21.0,29.0,,2.0,,6.0,,,,90.0,58.0,7.3,14.0,0.0845725,4,,3.0,,,,,,2.0,1.0,1.0,0.0968,2.0,1.0,1.0,3.0,,,1.0,,,0.0193,,,,,,,,,,
11399389,home,NEC Nijmegen,Rober González,,,rober-gonzalez,R. González,M,11,169,147,M,910022,EUR,978739200,M,11,11,False,18.0,15.0,1.0,,7.0,7.0,10.0,13.0,,6.0,,4.0,,,,61.0,30.0,7.3,5.0,0.173398,1,,2.0,2.0,4.0,,1.0,,1.0,,5.0,0.121,3.0,1.0,1.0,1.0,,1.0,,,2.0,,,,,,,,,,,
11399389,home,NEC Nijmegen,Koki Ogawa,,,koki-ogawa,K. Ogawa,F,18,186,1469,M,831860,EUR,870998400,F,18,18,False,7.0,5.0,,,,,5.0,7.0,5.0,7.0,4.0,,,,,73.0,24.0,7.1,6.0,0.0130069,2,,,,6.0,,1.0,,2.0,,2.0,0.2265,1.0,1.0,1.0,3.0,,3.0,,,2.0,,,,,1.0,,,,,,
11399389,home,NEC Nijmegen,Sontje Hansen,,,sontje-hansen,S. Hansen,M,27,172,611,M,1199057,EUR,1021680000,F,10,10,True,15.0,11.0,,,3.0,6.0,8.0,10.0,,,,,,,,29.0,21.0,6.5,6.0,0.0233238,0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,
