match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,injury,playerName,rescinded,reason,length
12514071,FT,2.0,4.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
12514071,,2.0,4.0,,90,4.0,,1,,,goal,190124450.0,False,regular,1494826.0,Conrad Harder,,,,,
12514071,,,,,90,2.0,,1,,,substitution,123289534.0,True,regular,,,False,,,,
12514071,,,,,90,1.0,,1,,,card,121716213.0,False,yellow,1403165.0,Geovany Quenda,,Geovany Quenda,False,,
12514071,,,,,90,1.0,,1,,,card,121716212.0,True,yellow,1134430.0,Gabriel Martínez,,Gabriel Martínez,False,Argument,
12514071,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,5.0
12514071,,2.0,3.0,,89,,,2,,,goal,190124191.0,False,regular,1494826.0,Conrad Harder,,,,,
12514071,,2.0,2.0,,81,,,10,,,goal,190123891.0,False,regular,859917.0,Morten Hjulmand,,,,,
12514071,,,,,80,,,11,,,card,121716185.0,False,yellow,859917.0,Morten Hjulmand,,Morten Hjulmand,False,Argument,
12514071,,,,,80,,,11,,,substitution,123289495.0,False,regular,,,False,,,,
12514071,,,,,68,,,23,,,card,121716133.0,True,yellow,106751.0,Paulo Oliveira,,Paulo Oliveira,False,Foul,
12514071,,,,,61,,,30,,,substitution,123289370.0,True,regular,,,False,,,,
12514071,,,,,61,,,30,,,substitution,123289369.0,True,regular,,,False,,,,
12514071,,2.0,1.0,,58,,,33,,,goal,190122571.0,False,regular,926560.0,Hidemasa Morita,,,,,
12514071,,,,,57,,,34,,,card,121716090.0,True,yellow,1014048.0,Amine El Ouazzani,,Amine El Ouazzani,False,Foul,
12514071,,,,,56,,,35,,,substitution,123289334.0,False,regular,,,False,,,,
12514071,,,,,56,,,35,,,substitution,123289333.0,False,regular,,,False,,,,
12514071,,,,,53,,,38,,,card,121716073.0,False,yellow,1394342.0,Ousmane Diomande,,Ousmane Diomande,False,Foul,
12514071,,,,,46,,,45,,,substitution,123289241.0,False,regular,,,False,,,,
12514071,HT,2.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
12514071,,,,,45,3.0,,1,,,card,121715948.0,True,yellow,1128560.0,Roger Fernandes,,Roger Fernandes,False,Argument,
12514071,,2.0,0.0,,45,,,1,,,goal,190120822.0,True,regular,314380.0,Ricardo Horta,,,,,
12514071,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,2.0
12514071,,,,,38,,,8,,,card,121715919.0,True,yellow,976401.0,João Ferreira,,João Ferreira,False,Foul,
12514071,,,,,26,,,20,,,substitution,123289031.0,False,injury,,,True,,,,
12514071,,1.0,0.0,,20,,,26,,,goal,190118995.0,True,regular,314380.0,Ricardo Horta,,,,,
12514071,,,,,13,,,33,,,card,121715797.0,False,yellow,895764.0,Pedro Gonçalves,,Pedro Gonçalves,False,Argument,
