match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_fouls,stat_keyPass,stat_blockedScoringAttempt,stat_totalOffside,stat_goals,stat_goodHighClaim,stat_lastManTackle
12530738,home,Bodrum FK,Diogo Sousa,diogo-sousa,D. Sousa,G,1,195,145,M,882110,EUR,905904000,G,1,1,False,22.0,9.0,19.0,6.0,0.0,5.0,13.0,4.0,9.0,1.0,7.0,1.0,3.0,1.0,90.0,30.0,7.4,13.0,0.00171616,0,0.5729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530738,home,Bodrum FK,Ondřej Čelůstka,ondrej-celustka,O. Čelůstka,D,,186,48,M,45764,EUR,614131200,D,33,33,False,18.0,12.0,4.0,1.0,0.0,7.0,8.0,5.0,12.0,5.0,3.0,,,,90.0,43.0,7.1,10.0,0.00161624,0,,,,True,2.0,1.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
12530738,home,Bodrum FK,Arlind Ajeti,arlind-ajeti,A. Ajeti,D,15,184,457,M,111746,EUR,748915200,D,15,15,False,18.0,15.0,7.0,5.0,0.0,8.0,8.0,7.0,10.0,9.0,,,,,90.0,31.0,7.3,3.0,0.0648185,0,,,,,,1.0,2.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
12530738,home,Bodrum FK,Ali Aytemur,ali-aytemur,A. Aytemur,D,34,184,29,M,802650,EUR,828489600,D,34,34,False,32.0,24.0,8.0,2.0,0.0,20.0,22.0,4.0,10.0,9.0,8.0,,,,90.0,46.0,7.2,10.0,0.0166519,1,,,,,,2.0,1.0,2.0,1.0,,,,,,1.0,1.0,1.0,0.0143,0.0164,,,,,,,,,,,,,,
12530738,home,Bodrum FK,Cenk Şen,cenk-sen,C. Şen,D,77,170,45,M,957359,EUR,970444800,D,77,77,False,29.0,24.0,2.0,,0.0,16.0,16.0,8.0,13.0,7.0,6.0,,,,90.0,62.0,7.9,8.0,0.00786752,1,,,,,,1.0,,1.0,6.0,,7.0,1.0,1.0,4.0,,1.0,3.0,0.1558,,1.0,1.0,1.0,1.0,,,,,,,,,,
12530738,home,Bodrum FK,Ahmet Aslan,ahmet-aslan,A. Aslan,M,21,179,23,M,1134098,EUR,993772800,M,21,21,False,26.0,19.0,3.0,1.0,0.0,7.0,10.0,13.0,17.0,,5.0,,,,71.0,37.0,7.4,8.0,0.189509,1,,Ahmet Aslan,,,1.0,,1.0,2.0,5.0,,2.0,2.0,2.0,1.0,,,,0.0793,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
12530738,home,Bodrum FK,Taylan Antalyalı,taylan-antalyali,T. Antalyalı,M,14,180,286,M,190197,EUR,789523200,M,5,5,False,34.0,25.0,2.0,1.0,1.0,12.0,14.0,14.0,21.0,3.0,10.0,,,,90.0,48.0,7.5,12.0,0.496377,1,,,,,1.0,,,3.0,3.0,,2.0,3.0,2.0,,,,2.0,0.0429,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,
12530738,home,Bodrum FK,Taulant Seferi,taulant-seferi,T. Seferi,F,99,177,450,M,279487,EUR,848016000,M,99,99,False,32.0,27.0,1.0,,0.0,8.0,10.0,19.0,25.0,2.0,5.0,,,,89.0,55.0,7.2,13.0,0.0541922,3,,,,,3.0,,,7.0,4.0,,3.0,3.0,2.0,,2.0,,,0.5265,0.6374,2.0,1.0,1.0,1.0,,4.0,,2.0,1.0,,,,,
12530738,home,Bodrum FK,Fredy,fredy,Fredy,M,16,169,1026,M,845281,EUR,638496000,M,16,16,False,47.0,34.0,5.0,1.0,0.0,9.0,12.0,26.0,47.0,2.0,8.0,,,,89.0,77.0,8.0,27.0,0.471952,1,,,,,12.0,1.0,1.0,5.0,9.0,1.0,2.0,2.0,1.0,5.0,,,3.0,0.0327,,1.0,1.0,,,1.0,,1.0,3.0,4.0,1.0,1.0,,,
12530738,home,Bodrum FK,Jonathan Okita,jonathan-okita,J. Okita,M,14,180,279,M,809225,EUR,844387200,M,11,11,False,18.0,9.0,2.0,,0.0,2.0,5.0,7.0,13.0,1.0,6.0,,,,70.0,29.0,7.1,13.0,0.0808894,1,,,,,,,1.0,1.0,5.0,,,1.0,1.0,,,,3.0,0.2863,,3.0,3.0,1.0,1.0,,1.0,1.0,,2.0,,1.0,,,
