match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wonTackle,stat_expectedGoals,stat_shotValueNormalized,stat_shotOffTarget,captain,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_penaltyConceded,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_penaltyWon,stat_penaltyMiss
14109644,home,Çaykur Rizespor,Yahia Fofana,yahia-fofana,Y. Fofana,G,75,194.0,3551,M,yahia.fofana_,877977,EUR,966816000,G,75,75,False,27.0,20.0,9.0,2.0,0.0,19.0,21.0,1.0,6.0,7.0,1.0,1.0,1.0,4.0,90.0,35.0,7.5,7.0,0.00028958,0.5793,0,0.8775,0.01,0.05,0.28,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109644,home,Çaykur Rizespor,Taha Şahin,taha-sahin,T. Şahin,D,37,178.0,238,M,,1394729,EUR,972172800,D,37,37,False,19.0,14.0,3.0,1.0,0.0,9.0,10.0,5.0,9.0,1.0,,,,,61.0,38.0,7.0,10.0,0.187667,,0,,0.3,0.01,0.13,,Taha Sahin,,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14109644,home,Çaykur Rizespor,Husniddin Alikulov,alikulov-husniddin,H. Alikulov,D,2,186.0,2627,M,,1121174,EUR,923184000,D,2,2,False,49.0,44.0,3.0,3.0,0.0,38.0,39.0,6.0,10.0,2.0,,,,,89.0,63.0,7.4,6.0,0.0256763,,1,,0.24,0.05,0.22,,,,1.0,1.0,1.0,4.0,7.0,,6.0,1.0,1.0,,,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0727,-0.27,,,,,,,,,,,,,,,
14109644,home,Çaykur Rizespor,Samet Akaydın,samet-akaydin,S. Akaydın,D,3,190.0,969,M,,863600,EUR,763516800,D,3,3,False,53.0,47.0,7.0,4.0,0.0,28.0,31.0,19.0,22.0,1.0,,,,,90.0,73.0,7.3,7.0,0.0183021,,1,,0.26,0.16,0.26,,,,,,1.0,4.0,5.0,,8.0,5.0,1.0,1.0,,3.0,,4.0,,,,,,0.0108,-0.16,1.0,,,,,,,,,,,,,,
14109644,home,Çaykur Rizespor,Casper Højer,casper-hojer,C. Højer,D,5,183.0,148,M,,281233,EUR,785289600,D,5,5,False,43.0,36.0,2.0,1.0,0.0,22.0,24.0,14.0,19.0,1.0,,,,,90.0,66.0,7.1,11.0,0.192853,,0,,0.43,0.01,-0.05,,,,7.0,4.0,2.0,7.0,3.0,,6.0,,1.0,1.0,1.0,2.0,3.0,1.0,3.0,,,,1.0,,,,True,,,,,,,,,,,,,
14109644,home,Çaykur Rizespor,Altin Zeqiri,zeqiri-altin,A. Zeqiri,M,77,185.0,141,M,,991742,EUR,963878400,D,77,77,False,28.0,21.0,3.0,3.0,0.0,9.0,9.0,12.0,19.0,3.0,,,,,90.0,55.0,7.1,18.0,0.094743,,2,,0.2,0.35,-0.03,,,,3.0,1.0,,5.0,5.0,2.0,,1.0,2.0,4.0,1.0,,1.0,1.0,1.0,3.0,,,2.0,0.0649,-0.28,,,1.0,2.0,0.1579,,,,,,,,,,
14109644,home,Çaykur Rizespor,Ibrahim Olawoyin,ibrahim-olawoyin,I. Olawoyin,M,10,178.0,461,M,,1008173,EUR,880934400,M,10,10,False,14.0,10.0,,,0.0,8.0,8.0,2.0,6.0,3.0,,,,,61.0,23.0,6.2,9.0,0.00404139,,0,,-0.03,-0.02,-0.01,,,,,,1.0,7.0,3.0,2.0,,,1.0,3.0,,4.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,
14109644,home,Çaykur Rizespor,Giannis Papanikolaou,giannis-papanikolaou,G. Papanikolaou,M,6,182.0,212,M,,856988,EUR,911347200,M,6,6,False,39.0,30.0,6.0,2.0,0.0,16.0,20.0,14.0,19.0,4.0,,,,,90.0,57.0,6.5,10.0,0.00861972,,2,,0.05,0.06,-0.23,,,,,,,4.0,6.0,,3.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,,,,,2.0,0.1489,-0.46,2.0,,,,,1.0,,,,,,,,,
14109644,home,Çaykur Rizespor,Qazim Laci,qazim-laci,Q. Laci,M,20,173.0,992,M,,284395,EUR,822009600,M,20,20,False,31.0,30.0,2.0,2.0,0.0,13.0,13.0,17.0,18.0,4.0,,,,,79.0,48.0,6.9,8.0,0.262068,,2,,0.34,0.08,0.13,,,,1.0,,,8.0,4.0,4.0,,,1.0,1.0,1.0,4.0,3.0,1.0,,2.0,,,1.0,0.0498,-0.17,1.0,,1.0,1.0,0.0701,,1.0,1.0,,,,,,,
14109644,home,Çaykur Rizespor,Ali Sowe,ali-sowe,A. Sowe,F,9,186.0,1037,M,,238394,EUR,771552000,F,9,9,False,6.0,6.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,,,,,90.0,22.0,6.4,5.0,0.00270822,,4,,0.01,0.11,0.18,,,,,,2.0,5.0,3.0,,1.0,,,4.0,2.0,2.0,1.0,1.0,,1.0,2.0,1.0,,0.4352,-0.54,2.0,,,,,,,,1.0,,,,,,
14109644,home,Çaykur Rizespor,Halil Dervişoğlu,halil-dervisoglu,H. Dervişoğlu,F,11,183.0,812,M,,930775,EUR,944611200,F,11,11,False,12.0,8.0,,,0.0,2.0,2.0,6.0,10.0,4.0,,,,,79.0,25.0,6.8,10.0,0.10854,,1,,0.03,0.25,0.21,,,,,,3.0,6.0,5.0,2.0,,,1.0,3.0,2.0,,1.0,1.0,,2.0,,,1.0,0.0354,-0.08,,,1.0,1.0,0.1035,,,,,,,,,,
14109644,home,Çaykur Rizespor,Mithat Pala,mithat-pala,M. Pala,D,54,172.0,57,M,,1016393,EUR,966297600,M,54,54,True,12.0,9.0,,,0.0,4.0,4.0,5.0,8.0,2.0,,,,,29.0,25.0,7.4,5.0,0.173384,,0,,0.27,0.04,-0.03,,,,2.0,2.0,,1.0,7.0,1.0,1.0,,2.0,2.0,3.0,,1.0,1.0,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,,
14109644,home,Çaykur Rizespor,Muhamed Buljubašić,muhamed-buljubasic,M. Buljubašić,M,18,180.0,202,M,,1134586,EUR,1088899200,M,18,18,True,14.0,12.0,1.0,,0.0,6.0,7.0,6.0,7.0,2.0,,,,,29.0,17.0,6.5,3.0,0.00452267,,0,,-0.04,0.0,-0.02,,,,1.0,,1.0,3.0,1.0,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
14109644,home,Çaykur Rizespor,Václav Jurečka,vaclav-jurecka,V. Jurečka,F,15,182.0,207,M,,225850,EUR,772588800,F,15,15,True,3.0,2.0,,,0.0,,,2.0,3.0,1.0,,,,,11.0,6.0,6.4,2.0,0.00151632,,1,,0.02,,0.27,,,,,,1.0,2.0,,,1.0,,,,,,,,,1.0,,,,0.2441,-0.44,1.0,,,,,,,,,,,,,,
14109644,home,Çaykur Rizespor,Emrecan Bulut,emrecan-bulut,E. Bulut,F,99,185.0,166,M,,1480663,EUR,1038268800,F,99,99,True,4.0,3.0,,,0.0,1.0,2.0,2.0,2.0,,,,,,11.0,7.0,7.8,1.0,0.00302857,,1,,-0.01,0.03,0.14,,Emrecan Bulut,,,,,,2.0,1.0,,,,,1.0,,,,,,,,,0.1168,0.53,,,1.0,1.0,0.7609,,,,,1.0,,,,,
14109644,home,Çaykur Rizespor,Modibo Sagnan,modibo-sagnan,M. Sagnan,D,27,187.0,580,M,,904759,EUR,924048000,D,27,27,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,9.0,1.0,6.7,,0.00010573,,0,,0.01,,0.13,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14109644,home,Çaykur Rizespor,Efe Doğan,efe-dogan,E. Doğan,G,35,195.0,18,M,,1618840,EUR,1092960000,G,35,35,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,Efe Dogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109644,home,Çaykur Rizespor,Erdem Canpolat,erdem-canpolat,E. Canpolat,G,1,194.0,88,M,,1066726,EUR,987120000,G,1,1,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,Erdem Canpolat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109644,home,Çaykur Rizespor,Furkan Orak,furkan-orak,F. Orak,D,70,179.0,21,M,,1822943,EUR,991008000,D,70,70,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109644,home,Çaykur Rizespor,Bayram Berk Çapoğlu,bayram-berk-capoglu,B. B. Çapoğlu,M,90,,6,M,,2269972,EUR,1217203200,M,90,90,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109644,home,Çaykur Rizespor,Taylan Antalyalı,taylan-antalyali,T. Antalyalı,M,14,180.0,286,M,,190197,EUR,789523200,M,14,14,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
