match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_wonContest,stat_dispossessed,stat_interceptionWon,stat_keyPass,stat_accurateCross,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_onTargetScoringAttempt,captain,stat_bigChanceCreated,stat_goals,player_sofascoreId,stat_errorLeadToAGoal,stat_hitWoodwork
12624391,home,Al-Khaleej,Raed Ozaybi,Ozaybi Raed,,ozaybi-raed,O. Raed,G,50,181.0,31,M,1089085,EUR,1001116800.0,G,22,22,False,22.0,8.0,16.0,2.0,0.0,6.0,9.0,2.0,13.0,1.0,1.0,8.0,1.0,5.0,7.0,1.0,1.0,90.0,35.0,7.7,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624391,home,Al-Khaleej,Saeed Al Hamsal,,,saeed-al-hamsal,S. A. Hamsal,D,39,176.0,21,M,818563,EUR,829785600.0,D,39,39,False,26.0,22.0,,,0.0,11.0,13.0,11.0,14.0,7.0,1.0,3.0,1.0,,,,,90.0,45.0,7.0,9.0,0,1.0,2.0,1.0,6.0,2.0,1.0,1.0,5.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,
12624391,home,Al-Khaleej,Abdullah Al-Fahad,,,al-fahad-abdullah,A. Al-Fahad,D,19,177.0,20,M,817947,EUR,771638400.0,D,20,20,False,28.0,25.0,3.0,2.0,0.0,18.0,20.0,7.0,8.0,4.0,7.0,3.0,,,,,,90.0,40.0,6.7,3.0,0,,1.0,3.0,4.0,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,
12624391,home,Al-Khaleej,Mohammed Al-Khabrani,,,mohammed-al-khabrani,M. Al-Khabrani,D,3,178.0,21,M,818696,EUR,750556800.0,D,3,3,False,23.0,20.0,2.0,1.0,0.0,16.0,18.0,4.0,5.0,1.0,7.0,3.0,,,,,,90.0,35.0,6.8,4.0,0,,1.0,,2.0,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,
12624391,home,Al-Khaleej,Pedro Rebocho,,,pedro-rebocho,P. Rebocho,D,5,172.0,204,M,190139,EUR,790819200.0,D,5,5,False,25.0,22.0,2.0,,0.0,14.0,14.0,8.0,13.0,2.0,1.0,5.0,1.0,,,,,90.0,47.0,6.8,8.0,0,2.0,2.0,,4.0,1.0,1.0,,,,2.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
12624391,home,Al-Khaleej,Mansour Hamzi,,,mansour-hamzi,M. Hamzi,M,15,170.0,31,M,818581,EUR,738892800.0,M,15,15,False,26.0,23.0,1.0,1.0,0.0,10.0,12.0,14.0,15.0,7.0,3.0,3.0,3.0,,,,,77.0,43.0,7.1,5.0,1,1.0,,,3.0,1.0,1.0,,4.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
12624391,home,Al-Khaleej,Murad Al Hawsawi,Murad Al Hawsawi,,murad-al-hawsawi,M. A. Hawsawi,M,18,180.0,332,M,1549082,EUR,991440000.0,M,18,18,False,40.0,33.0,4.0,3.0,0.0,19.0,21.0,15.0,20.0,5.0,2.0,3.0,2.0,,,,,88.0,51.0,7.0,8.0,0,1.0,,,3.0,,1.0,1.0,2.0,1.0,1.0,3.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,
12624391,home,Al-Khaleej,Thomas Murg,Thomas,Murg,thomas-murg,T. Murg,M,94,173.0,283,M,149677,EUR,784771200.0,M,99,99,False,24.0,20.0,1.0,1.0,0.0,11.0,13.0,9.0,11.0,4.0,,3.0,2.0,,,,,77.0,37.0,6.3,8.0,1,,,,6.0,2.0,2.0,,2.0,1.0,,,,2.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,
12624391,home,Al-Khaleej,Kostas Fortounis,,,kostas-fortounis,K. Fortounis,M,10,183.0,2903,M,115577,EUR,719193600.0,M,17,17,False,43.0,32.0,6.0,3.0,1.0,22.0,23.0,10.0,23.0,8.0,,8.0,5.0,,,,,90.0,68.0,7.2,22.0,3,3.0,1.0,,7.0,1.0,3.0,,3.0,1.0,2.0,,,2.0,,1.0,,1.0,,,1.0,,1.0,,,,,,
12624391,home,Al-Khaleej,Fábio Martins,,,fabio-martins,F. Martins,M,10,178.0,359,M,193064,EUR,743472000.0,M,10,10,False,19.0,14.0,3.0,3.0,0.0,4.0,5.0,10.0,15.0,4.0,2.0,2.0,1.0,,,,,88.0,32.0,8.2,6.0,2,1.0,,,2.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,1.0,2.0,,,,,1.0,,1.0,True,1.0,1.0,,,
12624391,home,Al-Khaleej,Abdullah Al-Salem,,,abdullah-al-salem,A. Al-Salem,F,9,183.0,285,M,818674,EUR,724723200.0,F,11,11,False,22.0,16.0,,,0.0,8.0,11.0,8.0,11.0,8.0,1.0,2.0,2.0,,,,,90.0,31.0,6.9,8.0,2,,7.0,6.0,8.0,,,,,,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,
12624391,home,Al-Khaleej,Bandar Al Mutairi,,,bandar-al-mutairi,B. A. Mutairi,D,33,168.0,13,M,847483,EUR,637372800.0,D,33,33,True,4.0,4.0,,,0.0,4.0,4.0,,,1.0,4.0,1.0,,,,,,13.0,9.0,6.2,1.0,0,,,1.0,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
