match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,player_id,player_name,length,playerName,reason,rescinded,confirmed
12437812,FT,0.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
12437812,,,,,90,2.0,,1,,,substitution,123451599.0,False,True,regular,,,,,,,
12437812,,0.0,1.0,,90,1.0,,1,,,goal,193907669.0,,False,regular,1106573.0,Jhon Solís,,,,,
12437812,,,,,90,0.0,,1,,,injuryTime,,,,,,,3.0,,,,
12437812,,,,,81,,,10,,,card,121833513.0,,False,yellow,32048.0,Cristhian Stuani,,Cristhian Stuani,Off the ball foul,False,
12437812,,,,,77,,,14,,,substitution,123451497.0,True,False,injury,,,,,,,
12437812,,,,,72,,,19,,,substitution,123451433.0,False,True,regular,,,,,,,
12437812,,,,,70,,,21,,,substitution,123451427.0,False,False,regular,,,,,,,
12437812,,,,,70,,,21,,,substitution,123451426.0,False,False,regular,,,,,,,
12437812,,,,,55,,,36,,,card,121833426.0,,True,yellow,788141.0,Jon Guridi,,Jon Guridi,Foul,False,
12437812,,,,,49,,,42,,,card,121833411.0,,False,yellow,856250.0,Ladislav Krejčí,,Ladislav Krejčí,Foul,False,
12437812,,,,,46,,,45,,,substitution,123451279.0,False,False,regular,,,,,,,
12437812,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
12437812,,,,,45,2.0,,1,,,card,121833357.0,,False,yellow,839585.0,Yangel Herrera,,Yangel Herrera,Foul,False,
12437812,,,,,45,0.0,,1,,,injuryTime,,,,,,,4.0,,,,
12437812,,,,,39,,,7,,,varDecision,30480.0,,True,penaltyAwarded,822607.0,Tomás Conechny,,,,,False
12437812,,,,,35,,,11,,,card,121833317.0,,False,yellow,827064.0,Arnaut Danjuma,,Arnaut Danjuma,Foul,False,
12437812,,,,,33,,,13,,,substitution,123451197.0,True,False,injury,,,,,,,
12437812,,,,,30,,,16,,,substitution,123451185.0,True,True,injury,,,,,,,
12437812,,,,,30,,,16,,,substitution,123451184.0,True,True,injury,,,,,,,
