match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_aerialWon,stat_interceptionWon,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_bigChanceMissed,stat_outfielderBlock,stat_totalOffside,stat_accurateCross,stat_bigChanceCreated,stat_dispossessed,stat_goals,stat_blockedScoringAttempt,stat_penaltyWon,stat_crossNotClaimed,stat_goodHighClaim,stat_penaltyFaced,stat_punches,player_sofascoreId,stat_clearanceOffLine,stat_penaltyConceded
11399495,home,Sparta Rotterdam,Nick Olij,nick-olij,N. Olij,G,1,185,555,M,227192,EUR,807235200,G,1,1,False,34.0,22.0,18.0,6.0,18.0,19.0,4.0,15.0,13.0,2.0,5.0,1.0,1.0,90.0,45.0,7.2,12.0,0.0,0.0,0.00204716,0,0.7431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399495,home,Sparta Rotterdam,Saïd Bakari,said-bakari,S. Bakari,D,22,176,127,M,896210,EUR,780192000,D,2,2,False,51.0,44.0,3.0,2.0,23.0,26.0,21.0,28.0,3.0,,,,,90.0,75.0,7.1,16.0,0.0345,0.0199,0.0342437,2,,3.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11399495,home,Sparta Rotterdam,Bart Vriends,bart-vriends,B. Vriends,D,3,188,217,M,41495,EUR,673747200,D,3,3,False,66.0,57.0,6.0,2.0,36.0,38.0,21.0,28.0,7.0,,,,,90.0,78.0,7.2,10.0,0.0309,0.0325,0.0644702,1,,,5.0,5.0,7.0,,1.0,1.0,,1.0,3.0,2.0,1.0,,,True,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11399495,home,Sparta Rotterdam,Tijs Velthuis,tijs-velthuis,T. Velthuis,D,5,190,110,M,961674,EUR,1010793600,D,4,4,False,73.0,65.0,4.0,1.0,39.0,41.0,26.0,32.0,4.0,,,,,90.0,86.0,7.3,8.0,0.1448,0.0,0.0109219,2,,,2.0,2.0,6.0,,,,1.0,1.0,5.0,2.0,1.0,,,,4.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
11399495,home,Sparta Rotterdam,Django Warmerdam,django-warmerdam,D. Warmerdam,D,3,180,44,M,356018,EUR,810000000,D,5,5,False,52.0,41.0,3.0,2.0,14.0,17.0,27.0,41.0,9.0,,,,,90.0,70.0,7.1,17.0,0.0,0.0,0.0266511,0,,6.0,2.0,3.0,4.0,,,,,,1.0,1.0,1.0,,,,3.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,
11399495,home,Sparta Rotterdam,Jonathan de Guzmán,jonathan-de-guzman,J. d. Guzmán,M,13,173,79,M,13028,EUR,558489600,M,6,6,False,38.0,31.0,5.0,3.0,13.0,14.0,19.0,28.0,7.0,,,,,62.0,47.0,7.1,10.0,0.0,0.0,0.178833,0,,4.0,,6.0,7.0,5.0,2.0,2.0,,,1.0,1.0,,,,,4.0,1.0,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,
11399495,home,Sparta Rotterdam,Joshua Kitolano,joshua-kitolano,J. Kitolano,M,8,170,272,M,913584,EUR,984009600,M,8,8,False,37.0,35.0,1.0,1.0,15.0,16.0,20.0,22.0,6.0,,,,,90.0,52.0,7.7,6.0,0.7884,0.9844,0.0230091,1,,1.0,,5.0,9.0,3.0,3.0,3.0,,1.0,,3.0,3.0,1.0,2.0,,1.0,,,1.0,,,,,,,,2.0,1.0,,,,,,,,,
11399495,home,Sparta Rotterdam,Camiel Neghli,camiel-neghli,C. Neghli,M,10,180,992,M,1089021,EUR,1005004800,M,7,7,False,24.0,19.0,2.0,2.0,7.0,9.0,14.0,23.0,1.0,,,,,89.0,43.0,6.9,16.0,0.1475,0.2362,0.515437,3,,8.0,2.0,8.0,,3.0,2.0,,2.0,1.0,,,,2.0,,,,,1.0,1.0,Camiel Neghli,,,,,2.0,1.0,,,,,,,,,,,
11399495,home,Sparta Rotterdam,Arno Verschueren,arno-verschueren,A. Verschueren,M,32,182,168,M,578344,EUR,870652800,M,10,10,False,23.0,19.0,1.0,,5.0,5.0,15.0,19.0,1.0,,,,,62.0,31.0,6.5,7.0,0.0,0.0,0.049198,0,,1.0,1.0,6.0,3.0,,1.0,,,,,1.0,,1.0,2.0,,,,3.0,2.0,,,,,,1.0,,1.0,,,,,,,,,,
11399495,home,Sparta Rotterdam,Koki Saito,koki-saito,K. Saito,M,14,170,1063,M,905356,EUR,997401600,M,11,11,False,42.0,39.0,,,7.0,7.0,34.0,41.0,6.0,,,,,90.0,74.0,6.7,18.0,0.5938,0.0,0.27682,3,,6.0,4.0,14.0,8.0,,13.0,7.0,2.0,,,,,1.0,1.0,,,,1.0,1.0,,,1.0,,1.0,2.0,,3.0,,1.0,,,,,,,,
