match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_aerialWon,stat_interceptionWon,stat_wonTackle,stat_errorLeadToAShot,stat_totalContest,stat_wonContest,player_sofascoreId,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_keyPass,captain,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goalAssist,stat_shotOffTarget,stat_totalOffside,stat_goals,stat_outfielderBlock,stat_hitWoodwork
10385398,home,Aston Villa,Robin Olsen,,,robin-olsen,R. Olsen,G,30,198,1289,M,26025,EUR,631756800,G,25,25,False,36.0,25.0,17.0,6.0,22.0,25.0,3.0,11.0,1.0,1.0,1.0,10.0,1.0,4.0,6.0,3.0,3.0,90.0,51.0,7.0,12.0,0.0,0.0,0.00082674,0,-0.8122,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385398,home,Aston Villa,Ashley Young,,,ashley-young,A. Young,D,15,180,1712,M,10589,EUR,489715200,D,18,18,False,67.0,55.0,10.0,4.0,35.0,42.0,20.0,26.0,3.0,1.0,2.0,14.0,1.0,,,,,90.0,77.0,6.1,15.0,0.0,0.0,0.034502,0,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10385398,home,Aston Villa,Ezri Konsa,,,ezri-konsa,E. Konsa,D,4,183,3197,M,827679,EUR,877564800,D,4,4,False,45.0,41.0,2.0,,30.0,31.0,11.0,14.0,2.0,,5.0,3.0,,,,,,90.0,58.0,6.3,4.0,0.0,0.0,0.00433503,0,,,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10385398,home,Aston Villa,Tyrone Mings,,,tyrone-mings,T. Mings,D,5,195,1992,M,303638,EUR,731980800,D,5,5,False,52.0,47.0,6.0,4.0,32.0,36.0,15.0,16.0,,,1.0,9.0,,,,,,90.0,58.0,6.5,5.0,0.0,0.0,0.00570133,0,,,,2.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
10385398,home,Aston Villa,Lucas Digne,,,lucas-digne,L. Digne,D,12,178,4442,M,96538,EUR,743126400,D,27,27,False,55.0,42.0,2.0,,22.0,26.0,24.0,36.0,4.0,,2.0,9.0,,,,,,90.0,88.0,6.8,21.0,0.0402,0.1062,0.364956,1,,7.0,,2.0,1.0,1.0,1.0,,,1.0,,2.0,,LDigne,4.0,2.0,1.0,1.0,4.0,,,,,,,,,
10385398,home,Aston Villa,John McGinn,,,john-mcginn,J. McGinn,M,7,175,3895,M,250223,EUR,782438400,M,7,7,False,25.0,17.0,3.0,2.0,4.0,5.0,14.0,22.0,3.0,,,3.0,2.0,,,,,90.0,38.0,6.6,13.0,0.2274,0.2071,0.210976,3,,2.0,2.0,2.0,,,,,1.0,,,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,True,1.0,2.0,,,,,,
10385398,home,Aston Villa,Boubacar Kamara,,,boubacar-kamara,B. Kamara,M,44,184,3386,M,826204,EUR,943315200,M,44,44,False,53.0,47.0,5.0,3.0,25.0,29.0,22.0,24.0,2.0,,,5.0,1.0,,,,,85.0,65.0,6.7,8.0,0.0,0.0,0.025386,0,,,1.0,6.0,2.0,3.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
10385398,home,Aston Villa,Douglas Luiz,,,douglas-luiz,D. Luiz,M,21,175,11801,M,867887,EUR,894672000,M,6,6,False,64.0,58.0,2.0,1.0,31.0,34.0,28.0,32.0,4.0,,,6.0,3.0,,,,,90.0,82.0,7.1,15.0,0.0,0.0,0.171646,0,,2.0,,5.0,3.0,2.0,1.0,,,1.0,,1.0,,Douglas_Luiz,1.0,2.0,1.0,,3.0,,,,1.0,,,,,
10385398,home,Aston Villa,Emiliano Buendía,,,emiliano-buendia,E. Buendía,M,10,170,7699,M,783126,EUR,851472000,M,10,10,False,36.0,26.0,1.0,1.0,14.0,16.0,12.0,22.0,7.0,1.0,,4.0,3.0,,,,,86.0,59.0,6.8,19.0,0.0722,0.0,0.259463,1,,2.0,2.0,5.0,3.0,,1.0,1.0,2.0,,,3.0,1.0,EM10Buendia,,1.0,,,1.0,,,,,1.0,,,,
10385398,home,Aston Villa,Leon Bailey,,,leon-bailey,L. Bailey,M,31,178,7677,M,808590,EUR,871084800,F,31,31,False,14.0,6.0,2.0,2.0,2.0,4.0,5.0,15.0,3.0,,2.0,1.0,1.0,,,,,86.0,29.0,6.5,14.0,0.4136,0.0841,0.0560046,3,,5.0,1.0,1.0,,1.0,1.0,,,,,1.0,,leonbailey,1.0,,,1.0,,,1.0,,,2.0,1.0,,,
