match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_outfielderBlock,stat_wasFouled,stat_aerialLost,stat_shotOffTarget,stat_lastManTackle,stat_errorLeadToAGoal,stat_clearanceOffLine,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_totalOffside,player_sofascoreId
12514199,home,Vitória SC,Bruno Varela,bruno-varela,B. Varela,G,14,191,628,M,138895,EUR,783907200,G,14,14,False,True,34.0,29.0,13.0,8.0,0.0,23.0,23.0,6.0,11.0,3.0,3.0,9.0,6.0,1.0,3.0,5.0,4.0,4.0,90.0,51.0,7.6,5.0,0.00075105,0,-0.1796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514199,home,Vitória SC,Zé Carlos,ze-carlos,Z. Carlos,M,6,172,109,M,1138915,EUR,1004400000,D,28,28,False,,37.0,32.0,4.0,2.0,0.0,13.0,13.0,19.0,25.0,,2.0,3.0,4.0,,,,,,81.0,65.0,6.5,11.0,0.0127541,1,,Zé Carlos,,1.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0054,0.0412,1.0,,,,,,,,,,,,,,
12514199,home,Vitória SC,Óscar Rivas,oscar-rivas,Ó. Rivas,D,4,190,113,M,1168093,EUR,954115200,D,15,15,False,,46.0,35.0,11.0,1.0,0.0,28.0,32.0,7.0,14.0,2.0,5.0,4.0,1.0,,,,,,90.0,60.0,6.6,11.0,0.0040364,1,,Óscar Rivas,,,1.0,1.0,,1.0,1.0,1.0,4.0,,,,,0.0329,0.0769,,1.0,2.0,,,,,,,,,,,,
12514199,home,Vitória SC,Toni Borevković,toni-borevkovic,T. Borevković,D,24,194,270,M,886843,EUR,866592000,D,24,24,False,,47.0,40.0,8.0,4.0,0.0,34.0,37.0,6.0,10.0,1.0,4.0,12.0,7.0,,,,,,90.0,72.0,6.9,8.0,0.00204886,1,,,,,1.0,,,,,,1.0,3.0,2.0,1.0,,0.0927,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,
12514199,home,Vitória SC,Miguel Maga,miguel-maga,M. Maga,D,2,175,180,M,1131047,EUR,1037404800,D,2,2,False,,30.0,26.0,2.0,2.0,0.0,17.0,19.0,9.0,12.0,2.0,3.0,8.0,6.0,,,,,,90.0,62.0,7.6,10.0,0.0199164,1,,Miguel Maga,,1.0,5.0,,2.0,1.0,1.0,,1.0,,,2.0,1.0,0.0213,,1.0,2.0,,2.0,1.0,,1.0,1.0,,,,,,,
12514199,home,Vitória SC,Tomás Händel,tomas-handel,T. Händel,M,20,180,888,M,1131048,EUR,975283200,M,8,8,False,,47.0,42.0,2.0,1.0,0.0,29.0,31.0,13.0,17.0,1.0,4.0,3.0,1.0,,,,,,90.0,60.0,6.8,8.0,0.164802,0,,Tomás Händel,,1.0,6.0,3.0,,,,,1.0,3.0,1.0,2.0,2.0,,,3.0,,,1.0,,,,,,,,,,,
12514199,home,Vitória SC,Tiago Silva,tiago-silva,T. Silva,M,77,170,351,M,252095,EUR,738979200,M,10,10,False,,45.0,43.0,5.0,5.0,1.0,30.0,31.0,15.0,20.0,,7.0,,5.0,,,,,,67.0,66.0,7.9,10.0,0.400168,2,,,,6.0,2.0,,1.0,4.0,3.0,,,2.0,2.0,1.0,1.0,0.032,,2.0,,2.0,,1.0,,,,2.0,1.0,1.0,,,,
12514199,home,Vitória SC,Kaio César,kaio-cesar,Kaio César,M,37,168,4877,M,1396009,EUR,1076803200,M,11,11,False,,28.0,23.0,4.0,2.0,1.0,6.0,6.0,17.0,23.0,,5.0,3.0,3.0,,,,,,90.0,51.0,7.2,11.0,0.195089,3,,Kaio César,,1.0,8.0,,,7.0,3.0,1.0,1.0,,,1.0,2.0,0.0969,0.0791,1.0,,2.0,2.0,1.0,,,,,1.0,1.0,,,,
12514199,home,Vitória SC,Samu,samu,Samu,M,20,170,212,M,785808,EUR,830044800,M,20,20,False,,31.0,24.0,1.0,,0.0,6.0,8.0,18.0,28.0,2.0,5.0,,,,,,,,81.0,46.0,6.7,16.0,0.0183746,2,,,,5.0,5.0,1.0,1.0,1.0,,1.0,,2.0,,2.0,2.0,0.1142,0.1017,1.0,,1.0,,,,,,,,1.0,,,,
12514199,home,Vitória SC,Nuno Santos,nuno-santos,N. Santos,M,10,180,2173,M,930552,EUR,920332800,M,77,77,False,,34.0,26.0,1.0,1.0,0.0,4.0,5.0,22.0,30.0,2.0,4.0,3.0,3.0,,,,,,76.0,46.0,7.8,10.0,0.275381,3,,,,1.0,1.0,,,2.0,1.0,1.0,,1.0,1.0,,,0.4429,0.5909,1.0,,,,1.0,,,,,,1.0,1.0,,,
