match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_aerialWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,player_firstName,player_lastName,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,player_sofascoreId,stat_totalOffside,stat_goals,stat_penaltyWon,stat_penaltyFaced,stat_bigChanceCreated,stat_penaltyConceded,stat_bigChanceMissed,stat_hitWoodwork,stat_blockedScoringAttempt
12437627,home,Real Valladolid,Karl Hein,karl-hein,K. Hein,G,13,193,4102,M,991591,EUR,1018656000,G,13,13,False,38.0,37.0,8.0,7.0,0.0,31.0,31.0,6.0,7.0,3.0,11.0,5.0,7.0,2.0,2.0,90.0,56.0,8.7,1.0,0.00591461,0,2.8007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437627,home,Real Valladolid,Luis Pérez,luis-perez,L. Pérez,D,2,173,199,M,843180,EUR,791856000,D,2,2,False,37.0,30.0,3.0,,0.0,16.0,18.0,16.0,23.0,4.0,,,,,,90.0,60.0,6.4,13.0,0.0574841,0,,4.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12437627,home,Real Valladolid,Javi Sánchez,javi-sanchez,J. Sánchez,D,15,189,336,M,943713,EUR,858297600,D,5,5,False,67.0,60.0,11.0,6.0,0.0,53.0,55.0,7.0,12.0,5.0,2.0,,,,,90.0,80.0,6.4,9.0,0.00548011,0,,,,2.0,4.0,3.0,,,2.0,,2.0,,True,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12437627,home,Real Valladolid,David Torres,david-torres,D. Torres,D,4,182,147,M,1214359,EUR,1046822400,D,3,3,False,68.0,65.0,5.0,4.0,0.0,48.0,48.0,17.0,20.0,4.0,4.0,,,,,90.0,72.0,6.4,3.0,0.0103297,0,,,,1.0,4.0,1.0,,,,,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
12437627,home,Real Valladolid,Lucas Rosa,lucas-rosa,L. Rosa,D,2,177,706,M,970860,EUR,954720000,D,22,22,False,33.0,25.0,5.0,3.0,0.0,18.0,21.0,7.0,15.0,3.0,5.0,,,,,90.0,55.0,7.0,11.0,0.00316126,0,,3.0,,,4.0,8.0,,1.0,,2.0,2.0,,,,2.0,6.0,3.0,,,,2.0,,,,,,,,,,,,,,,,
12437627,home,Real Valladolid,Mario Martín,martin-mario,M. Martín,M,6,177,16546,M,1154549,EUR,1078444800,M,12,12,False,35.0,29.0,6.0,2.0,0.0,21.0,22.0,8.0,14.0,2.0,,,,,,71.0,45.0,6.6,8.0,0.00393891,1,,1.0,,2.0,2.0,3.0,,,1.0,1.0,,,,1.0,,,,1.0,,,,1.0,1.0,1.0,0.0078,0.1285,,,,,,,,,,,
12437627,home,Real Valladolid,Eray Cömert,eray-comert,E. Cömert,D,24,183,508,M,814023,EUR,886550400,M,15,15,False,35.0,28.0,8.0,3.0,0.0,20.0,20.0,8.0,15.0,,1.0,,,,,88.0,40.0,6.5,7.0,0.00596565,1,,,,,1.0,4.0,,1.0,,1.0,1.0,,,2.0,,1.0,1.0,,,,,,,,0.0193,,1.0,,,,,,,,,,
12437627,home,Real Valladolid,Anuar,anuar,Anuar,M,23,172,810,M,601962,EUR,790128000,M,23,23,False,10.0,10.0,,,0.0,3.0,3.0,7.0,10.0,1.0,2.0,,,,,88.0,24.0,6.7,5.0,0.00340293,1,,3.0,,1.0,4.0,5.0,2.0,1.0,,2.0,,,,2.0,,1.0,1.0,,,,1.0,,,1.0,0.021,0.1138,,,,,,,,,,,
12437627,home,Real Valladolid,Selim Amallah,amallah-selim,S. Amallah,M,21,187,6523,M,801211,EUR,848016000,M,21,21,False,20.0,15.0,2.0,,0.0,4.0,5.0,12.0,18.0,,2.0,,,,,79.0,34.0,6.3,13.0,0.0356422,1,,3.0,1.0,1.0,7.0,2.0,,,4.0,2.0,4.0,1.0,,,1.0,,,,,,1.0,1.0,,,0.0219,,1.0,selim_amallah,,,,,,,,,
12437627,home,Real Valladolid,Raúl Moro,raul-moro,R. Moro,M,18,169,1584,M,980383,EUR,1039046400,M,11,11,False,29.0,26.0,5.0,3.0,0.0,10.0,10.0,17.0,26.0,2.0,3.0,,,,,90.0,50.0,6.8,11.0,0.116014,0,,7.0,1.0,,3.0,3.0,,,,,,2.0,,,,2.0,1.0,,,,1.0,3.0,1.0,,,,,,1.0,,,,,,,,
