match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_clearanceOffLine,stat_penaltyConceded,captain,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_shotValueNormalized,stat_dispossessed,stat_keyPass,stat_totalContest,stat_shotOffTarget,stat_totalOffside,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork,stat_blockedScoringAttempt,stat_wonContest,stat_penaltyWon
14888300,home,Luton Town,Josh Keeley,,,keeley-josh,J. Keeley,G,24,191.0,342,M,1005705,EUR,1053129600,G,24,24,False,43.0,30.0,22.0,9.0,0.0,27.0,27.0,3.0,16.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,1.0,90.0,55.0,6.2,15.0,0.0567,0,0.08,0.07,-0.27,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14888300,home,Luton Town,Nigel Cello Lonwijk,,,lonwijk-nigel-cello,N. C. Lonwijk,D,17,188.0,144,M,1141663,EUR,1035676800,D,17,17,False,38.0,24.0,10.0,2.0,0.0,15.0,21.0,9.0,17.0,2.0,8.0,6.0,4.0,,,,,,90.0,74.0,5.6,23.0,,0,0.03,0.02,-0.79,,5.0,8.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,
14888300,home,Luton Town,Teden Mengi,,,teden-mengi,T. Mengi,D,15,183.0,755,M,979233,EUR,1020124800,D,15,15,False,40.0,30.0,6.0,1.0,0.0,25.0,29.0,5.0,11.0,2.0,4.0,5.0,2.0,,,,,,90.0,55.0,6.6,11.0,,0,0.03,0.03,-0.39,,1.0,3.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14888300,home,Luton Town,Kal Naismith,,,kal-naismith,K. Naismith,D,3,185.0,86,M,215032,EUR,698371200,D,3,3,False,57.0,46.0,12.0,6.0,0.0,33.0,37.0,13.0,20.0,2.0,3.0,6.0,1.0,,,,,,90.0,66.0,6.0,12.0,,0,0.08,0.02,-0.53,,1.0,3.0,,1.0,,,,,1.0,1.0,1.0,2.0,,,True,,,,,,,,,,,,,,,,,,,
14888300,home,Luton Town,Cohen Bramall,,,cohen-bramall,C. Bramall,D,33,175.0,86,M,888549,EUR,828403200,D,33,33,False,39.0,25.0,8.0,2.0,0.0,12.0,16.0,13.0,23.0,3.0,6.0,5.0,3.0,,,,,,90.0,84.0,6.1,26.0,,1,0.01,-0.05,-0.54,,2.0,2.0,,,2.0,3.0,,,,3.0,,,,,,3.0,1.0,1.0,0.01,,,,,,,,,,,,,,,
14888300,home,Luton Town,Liam Walsh,,,liam-walsh,L. Walsh,M,8,168.0,67,M,803175,EUR,874281600,M,8,8,False,33.0,28.0,3.0,2.0,0.0,17.0,19.0,11.0,14.0,,3.0,2.0,2.0,,,,,,62.0,47.0,7.2,10.0,,0,0.52,0.02,-0.04,,1.0,4.0,1.0,1.0,1.0,3.0,1.0,,,1.0,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,
14888300,home,Luton Town,George Saville,,,george-saville,G. Saville,M,23,176.0,124,M,287897,EUR,738892800,M,23,23,False,44.0,34.0,3.0,1.0,0.0,15.0,18.0,19.0,26.0,5.0,12.0,3.0,3.0,,,,,,90.0,68.0,6.6,17.0,,0,0.17,0.06,-0.22,,7.0,11.0,1.0,,1.0,4.0,3.0,,,3.0,3.0,2.0,,,,3.0,,,,1.0,2.0,,,,,,,,,,,,,
14888300,home,Luton Town,Jake Richards,,,jake-richards,J. Richards,M,27,180.0,61,M,1519976,EUR,1186531200,M,27,27,False,7.0,4.0,1.0,,0.0,1.0,1.0,3.0,6.0,,1.0,2.0,1.0,,,,,,71.0,21.0,6.1,9.0,,1,-0.08,0.04,-0.06,,,5.0,,,,1.0,,,,2.0,,1.0,,,,,,,-0.09,1.0,,3.0,1.0,1.0,,,,,,,,,,
14888300,home,Luton Town,Lamine Fanne,,,lamine-dabo,L. Dabo,M,18,185.0,316,M,1435035,EUR,1075420800,M,22,22,False,23.0,18.0,2.0,1.0,1.0,5.0,6.0,13.0,17.0,1.0,8.0,1.0,2.0,,,,,,89.0,44.0,8.6,12.0,,2,0.61,0.01,-0.15,,2.0,3.0,,,1.0,4.0,1.0,,,6.0,3.0,,,,,,,1.0,0.47,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,
14888300,home,Luton Town,Isaiah Jones,,,isaiah-jones,I. Jones,M,25,181.0,158,M,1007056,EUR,930355200,M,25,25,False,14.0,13.0,,,0.0,3.0,3.0,10.0,11.0,,3.0,1.0,4.0,,,,,,62.0,31.0,6.2,11.0,,0,0.1,-0.13,-0.01,,1.0,8.0,,,2.0,3.0,3.0,,,5.0,,2.0,,,,,,,,2.0,,3.0,,,,,,,,,,,,
14888300,home,Luton Town,Nahki Wells,,,nahki-wells,N. Wells,F,21,170.0,310,M,145182,EUR,644198400,F,21,21,False,16.0,11.0,,,1.0,4.0,5.0,7.0,11.0,,3.0,,1.0,,,,,,71.0,25.0,9.0,6.0,,4,0.39,0.65,0.16,,1.0,1.0,,,,2.0,1.0,,,1.0,1.0,,,,,,,2.0,0.39,,1.0,,2.0,1.0,,2.0,1.0,,,,,,,
14888300,home,Luton Town,Zack Nelson,Zack Nelson,,zack-nelson,Z. Nelson,M,37,183.0,86,M,1394950,EUR,1095984000,M,37,37,True,6.0,2.0,,,0.0,,1.0,2.0,5.0,,1.0,,,,,,,,28.0,9.0,6.2,5.0,,0,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
14888300,home,Luton Town,Ali Al-Hamadi,,,ali-al-hamadi,A. Al-Hamadi,F,12,187.0,5745,M,1010010,EUR,1014940800,F,12,12,True,11.0,6.0,,,0.0,2.0,3.0,4.0,8.0,5.0,6.0,3.0,,,,,,,28.0,21.0,6.7,10.0,,0,-0.05,0.0,0.0,,1.0,4.0,,,,1.0,,,,2.0,,,,,,,,,,2.0,,1.0,,1.0,,,,alikalhamadi,,,,,,
14888300,home,Luton Town,Gideon Kodua,Gideon Kodua,,gideon-kodua,G. Kodua,F,30,178.0,186,M,1417530,EUR,1096675200,F,30,30,True,7.0,2.0,1.0,,0.0,1.0,3.0,1.0,4.0,,,,2.0,,,,,,19.0,11.0,6.9,8.0,,1,,,,,,2.0,,,,,,,,1.0,,,,,,,,1.0,,,,2.0,,,,1.0,,,,,,,,
