match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_totalContest,stat_wonContest,stat_lastManTackle,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_shotOffTarget,stat_expectedGoals,player_lastName,stat_dispossessed,stat_clearanceOffLine,stat_totalOffside,captain,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_hitWoodwork,stat_goals,stat_goalAssist
11391283,home,Montpellier,Dimitry Bertaud,bertaud-dimitry,D. Bertaud,G,16,179,4975,M,d_bertaud16,794465,EUR,897091200,G,16,16,False,27.0,17.0,14.0,4.0,16.0,19.0,1.0,8.0,6.0,4.0,6.0,90.0,35.0,7.5,10.0,0.00010397,0,0.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391283,home,Montpellier,Enzo Tchato Mbiayi,enzo-tchato-mbiayi,E. T. Mbiayi,D,29,180,511,M,,1103548,EUR,1038009600,D,29,29,False,45.0,31.0,9.0,2.0,15.0,20.0,17.0,30.0,1.0,,,90.0,69.0,6.9,18.0,0.0294959,0,,Enzo Tchato Mbiayi,5.0,1.0,1.0,2.0,5.0,6.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
11391283,home,Montpellier,Christopher Jullien,christopher-jullien,C. Jullien,D,6,195,127,M,,229598,EUR,732758400,D,6,6,False,35.0,29.0,6.0,4.0,20.0,22.0,10.0,14.0,7.0,,,90.0,51.0,6.8,7.0,0.019542,0,,,1.0,1.0,,5.0,1.0,9.0,1.0,7.0,1.0,1.0,3.0,2.0,,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
11391283,home,Montpellier,Modibo Sagnan,modibo-sagnan,M. Sagnan,D,27,187,581,M,,904759,EUR,924048000,D,5,5,False,29.0,25.0,4.0,3.0,22.0,23.0,3.0,6.0,7.0,,,70.0,40.0,6.5,4.0,0.00134444,1,,,,,1.0,1.0,5.0,5.0,,6.0,,,3.0,2.0,1.0,4.0,,,,,,,1.0,0.008,,,,,,,,,,,,,
11391283,home,Montpellier,Issiaga Sylla,issiaga-sylla,I. Sylla,D,4,180,3382,M,ISylla,291695,EUR,757382400,D,3,3,False,44.0,32.0,4.0,1.0,16.0,22.0,16.0,25.0,8.0,,,90.0,69.0,6.9,21.0,0.0143135,1,,Issiaga,3.0,,1.0,,5.0,1.0,2.0,4.0,2.0,,1.0,1.0,,1.0,,1.0,,,,2.0,1.0,0.0382,Sylla,1.0,1.0,1.0,,,,,,,,,
11391283,home,Montpellier,Bećir Omeragić,becir-omeragic,B. Omeragić,D,27,187,462,M,,940918,EUR,1011484800,M,27,27,False,46.0,39.0,4.0,1.0,16.0,19.0,23.0,27.0,9.0,,,90.0,54.0,6.9,7.0,0.017975,1,,,,,1.0,,2.0,2.0,,,1.0,2.0,,,1.0,1.0,,1.0,1.0,,,,1.0,0.0135,,,,,,,,,,,,,
11391283,home,Montpellier,Jordan Ferri,jordan-ferri,J. Ferri,M,4,172,146,M,,123229,EUR,700358400,M,12,12,False,19.0,18.0,,,10.0,11.0,8.0,8.0,2.0,,,34.0,28.0,6.3,6.0,0.0046033,0,,,,,,,5.0,,1.0,1.0,,,,,,2.0,1.0,1.0,,,,3.0,,,,1.0,,,True,,,,,,,,
11391283,home,Montpellier,Mousa Tamari,mousa-al-taamari,M. Tamari,F,11,175,5388,M,,876600,EUR,865900800,M,9,9,False,20.0,15.0,,,5.0,5.0,10.0,15.0,4.0,,,61.0,38.0,7.0,13.0,0.445688,1,,,,,1.0,1.0,5.0,5.0,,,,,,,2.0,,2.0,5.0,2.0,,,3.0,1.0,0.0346,,1.0,,,,1.0,,,,,,,
11391283,home,Montpellier,Khalil Fayad,khalil-fayad,K. Fayad,M,10,172,588,M,,1387157,EUR,1086739200,M,22,22,False,36.0,29.0,6.0,4.0,7.0,9.0,22.0,27.0,3.0,,,70.0,50.0,6.8,12.0,0.0408057,1,,Khalil Fayad,,,,2.0,8.0,7.0,,1.0,,1.0,2.0,1.0,1.0,4.0,1.0,4.0,2.0,,,1.0,,0.0501,,2.0,,,,,1.0,0.085,,,,,
11391283,home,Montpellier,Tanguy Coulibaly,tanguy-coulibaly,T. Coulibaly,M,70,180,478,M,,954060,EUR,982454400,M,70,70,False,24.0,23.0,,,13.0,13.0,10.0,12.0,8.0,,,90.0,50.0,7.0,12.0,0.00843573,3,,,1.0,,1.0,1.0,4.0,6.0,,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,,,7.0,1.0,0.6146,,1.0,,,,,1.0,0.4318,1.0,1.0,1.0,,
