match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_shotOffTarget,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_punches,player_sofascoreId,stat_totalOffside
11067585,home,Grêmio,Gabriel Grando,Gabriel Grando,gabriel-grando,G. Grando,G,12,192,1323,M,1111770,EUR,954288000,G,12,12,False,21.0,9.0,21.0,9.0,5.0,6.0,4.0,15.0,2.0,3.0,2.0,3.0,90.0,28.0,7.6,12.0,0.0,0.0,0.00099295,0,0.8222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067585,home,Grêmio,Bruno Uvini,,bruno-uvini,Bruno Uvini,D,,187,190,M,158267,EUR,675907200,D,15,15,False,22.0,14.0,4.0,1.0,5.0,9.0,9.0,13.0,4.0,6.0,,,90.0,37.0,7.1,8.0,0.0,0.0,0.00490059,0,,2.0,1.0,4.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
11067585,home,Grêmio,Bruno Alves,,bruno-alves,B. Alves,D,3,184,261,M,551810,EUR,671760000,D,34,34,False,23.0,12.0,10.0,1.0,9.0,10.0,3.0,13.0,5.0,2.0,,,90.0,36.0,7.1,11.0,0.0,0.0,0.00076858,0,,,1.0,1.0,4.0,,1.0,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,
11067585,home,Grêmio,Walter Kannemann,,walter-kannemann,W. Kannemann,D,4,183,2119,M,249647,EUR,668908800,D,4,4,False,29.0,20.0,4.0,,11.0,15.0,9.0,14.0,4.0,6.0,,,90.0,45.0,7.5,10.0,0.0,0.0,0.00280493,0,,1.0,2.0,4.0,8.0,1.0,1.0,2.0,4.0,4.0,2.0,True,1.0,2.0,1.0,,,,,,,,,,,,,,,,
11067585,home,Grêmio,João Pedro,,joao-pedro,J. Pedro,D,18,179,1116,M,605528,EUR,848016000,M,18,18,False,27.0,22.0,5.0,4.0,11.0,13.0,11.0,15.0,,9.0,,,90.0,56.0,7.1,11.0,0.1539,0.0,0.0150867,1,,2.0,,6.0,5.0,1.0,1.0,3.0,4.0,1.0,,,,,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,
11067585,home,Grêmio,Ronald,Ronald,ronald,Ronald,M,8,186,749,M,1587711,EUR,1044921600,M,35,35,False,31.0,26.0,1.0,,7.0,9.0,19.0,24.0,,5.0,,,68.0,45.0,7.5,10.0,0.1048,0.552,0.0249301,1,,2.0,1.0,3.0,5.0,1.0,2.0,,2.0,,,,3.0,2.0,,2.0,,,,,Falkoski,1.0,1.0,,,,,,,,
11067585,home,Grêmio,Felipe Carballo,,felipe-carballo,F. Carballo,M,,177,618,M,805038,EUR,844387200,M,8,8,False,55.0,40.0,9.0,3.0,22.0,23.0,18.0,34.0,2.0,12.0,,,90.0,67.0,6.7,18.0,0.0161,0.0,0.0211147,1,,,,4.0,4.0,3.0,,1.0,2.0,1.0,,,,1.0,,2.0,1.0,1.0,1.0,,,,,1.0,,,,,,,
11067585,home,Grêmio,Reinaldo,,reinaldo,Reinaldo,D,6,178,2574,M,243109,EUR,622944000,M,22,22,False,42.0,27.0,7.0,2.0,11.0,14.0,16.0,29.0,2.0,9.0,,,90.0,64.0,6.5,21.0,0.0,0.0,0.017605,0,,,1.0,4.0,5.0,,,1.0,3.0,3.0,1.0,,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,
11067585,home,Grêmio,Franco Cristaldo,,franco-cristaldo,F. Cristaldo,M,10,175,2295,M,558820,EUR,840067200,F,19,19,False,37.0,30.0,5.0,4.0,8.0,9.0,23.0,32.0,,3.0,,,85.0,57.0,7.2,16.0,0.0448,0.1205,0.129742,1,,4.0,,13.0,3.0,3.0,,2.0,3.0,1.0,1.0,,1.0,,1.0,4.0,5.0,,,,,1.0,,,1.0,1.0,1.0,,,,
11067585,home,Grêmio,Bitello,Bitello,bitello,Bitello,M,10,179,1768,M,1106839,EUR,947203200,F,39,39,False,26.0,18.0,2.0,,4.0,4.0,14.0,23.0,1.0,5.0,,,68.0,50.0,6.4,19.0,0.232,0.0,0.0511034,1,,1.0,1.0,6.0,6.0,1.0,,2.0,1.0,,,,6.0,4.0,1.0,1.0,3.0,1.0,,1.0,,,,,,,,1.0,,,
