match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,player_firstName,stat_clearanceOffLine,stat_outfielderBlock,stat_errorLeadToAGoal,player_lastName,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_fouls,stat_blockedScoringAttempt,stat_goals,captain,stat_totalOffside,stat_bigChanceCreated,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle,stat_bigChanceMissed,stat_hitWoodwork
12436471,home,Tottenham Hotspur,Fraser Forster,fraser-forster,F. Forster,G,17,201,1229,M,19314,EUR,574560000,G,20,20,False,27.0,22.0,7.0,3.0,0.0,21.0,24.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,6.0,90.0,38.0,6.8,5.0,0.00011362,0,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436471,home,Tottenham Hotspur,Pedro Porro,pedro-porro,P. Porro,D,23,173,10890,M,913654,EUR,937180800,D,23,23,False,61.0,49.0,10.0,7.0,0.0,24.0,29.0,27.0,37.0,,4.0,4.0,1.0,1.0,3.0,,,,90.0,86.0,6.1,21.0,0.152653,0,,pedroporro29,5.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12436471,home,Tottenham Hotspur,Radu Drăguşin,radu-dragusin,R. Drăguşin,D,3,191,13683,M,997103,EUR,1012694400,D,6,6,False,78.0,65.0,11.0,1.0,0.0,55.0,57.0,10.0,21.0,1.0,2.0,1.0,,6.0,3.0,,,,90.0,90.0,5.7,14.0,0.00554377,0,,radudragusin5,,,,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
12436471,home,Tottenham Hotspur,Archie Gray,archie-gray,A. Gray,D,14,187,5627,M,1142335,EUR,1142121600,D,14,14,False,78.0,71.0,3.0,1.0,0.0,63.0,68.0,8.0,10.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,,,90.0,86.0,6.3,7.0,0.00208666,0,,ArchieGray06,,,,,,2.0,1.0,,,,,Archie Gray,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12436471,home,Tottenham Hotspur,Djed Spence,djed-spence,D. Spence,D,24,184,4534,M,945798,EUR,965779200,D,24,24,False,62.0,58.0,1.0,1.0,0.0,43.0,44.0,15.0,18.0,,4.0,7.0,,3.0,8.0,,,,90.0,90.0,6.7,8.0,0.00993788,0,,,,,1.0,4.0,2.0,1.0,5.0,4.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,
12436471,home,Tottenham Hotspur,Pape Matar Sarr,pape-matar-sarr,P. M. Sarr,M,29,185,32679,M,1002711,EUR,1031961600,M,29,29,False,31.0,27.0,1.0,1.0,0.0,16.0,19.0,11.0,12.0,,2.0,4.0,,,3.0,,,,58.0,42.0,6.6,8.0,0.00534483,2,,pape,,,,1.0,,,2.0,1.0,3.0,,1.0,,,1.0,,,1.0,1.0,2.0,0.0787,0.0365,,,,,,,,,,,,
12436471,home,Tottenham Hotspur,Yves Bissouma,yves-bissouma,Y. Bissouma,M,8,181,19170,M,844842,EUR,841363200,M,8,8,False,68.0,60.0,2.0,1.0,0.0,40.0,43.0,20.0,25.0,,4.0,4.0,1.0,2.0,9.0,1.0,,,90.0,80.0,6.2,12.0,0.010495,0,,YB8,,,,,,1.0,3.0,2.0,3.0,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,
12436471,home,Tottenham Hotspur,Dejan Kulusevski,dejan-kulusevski,D. Kulusevski,M,21,186,11735,M,928124,EUR,956620800,M,21,21,False,30.0,24.0,,,0.0,3.0,4.0,21.0,28.0,,9.0,9.0,,,7.0,,,,90.0,58.0,7.0,19.0,0.0569543,3,,dejan_k10,2.0,,3.0,10.0,4.0,,2.0,2.0,2.0,1.0,,,,,,,1.0,1.0,3.0,0.4686,0.7447,,1.0,1.0,,,,,,,,,
12436471,home,Tottenham Hotspur,James Maddison,james-maddison,J. Maddison,M,10,175,15672,M,356398,EUR,848707200,M,10,10,False,28.0,23.0,3.0,1.0,0.0,10.0,10.0,13.0,18.0,,3.0,3.0,,,3.0,,,,58.0,39.0,7.2,8.0,0.024989,1,,Madders,,,,2.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,2.0,0.0943,0.3924,1.0,,1.0,,,,,,,,,
12436471,home,Tottenham Hotspur,Heung-min Son,heung-min-son,H. M. Son,F,7,184,117494,M,111505,EUR,710553600,M,7,7,False,24.0,21.0,,,0.0,8.0,9.0,13.0,17.0,,2.0,1.0,,,4.0,,,,82.0,36.0,6.3,10.0,0.0925361,1,,HMSon,2.0,,1.0,2.0,1.0,,,,2.0,,,,,,,,1.0,,,0.0273,,,,,True,3.0,,,,,,,
