match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_aerialLost,stat_shotOffTarget,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_accurateCross,player_sofascoreId,stat_blockedScoringAttempt,stat_dispossessed,stat_errorLeadToAGoal,stat_goalAssist,stat_bigChanceCreated,stat_hitWoodwork,stat_bigChanceMissed,stat_totalOffside
11396208,home,RB Leipzig,Péter Gulácsi,peter-gulacsi,P. Gulácsi,G,1,190,2361,M,37096,EUR,641952000,G,1,1,False,25.0,19.0,9.0,3.0,19.0,20.0,5.0,1.0,1.0,1.0,4.0,1.0,3.0,4.0,1.0,90.0,33.0,7.5,6.0,0.00017509,0,0.7503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396208,home,RB Leipzig,Mohamed Simakan,mohamed-simakan,M. Simakan,D,3,187,5879,M,945063,EUR,957312000,D,2,2,False,14.0,10.0,2.0,,6.0,8.0,8.0,,3.0,1.0,1.0,,,,,51.0,25.0,7.1,8.0,0.00246353,1,,,,4.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.4123,0.7156,1.0,,,,,,,,,,,,,,,,,
11396208,home,RB Leipzig,Willi Orbán,willi-orban,W. Orbán,D,4,186,3115,M,136924,EUR,720748800,D,4,4,False,45.0,41.0,1.0,1.0,30.0,31.0,14.0,4.0,6.0,4.0,3.0,,,,,90.0,53.0,6.9,4.0,0.0159018,1,,,,11.0,,3.0,,,,2.0,1.0,,,1.0,0.0939,,,True,2.0,1.0,,,,,,,,,,,,,,
11396208,home,RB Leipzig,Castello Lukeba,castello-lukeba,C. Lukeba,D,23,184,2734,M,976421,EUR,1040083200,D,23,23,False,44.0,42.0,2.0,,32.0,33.0,11.0,,3.0,3.0,4.0,,,,,90.0,54.0,7.1,2.0,0.0042713,0,,,,10.0,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,
11396208,home,RB Leipzig,David Raum,david-raum,D. Raum,D,22,180,2192,M,856076,EUR,893203200,D,22,22,False,33.0,26.0,3.0,2.0,15.0,15.0,24.0,,2.0,1.0,2.0,,,,,90.0,56.0,7.1,16.0,0.104283,0,,,,12.0,6.0,1.0,1.0,,,2.0,2.0,1.0,,,,,2.0,,,,,,,1.0,1.0,,,,,,,,,
11396208,home,RB Leipzig,Amadou Haidara,amadou-haidara,A. Haidara,M,21,174,6620,M,822708,EUR,886204800,M,8,8,False,27.0,25.0,4.0,3.0,11.0,12.0,15.0,2.0,7.0,3.0,6.0,,,,,87.0,37.0,7.1,2.0,0.0486118,1,,,,14.0,,2.0,1.0,,,3.0,2.0,,2.0,1.0,0.0831,,1.0,,,,,,,,,amadou_haidara04,1.0,,,,,,,
11396208,home,RB Leipzig,Xaver Schlager,xaver-schlager,X. Schlager,M,24,174,1069,M,791079,EUR,875404800,M,24,24,False,32.0,31.0,2.0,2.0,16.0,16.0,17.0,,5.0,,3.0,,,,,87.0,43.0,7.2,2.0,0.023138,2,,,,15.0,1.0,2.0,1.0,1.0,,2.0,2.0,,1.0,1.0,0.0675,0.299,,,,,2.0,2.0,,,,,1.0,,,,,,,
11396208,home,RB Leipzig,Dani Olmo,dani-olmo,D. Olmo,M,20,179,190811,M,789071,EUR,894499200,M,7,7,False,32.0,24.0,4.0,3.0,9.0,10.0,23.0,,9.0,2.0,3.0,,,,,90.0,58.0,8.1,13.0,0.0676203,5,,,,16.0,1.0,5.0,1.0,,,4.0,3.0,1.0,,1.0,0.1853,,4.0,,,5.0,6.0,5.0,,2.0,1.0,DaniOlmo,,2.0,1.0,,,,,
11396208,home,RB Leipzig,Xavi Simons,xavi-simons,X. Simons,M,7,179,50786,M,997183,EUR,1050883200,M,20,20,False,33.0,27.0,3.0,3.0,9.0,9.0,26.0,,8.0,,7.0,,,,,90.0,63.0,8.0,18.0,0.290252,6,,,,19.0,2.0,6.0,,1.0,,1.0,1.0,5.0,1.0,,0.2314,0.0155,1.0,,,4.0,9.0,6.0,,,1.0,XaviSimons,1.0,3.0,,1.0,1.0,1.0,,
11396208,home,RB Leipzig,Loïs Openda,lois-openda,L. Openda,F,20,177,15660,M,835480,EUR,950659200,F,17,17,False,19.0,16.0,,,6.0,6.0,13.0,,2.0,2.0,5.0,,,,,88.0,35.0,8.5,9.0,0.255973,3,,,,10.0,,7.0,1.0,2.0,1.0,,,3.0,2.0,2.0,0.8085,0.8568,4.0,,2.0,1.0,1.0,,,,,l_openda,,2.0,,1.0,1.0,,,
