match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_dispossessed,stat_errorLeadToAShot,captain,stat_aerialLost,stat_outfielderBlock,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_goals,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork,stat_clearanceOffLine,stat_totalOffside
14083580,home,Mallorca,Leo Román,,,leo-roman,L. Román,G,1,189.0,1557,M,1131909,EUR,962841600,G,1,1,False,36.0,22.0,24.0,10.0,0.0,14.0,18.0,8.0,18.0,7.0,2.0,3.0,90.0,39.0,7.3,14.0,0.00563726,0.1971,0,0.3831,0.1,0.01,0.17,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083580,home,Mallorca,Pablo Maffeo,,,pablo-maffeo,P. Maffeo,D,23,173.0,2206,M,788216,EUR,868665600,D,23,23,False,29.0,25.0,6.0,2.0,0.0,12.0,14.0,13.0,15.0,2.0,,,90.0,60.0,7.5,11.0,0.0237667,,1,,0.21,0.16,0.2,,1.0,3.0,4.0,12.0,1.0,5.0,4.0,1.0,6.0,1.0,4.0,1.0,3.0,1.0,2.0,0.1337,1.0,-0.16,,,,,,,,,,,,,,,,,
14083580,home,Mallorca,Martin Valjent,,,martin-valjent,M. Valjent,D,24,187.0,757,M,300522,EUR,818640000,D,24,24,False,30.0,24.0,5.0,2.0,0.0,17.0,19.0,7.0,11.0,2.0,,,90.0,48.0,7.0,9.0,0.00173532,,1,,0.02,0.03,0.26,,,3.0,2.0,3.0,,1.0,,1.0,10.0,1.0,,,,,,0.0141,,-0.02,1.0,1.0,,,,,,,,,,,,,,,
14083580,home,Mallorca,Antonio Raíllo,,,antonio-raillo,A. Raíllo,D,21,186.0,793,M,807116,EUR,686880000,D,21,21,False,35.0,30.0,4.0,3.0,0.0,18.0,19.0,12.0,16.0,2.0,,,90.0,46.0,7.3,6.0,0.00361517,,1,,-0.02,0.0,0.32,,,4.0,1.0,5.0,,,,1.0,6.0,,1.0,,1.0,,,0.0108,,-0.12,,,True,1.0,2.0,,,,,,,,,,,,
14083580,home,Mallorca,Johan Mojica,,,johan-mojica,J. Mojica,D,22,185.0,3950,M,344847,EUR,714355200,D,22,22,False,33.0,23.0,5.0,4.0,0.0,10.0,16.0,13.0,17.0,6.0,,,90.0,77.0,7.9,20.0,0.153456,,1,,0.39,0.05,0.5,,4.0,,5.0,8.0,,4.0,2.0,,5.0,,5.0,3.0,2.0,1.0,2.0,0.0275,2.0,0.01,1.0,,,,,1.0,1.0,0.0572,,,,,,,,,
14083580,home,Mallorca,Samú Costa,,,samuel-costa,S. Costa,M,12,183.0,1427,M,988351,EUR,975283200,M,12,12,False,34.0,26.0,5.0,3.0,0.0,14.0,17.0,12.0,17.0,3.0,,,90.0,48.0,7.1,11.0,0.0117262,,1,,0.07,0.27,0.3,,1.0,3.0,8.0,9.0,,2.0,,1.0,3.0,,2.0,,,4.0,2.0,0.0144,,-0.11,,,,4.0,,,,,,,,,,,,,
14083580,home,Mallorca,Manu Morlanes,,,manu-morlanes,M. Morlanes,M,8,178.0,430,M,826004,EUR,916099200,M,8,8,False,37.0,33.0,3.0,3.0,0.0,20.0,20.0,13.0,17.0,10.0,,,87.0,55.0,7.5,7.0,0.0119626,,1,,0.1,0.18,0.2,,,1.0,4.0,10.0,,3.0,2.0,,1.0,,6.0,2.0,,1.0,1.0,0.0724,,0.04,2.0,,,1.0,1.0,,,,1.0,,,,,,,,
14083580,home,Mallorca,Marc Domenech,Marc Domenech,,marc-domenech,M. Domenech,M,30,182.0,265,M,1914318,EUR,1136073600,M,30,30,False,12.0,6.0,1.0,,1.0,4.0,7.0,2.0,5.0,4.0,,,58.0,28.0,6.6,12.0,0.154215,,1,,0.2,-0.05,0.16,,,,6.0,2.0,,2.0,,,,,1.0,,3.0,1.0,1.0,0.0215,1.0,-0.12,1.0,,,2.0,,,,,1.0,1.0,,,,,,,
14083580,home,Mallorca,Sergi Darder,,,sergi-darder,S. Darder,M,10,180.0,979,M,110783,EUR,756518400,M,10,10,False,22.0,18.0,4.0,3.0,0.0,7.0,8.0,11.0,14.0,2.0,,,87.0,45.0,6.8,16.0,0.0500813,,1,,0.23,0.1,-0.03,,7.0,1.0,8.0,5.0,1.0,4.0,1.0,,,1.0,2.0,1.0,3.0,1.0,1.0,0.0317,1.0,0.01,2.0,,,1.0,,3.0,,,1.0,,,,,,,,
14083580,home,Mallorca,Takuma Asano,,,takuma-asano,T. Asano,M,11,173.0,2033,M,309546,EUR,784425600,M,11,11,False,15.0,11.0,,,0.0,2.0,3.0,9.0,12.0,2.0,,,69.0,24.0,7.9,7.0,0.0148868,,1,,0.22,-0.53,0.17,,1.0,1.0,2.0,5.0,,1.0,,,1.0,,1.0,,1.0,3.0,,0.2963,,0.51,,,,1.0,,,1.0,0.7134,,,1.0,,,,,,
