match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,captain,stat_aerialWon,stat_outfielderBlock,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_shotOffTarget,stat_expectedGoals,player_firstName,player_lastName,stat_unsuccessfulTouch,stat_fouls,player_sofascoreId,stat_goalAssist,stat_totalCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_hitWoodwork,stat_goals,stat_accurateCross,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_totalOffside
11399396,home,Feyenoord,Justin Bijlow,bijlow-justin,J. Bijlow,G,16,190,1386,M,556696,EUR,885427200,G,1,1,False,62.0,55.0,15.0,8.0,50.0,52.0,5.0,10.0,1.0,11.0,1.0,1.0,1.0,90.0,69.0,7.1,7.0,0.00172921,0,0.1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399396,home,Feyenoord,Lutsharel Geertruida,lutsharel-geertruida,L. Geertruida,D,6,185,2489,M,856739,EUR,963878400,D,4,4,False,44.0,41.0,3.0,3.0,24.0,27.0,17.0,17.0,,6.0,,,,90.0,66.0,7.2,7.0,0.109293,0,,2.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11399396,home,Feyenoord,Gernot Trauner,gernot-trauner,G. Trauner,D,18,183,610,M,121588,EUR,701481600,D,18,18,False,81.0,76.0,9.0,7.0,59.0,61.0,17.0,20.0,2.0,5.0,,,,90.0,89.0,7.5,6.0,0.0270083,0,,1.0,4.0,1.0,,,,,,2.0,True,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11399396,home,Feyenoord,Dávid Hancko,david-hancko,D. Hancko,D,17,188,4795,M,807771,EUR,881971200,D,33,33,False,101.0,91.0,13.0,3.0,77.0,77.0,14.0,24.0,1.0,4.0,,,,90.0,107.0,7.2,10.0,0.0521264,1,,2.0,3.0,,2.0,2.0,,,,,,1.0,1.0,,1.0,1.0,1.0,0.0869,,,,,,,,,,,,,,,,,,
11399396,home,Feyenoord,Quilindschy Hartman,quilindschy-hartman,Q. Hartman,D,3,183,1253,M,1392044,EUR,1005696000,D,5,5,False,62.0,52.0,7.0,3.0,33.0,37.0,19.0,25.0,1.0,4.0,,,,90.0,79.0,7.2,13.0,0.0753296,0,,3.0,4.0,,1.0,1.0,2.0,2.0,1.0,,,1.0,,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,
11399396,home,Feyenoord,Alireza Jahanbakhsh,alireza-jahanbakhsh,A. Jahanbakhsh,M,27,180,3825,M,331837,EUR,745027200,M,7,7,False,37.0,29.0,2.0,1.0,15.0,18.0,14.0,22.0,,8.0,,,,80.0,72.0,8.2,19.0,0.149924,2,,4.0,10.0,,5.0,3.0,2.0,6.0,4.0,1.0,,,,3.0,,2.0,,0.0229,,,6.0,,alirezajb,1.0,3.0,1.0,1.0,1.0,0.0555,,,,,,,
11399396,home,Feyenoord,Mats Wieffer,mats-wieffer,M. Wieffer,M,27,188,2174,M,959628,EUR,942710400,M,20,20,False,55.0,51.0,1.0,,29.0,32.0,22.0,23.0,,7.0,,,,90.0,72.0,7.1,8.0,0.0348068,1,,4.0,6.0,1.0,,,1.0,3.0,1.0,,,3.0,,,,,1.0,0.1258,,,3.0,3.0,,,,,,,,,,,,,,
11399396,home,Feyenoord,Quinten Timber,quinten-timber,Q. Timber,M,27,177,8611,M,959805,EUR,992736000,M,8,8,False,30.0,27.0,1.0,,13.0,14.0,14.0,16.0,2.0,5.0,,,,90.0,55.0,8.6,8.0,0.0624358,4,,4.0,6.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,,,1.0,,1.0,,1.0,0.1942,,,2.0,,,,,,3.0,,0.8639,2.0,1.0,,,,,
11399396,home,Feyenoord,Igor Paixão,igor-paixao,I. Paixão,F,14,168,12525,M,981815,EUR,962150400,M,14,14,False,15.0,11.0,2.0,1.0,2.0,2.0,10.0,16.0,,2.0,,,,67.0,29.0,6.9,10.0,0.0792179,0,,1.0,2.0,1.0,,,,,,2.0,,1.0,,1.0,,,,,,,2.0,,,,3.0,,,,,,,1.0,,,,
11399396,home,Feyenoord,Calvin Stengs,calvin-stengs,C. Stengs,M,23,187,1733,M,857480,EUR,913939200,F,10,10,False,35.0,25.0,2.0,1.0,8.0,9.0,18.0,30.0,,5.0,,,,90.0,53.0,6.5,20.0,0.158781,2,,6.0,2.0,3.0,2.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,0.1012,,,3.0,1.0,,,4.0,,1.0,1.0,0.0439,,,1.0,1.0,,,
