match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_shotValueNormalized,captain,stat_aerialLost,stat_totalOffside,stat_outfielderBlock,stat_dispossessed,stat_fouls,stat_wonTackle,stat_wonContest,stat_accurateCross,stat_onTargetScoringAttempt,stat_errorLeadToAGoal,stat_expectedGoalsOnTarget,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_bigChanceCreated,stat_lastManTackle,stat_bigChanceMissed,stat_goals,stat_hitWoodwork
14109637,home,Eyüpspor,Marcos Felipe,marcos-felipe,M. Felipe,G,1,189.0,1142,M,358524,EUR,829353600,G,1,1,False,40.0,30.0,15.0,6.0,0.0,27.0,33.0,3.0,7.0,1.0,1.0,4.0,9.0,1.0,1.0,3.0,8.0,3.0,90.0,57.0,6.9,10.0,0.00503857,0.6148,1.0,0,-0.3503,0.06,0.02,-0.22,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109637,home,Eyüpspor,Umut Meraş,umut-meras,U. Meraş,D,77,178.0,154,M,609746,EUR,819417600,D,77,77,False,19.0,14.0,3.0,1.0,0.0,11.0,14.0,3.0,5.0,1.0,3.0,2.0,3.0,,,,,,61.0,36.0,6.7,10.0,0.0192915,,,2,,-0.07,0.13,0.13,,,,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0765,0.0,,,,,,,,,,,,,,,,,,,,
14109637,home,Eyüpspor,Robin Yalçın,robin-yalcin,R. Yalçın,D,2,183.0,91,M,138154,EUR,759456000,D,6,6,False,35.0,31.0,4.0,1.0,0.0,29.0,29.0,2.0,6.0,,1.0,2.0,1.0,,,,,,90.0,45.0,6.1,6.0,0.0032247,,,1,,0.02,0.11,-0.34,,,,,3.0,1.0,,1.0,,1.0,,2.0,1.0,0.0339,-0.05,True,2.0,1.0,,,,,,,,,,,,,,,,,
14109637,home,Eyüpspor,Luccas Claro,luccas-claro,L. Claro,D,4,182.0,171,M,998209,EUR,687916800,D,4,4,False,24.0,21.0,2.0,1.0,0.0,19.0,22.0,2.0,2.0,,1.0,5.0,5.0,1.0,,,,,90.0,38.0,6.3,3.0,0.0022749,,,0,,-0.08,0.06,-0.24,,,,,1.0,,,,,1.0,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,
14109637,home,Eyüpspor,Nihad Mujakić,nihad-mujakic,N. Mujakić,D,5,189.0,775,M,858004,EUR,892598400,D,18,18,False,34.0,25.0,8.0,2.0,0.0,23.0,26.0,2.0,8.0,,,6.0,3.0,,,,,,90.0,51.0,6.3,12.0,0.00040062,,,0,,-0.02,0.0,-0.06,,,,,4.0,,,,,1.0,,,,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
14109637,home,Eyüpspor,Serdar Gürler,serdar-gurler,S. Gürler,M,7,176.0,112,M,96520,EUR,684806400,D,11,11,False,16.0,10.0,3.0,,0.0,6.0,9.0,4.0,7.0,,2.0,2.0,3.0,,,,,,78.0,25.0,6.3,9.0,0.0017811,,,1,,0.03,0.03,-0.15,,,,1.0,6.0,,2.0,1.0,,,2.0,,,0.0268,-0.14,,3.0,,,,1.0,1.0,,,,,,,,,,,,,
14109637,home,Eyüpspor,Svit Sešlar,svit-seslar,S. Sešlar,M,10,185.0,669,M,946291,EUR,1010534400,M,99,99,False,31.0,25.0,4.0,2.0,0.0,15.0,18.0,10.0,13.0,,8.0,2.0,7.0,,,,,,90.0,55.0,7.6,12.0,0.0520393,,2.0,2,,0.27,0.12,-0.12,,,,,7.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0585,0.01,,,,,4.0,,2.0,3.0,,,,,,,,,,,,
14109637,home,Eyüpspor,Kerem Demirbay,kerem-demirbay,K. Demirbay,M,26,185.0,2104,M,142619,EUR,741657600,M,10,10,False,47.0,35.0,9.0,3.0,0.0,20.0,24.0,15.0,23.0,1.0,9.0,1.0,9.0,,,,,,90.0,73.0,7.2,20.0,0.047789,,1.0,1,,0.18,0.24,0.25,,,,6.0,5.0,1.0,3.0,,1.0,2.0,4.0,1.0,2.0,0.0366,-0.11,,1.0,,1.0,1.0,1.0,2.0,2.0,3.0,,,,,,,,,,,
14109637,home,Eyüpspor,Yalçın Kayan,yalcin-kayan,Y. Kayan,M,20,182.0,80,M,945548,EUR,917654400,M,30,30,False,22.0,18.0,2.0,,0.0,14.0,16.0,4.0,6.0,,2.0,1.0,5.0,,,,,,78.0,34.0,6.2,7.0,0.0214309,,1.0,0,,0.05,0.0,-0.07,,,,1.0,7.0,1.0,,,,1.0,1.0,,1.0,,,,1.0,1.0,,3.0,2.0,,,1.0,,,,,,,,,,,
14109637,home,Eyüpspor,Prince Ampem,prince-ampem,P. Ampem,M,40,171.0,278,M,923888,EUR,892425600,M,40,40,False,16.0,9.0,1.0,,0.0,4.0,6.0,5.0,10.0,1.0,6.0,1.0,3.0,,,,,,90.0,37.0,6.0,17.0,0.00412272,,1.0,2,,-0.17,0.29,-0.48,,,,3.0,6.0,,5.0,,,1.0,,2.0,2.0,0.1459,-0.38,,,2.0,,3.0,1.0,,3.0,,2.0,1.0,0.1869,,,,,,,,
