match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_interceptionWon,stat_wasFouled,stat_fouls,captain,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalOffside,stat_keyPass,stat_blockedScoringAttempt,stat_shotOffTarget,stat_bigChanceMissed,stat_goals,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal,stat_errorLeadToAShot
12436419,home,Crystal Palace,Dean Henderson,,,dean-henderson,D. Henderson,G,1,188,5010,M,deanhenderson,788134,EUR,858124800,G,1,1,False,36.0,23.0,20.0,9.0,0.0,14.0,18.0,9.0,18.0,1.0,1.0,2.0,4.0,1.0,2.0,90.0,43.0,6.7,13.0,0.00328692,0,-0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436419,home,Crystal Palace,Chris Richards,,,chris-richards,C. Richards,D,26,188,2004,M,,931844,EUR,954201600,D,26,26,False,46.0,35.0,8.0,5.0,0.0,27.0,33.0,8.0,13.0,2.0,4.0,3.0,1.0,,,90.0,61.0,6.9,14.0,0.00340303,1,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.061,0.1977,,,,,,,,,,,,,,,,,,,,,
12436419,home,Crystal Palace,Maxence Lacroix,,,maxence-lacroix,M. Lacroix,D,5,192,6873,M,,879674,EUR,954979200,D,5,5,False,42.0,35.0,7.0,3.0,0.0,30.0,32.0,5.0,11.0,1.0,6.0,4.0,5.0,,,90.0,55.0,7.0,8.0,0.00177807,1,,,1.0,,,1.0,,3.0,1.0,,0.037,0.0115,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
12436419,home,Crystal Palace,Marc Guéhi,,,marc-guehi,M. Guéhi,D,15,182,22326,M,MarcGuehi13,877994,EUR,963446400,D,6,6,False,46.0,37.0,10.0,5.0,0.0,30.0,32.0,7.0,14.0,1.0,3.0,3.0,5.0,,,90.0,63.0,6.9,11.0,0.00388616,0,,,1.0,,,,1.0,2.0,,1.0,,,,1.0,,1.0,True,,,,,,,,,,,,,,,,
12436419,home,Crystal Palace,Daniel Muñoz,,,daniel-munoz,D. Muñoz,M,2,183,12060,M,daniel.chitiva,870360,EUR,833068800,M,12,12,False,19.0,14.0,1.0,1.0,0.0,7.0,9.0,10.0,16.0,,9.0,,4.0,,,90.0,50.0,7.8,11.0,0.240467,0,,3.0,5.0,1.0,,,,5.0,3.0,1.0,,,6.0,2.0,2.0,,,3.0,3.0,2.0,1.0,1.0,4.0,,,,,,,,,,
12436419,home,Crystal Palace,Cheick Doucouré,,,cheick-doucoure,C. Doucouré,M,28,181,1463,M,,906047,EUR,947289600,M,28,28,False,22.0,18.0,2.0,2.0,0.0,12.0,13.0,6.0,9.0,1.0,3.0,4.0,4.0,,,69.0,31.0,6.8,4.0,0.00701731,1,,1.0,3.0,,,,,2.0,2.0,,0.0241,,,1.0,,2.0,,,,,,,,1.0,,,,,,,,,
12436419,home,Crystal Palace,Jefferson Lerma,,,jefferson-lerma,J. Lerma,M,8,179,5444,M,jeffersonlerma,355796,EUR,783043200,M,8,8,False,35.0,26.0,5.0,4.0,0.0,16.0,19.0,10.0,16.0,2.0,7.0,,9.0,,,90.0,54.0,7.1,12.0,0.0234976,2,,1.0,6.0,1.0,1.0,1.0,,,,,0.0532,0.0529,,1.0,5.0,2.0,,,2.0,1.0,,,,,1.0,,,,,,,,
12436419,home,Crystal Palace,Tyrick Mitchell,,,tyrick-mitchell,T. Mitchell,M,3,174,1388,M,,988275,EUR,936144000,M,3,3,False,30.0,23.0,5.0,3.0,0.0,13.0,18.0,10.0,13.0,,7.0,,8.0,,,90.0,45.0,7.3,10.0,0.0090162,0,,,2.0,1.0,,,2.0,6.0,4.0,2.0,,,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,
12436419,home,Crystal Palace,Ismaïla Sarr,,,ismaila-sarr,I. Sarr,F,7,185,26789,M,ismaila_sarr18,845286,EUR,888364800,F,7,7,False,18.0,13.0,2.0,1.0,0.0,3.0,4.0,10.0,16.0,,3.0,2.0,3.0,,,90.0,33.0,6.9,12.0,0.112428,0,,1.0,5.0,,3.0,,,2.0,2.0,,,,2.0,,1.0,,,,1.0,,,,3.0,,,,,,,,,,
12436419,home,Crystal Palace,Eberechi Eze,,,eberechi-eze,E. Eze,F,10,178,55840,M,eze,864921,EUR,899078400,F,10,10,False,24.0,20.0,1.0,,1.0,14.0,14.0,8.0,17.0,,2.0,,6.0,,,87.0,44.0,7.2,12.0,0.0865861,4,,,1.0,,,1.0,,1.0,1.0,1.0,0.4597,0.0533,7.0,,1.0,,,2.0,1.0,,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,
