match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,captain,stat_totalCross,stat_duelLost,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_lastManTackle,stat_fouls,stat_expectedGoals,player_sofascoreId,stat_totalContest,stat_wonContest,stat_keyPass,stat_unsuccessfulTouch,player_lastName,stat_aerialLost,stat_accurateCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_bigChanceMissed,stat_aerialWon,stat_bigChanceCreated,stat_goals,stat_errorLeadToAShot
12437738,home,Girona FC,Paulo Gazzaniga,paulo-gazzaniga,P. Gazzaniga,G,13,196,1913,M,164343,EUR,694310400,G,13,13,False,32.0,28.0,8.0,5.0,0.0,26.0,27.0,2.0,5.0,1.0,2.0,6.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,90.0,42.0,6.9,4.0,0.00173507,0,-1.4139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437738,home,Girona FC,Arnau Martínez,arnau-martinez,A. Martínez,D,4,181,1573,M,1084081,EUR,1051228800,D,4,4,False,43.0,39.0,3.0,2.0,0.0,23.0,26.0,16.0,18.0,,,2.0,,,,,,,,90.0,49.0,6.1,5.0,0.0135306,0,,Arnau Martinez,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12437738,home,Girona FC,David López,david-lopez,D. López,D,5,185,551,M,135116,EUR,623894400,D,5,5,False,60.0,56.0,3.0,1.0,0.0,47.0,51.0,9.0,9.0,1.0,2.0,6.0,,,,,,,,90.0,64.0,6.2,4.0,0.00368941,0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12437738,home,Girona FC,Ladislav Krejčí,ladislav-krejci,L. Krejčí,D,37,191,2172,M,856250,EUR,924566400,D,18,18,False,71.0,65.0,1.0,,0.0,38.0,40.0,27.0,31.0,2.0,3.0,2.0,1.0,,,,,,,90.0,84.0,7.0,7.0,0.0278784,1,,,,,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0444,,,,,,,,,,,,,,,,,
12437738,home,Girona FC,Miguel Gutiérrez,miguel-gutierrez,M. Gutiérrez,D,3,180,4281,M,908716,EUR,996192000,D,3,3,False,53.0,48.0,3.0,3.0,0.0,19.0,21.0,29.0,38.0,2.0,3.0,6.0,,,,,,,,90.0,71.0,6.8,11.0,0.0939857,0,,,,6.0,2.0,1.0,1.0,1.0,,,,,,1.0,,MGutiérrez,1.0,1.0,2.0,,,,,,,,,,,,,
12437738,home,Girona FC,Iván Martín,ivan-martin,I. Martín,M,23,178,895,M,973699,EUR,918950400,M,23,23,False,51.0,49.0,2.0,1.0,0.0,29.0,30.0,20.0,21.0,3.0,,4.0,1.0,,,,,,,90.0,60.0,6.6,4.0,0.0229327,0,,,,,,,2.0,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,
12437738,home,Girona FC,Oriol Romeu,oriol-romeu,O. Romeu,M,28,182,14412,M,69416,EUR,685670400,M,14,14,False,57.0,52.0,8.0,6.0,0.0,19.0,20.0,33.0,37.0,1.0,1.0,2.0,,,,,,,,90.0,65.0,6.6,7.0,0.0310145,0,,,,,5.0,1.0,1.0,,,,,,,3.0,,oriolromeu,,,1.0,2.0,,1.0,,,,,,,,,,
12437738,home,Girona FC,Yáser Asprilla,yaser-asprilla,Y. Asprilla,M,22,176,9605,M,1092769,EUR,1069200000,M,10,10,False,27.0,21.0,4.0,4.0,0.0,8.0,9.0,14.0,25.0,2.0,,3.0,,,,,,,,90.0,48.0,7.1,17.0,0.0695067,5,,Yaser Asprilla,,7.0,2.0,,,,,2.0,,,,,0.1362,yaser_asprilla_10,4.0,2.0,1.0,1.0,,,1.0,2.0,1.0,0.1014,,,,,,
12437738,home,Girona FC,Donny van de Beek,donny-van-de-beek,D. v. d. Beek,M,6,183,7962,M,361790,EUR,861321600,M,6,6,False,21.0,17.0,,,0.0,7.0,9.0,10.0,13.0,4.0,,1.0,,,,,,,,78.0,29.0,6.7,6.0,0.0156579,1,,,,1.0,2.0,1.0,4.0,2.0,1.0,1.0,,,,,0.0635,donnyvdbeek,,,1.0,,,,,,,,,,,,,
12437738,home,Girona FC,Bryan Gil,bryan-gil,B. Gil,M,21,176,3585,M,910026,EUR,981849600,M,20,20,False,32.0,30.0,,,0.0,10.0,10.0,20.0,22.0,2.0,,3.0,2.0,,,,,,,58.0,43.0,6.6,9.0,0.019593,1,,,,,3.0,,,,2.0,1.0,,,,,0.0389,bryan11gil,1.0,,,4.0,,,,,,,,,,,,
