match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_totalContest,stat_wonContest,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,captain,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_errorLeadToAShot
12436454,home,West Ham United,Łukasz Fabiański,lukasz-fabianski,Ł. Fabiański,G,22,190,3777,M,lukasz.fabianski,15479,EUR,482630400,G,1,1,False,37.0,18.0,28.0,9.0,0.0,12.0,13.0,6.0,24.0,9.0,4.0,90.0,46.0,7.0,19.0,0.00176019,0,0.3134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436454,home,West Ham United,Aaron Wan-Bissaka,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18282,M,awbissaka,863653,EUR,880502400,D,29,29,False,42.0,36.0,2.0,1.0,0.0,16.0,17.0,22.0,29.0,4.0,,90.0,61.0,7.0,11.0,0.127512,0,,,,4.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
12436454,home,West Ham United,Konstantinos Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,194,2680,M,,829022,EUR,881798400,D,15,15,False,50.0,45.0,7.0,6.0,0.0,29.0,30.0,16.0,20.0,4.0,,90.0,67.0,7.4,6.0,0.0153929,2,,,,,,3.0,1.0,3.0,5.0,,3.0,1.0,2.0,,1.0,,,1.0,1.0,3.0,2.0,0.1801,,,,,,,,,,,,,,,,
12436454,home,West Ham United,Max Kilman,max-kilman,M. Kilman,D,3,192,1250,M,,894474,EUR,864345600,D,26,26,False,59.0,49.0,8.0,3.0,0.0,37.0,40.0,12.0,19.0,3.0,,90.0,75.0,7.4,12.0,0.0547717,2,,,,,,1.0,7.0,2.0,8.0,,7.0,2.0,1.0,1.0,,,1.0,,2.0,1.0,,0.1293,1.0,,,,,,,,,,,,,,,
12436454,home,West Ham United,Emerson Palmieri,emerson-palmieri,Emerson,D,33,176,2398,M,,155997,EUR,775872000,D,33,33,False,44.0,37.0,8.0,4.0,0.0,16.0,18.0,22.0,29.0,8.0,,88.0,63.0,7.1,11.0,0.11221,0,,,,3.0,1.0,,,1.0,3.0,,1.0,,,,,1.0,1.0,,,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,
12436454,home,West Ham United,Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10872,M,EdsonAlvarez19,847151,EUR,877651200,M,19,19,False,27.0,23.0,1.0,,0.0,11.0,12.0,12.0,15.0,3.0,,88.0,39.0,6.8,7.0,0.00638141,0,,,,,,1.0,3.0,4.0,7.0,1.0,2.0,1.0,3.0,1.0,2.0,,,,,,1.0,,,,2.0,,,,,,,,,,,,,
12436454,home,West Ham United,Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3256,M,,799041,EUR,793843200,M,28,28,False,32.0,18.0,2.0,1.0,0.0,7.0,10.0,11.0,22.0,2.0,,90.0,42.0,7.2,16.0,0.00746067,3,,,,,,8.0,6.0,12.0,7.0,,1.0,,,,1.0,4.0,,2.0,,,1.0,0.087,,,,1.0,1.0,0.0884,,,,,,,,,,
12436454,home,West Ham United,Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89524,M,Kudus,905163,EUR,965174400,M,14,14,False,32.0,30.0,,,1.0,10.0,10.0,21.0,25.0,5.0,,87.0,61.0,7.2,13.0,0.096688,3,,,,3.0,1.0,1.0,,10.0,9.0,3.0,,,3.0,2.0,4.0,2.0,1.0,1.0,1.0,,2.0,0.057,6.0,4.0,2.0,1.0,,0.0468,2.0,,,,,,,,,
12436454,home,West Ham United,Carlos Soler,carlos-soler,C. Soler,M,18,180,3724,M,Carlos10Soler,832427,EUR,852163200,M,4,4,False,34.0,32.0,2.0,1.0,0.0,15.0,15.0,18.0,21.0,4.0,,64.0,44.0,6.8,5.0,0.0612332,2,,,,2.0,1.0,1.0,,3.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,2.0,,,0.1832,1.0,1.0,,,,,,,,,,,,,,
12436454,home,West Ham United,Crysencio Summerville,crysencio-summerville,C. Summerville,M,7,174,5285,M,csummerville7,917005,EUR,1004400000,M,7,7,False,23.0,21.0,,,0.0,6.0,7.0,17.0,21.0,2.0,,73.0,43.0,7.5,8.0,0.424608,3,,,,5.0,2.0,2.0,,5.0,5.0,2.0,,,,,1.0,1.0,4.0,1.0,2.0,,4.0,0.1053,1.0,1.0,,,,,2.0,,,,,,,,,
