match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_challengeLost,stat_outfielderBlock,stat_keyPass,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalCross,stat_accurateCross,stat_fouls,stat_wasFouled,stat_dispossessed,stat_shotOffTarget,stat_goals,stat_penaltyConceded,stat_bigChanceMissed,stat_totalOffside,captain,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal,stat_penaltyWon
11452996,home,Al-Nassr,Nawaf Al-Aqidi,,,nawaf-al-aqidi,N. Al-Aqidi,G,1,188.0,1512,M,1014518,EUR,957916800,G,44,44,False,36.0,25.0,22.0,11.0,22.0,22.0,3.0,14.0,9.0,4.0,1.0,6.0,90.0,48.0,7.5,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452996,home,Al-Nassr,Sultan Al-Ghannam,,,sultan-al-ghannam,S. Al-Ghannam,D,2,173.0,1607,M,830126,EUR,768182400,D,2,2,False,55.0,47.0,6.0,2.0,27.0,34.0,20.0,21.0,5.0,,,,90.0,78.0,6.6,13.0,1,2.0,1.0,4.0,6.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11452996,home,Al-Nassr,Ali Lajami,,,ali-lajami,A. Lajami,D,78,175.0,1281,M,818667,EUR,830390400,D,78,78,False,51.0,47.0,8.0,5.0,39.0,40.0,8.0,11.0,4.0,,,,90.0,72.0,7.3,4.0,0,1.0,,2.0,2.0,1.0,1.0,,9.0,5.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11452996,home,Al-Nassr,Aymeric Laporte,,,aymeric-laporte,A. Laporte,D,14,191.0,10350,M,149734,EUR,769996800,D,27,27,False,53.0,49.0,7.0,5.0,41.0,44.0,8.0,9.0,4.0,,,,90.0,58.0,7.1,4.0,1,,1.0,,2.0,,,,1.0,1.0,1.0,1.0,,,,1.0,laporte27,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11452996,home,Al-Nassr,Alex Telles,,,alex-telles,A. Telles,D,13,181.0,7625,M,312110,EUR,724377600,D,15,15,False,55.0,45.0,9.0,4.0,30.0,34.0,17.0,23.0,6.0,,,,90.0,81.0,7.2,11.0,0,,1.0,6.0,4.0,,,,7.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,alextelles13,,,,2.0,2.0,4.0,,,,,,,,,,,,,
11452996,home,Al-Nassr,Abdullah Al-Khaibari,,,abdullah-alkhaibari,A. Al-Khaibari,M,17,178.0,1250,M,867179,EUR,840153600,M,17,17,False,43.0,41.0,4.0,4.0,26.0,27.0,15.0,16.0,1.0,,,,89.0,57.0,7.2,3.0,0,,,1.0,10.0,,,,1.0,2.0,9.0,5.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
11452996,home,Al-Nassr,Marcelo Brozović,,,marcelo-brozovic,M. Brozović,M,11,181.0,13081,M,108800,EUR,721872000,M,77,77,False,68.0,57.0,9.0,7.0,32.0,36.0,25.0,32.0,9.0,,,,90.0,86.0,6.6,17.0,1,,,6.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,marcelo_brozovic,,,,,,,1.0,2.0,,,,,,,,,,,
11452996,home,Al-Nassr,Anderson Talisca,,,anderson-talisca,A. Talisca,M,94,191.0,20484,M,329245,EUR,760060800,M,94,94,False,38.0,29.0,3.0,2.0,17.0,20.0,12.0,21.0,3.0,,,,90.0,61.0,8.7,15.0,5,2.0,,10.0,8.0,3.0,2.0,2.0,,,2.0,2.0,1.0,2.0,,3.0,AndersonTalisca,1.0,2.0,2.0,3.0,,4.0,4.0,1.0,1.0,2.0,1.0,,,,,,,,
11452996,home,Al-Nassr,Otávio,,,otavio,Otávio,M,25,171.0,6951,M,244801,EUR,792288000,M,25,25,False,32.0,26.0,3.0,2.0,8.0,9.0,18.0,24.0,5.0,,,,77.0,44.0,6.8,12.0,0,,,8.0,4.0,1.0,,,,,2.0,1.0,2.0,1.0,,2.0,otavio,,,,1.0,,4.0,2.0,2.0,,,,,,,,,,,
11452996,home,Al-Nassr,Sadio Mané,,,sadio-mane,S. Mané,M,10,175.0,169227,M,217704,EUR,702864000,M,10,10,False,29.0,21.0,2.0,1.0,10.0,13.0,11.0,17.0,8.0,,,,84.0,52.0,7.1,17.0,2,,,4.0,10.0,6.0,4.0,,,,4.0,4.0,6.0,,,1.0,SadioMané,1.0,,1.0,1.0,,2.0,2.0,,1.0,,,1.0,1.0,,,,,,
