match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_keyPass,captain,stat_goalAssist,stat_totalOffside,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_bigChanceCreated
11392874,home,Nantes,Rémy Descamps,remy-descamps,R. Descamps,G,40,194,488,M,788180,EUR,835660800,G,16,16,False,42.0,20.0,30.0,8.0,13.0,14.0,7.0,28.0,3.0,3.0,4.0,8.0,2.0,2.0,4.0,8.0,1.0,1.0,90.0,62.0,8.2,22.0,0.0,0.0,0.00107117,0,0.5076,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392874,home,Nantes,Jean-Charles Castelletto,jean-charles-castelletto,J.-C. Castelletto,D,21,186,1499,M,191204,EUR,791078400,D,21,21,False,29.0,27.0,1.0,1.0,21.0,23.0,6.0,6.0,1.0,2.0,4.0,4.0,,,,,,,90.0,40.0,6.6,4.0,0.0,0.0,0.00180474,0,,,,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
11392874,home,Nantes,Eray Cömert,eray-comert,E. Cömert,D,24,183,508,M,814023,EUR,886550400,D,24,24,False,38.0,34.0,4.0,2.0,27.0,29.0,7.0,9.0,2.0,6.0,10.0,4.0,1.0,,,,,,90.0,57.0,7.0,4.0,0.0,0.0,0.00959608,0,,,,1.0,3.0,2.0,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,
11392874,home,Nantes,Bastien Meupiyou,bastien-meupiyou,B. Meupiyou,D,33,191,529,M,1405973,EUR,1142726400,D,45,45,False,5.0,5.0,,,3.0,3.0,2.0,2.0,,,1.0,1.0,,,,,,,9.0,7.0,3.0,1.0,0.0,0.0,0.0008577,0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
11392874,home,Nantes,Ronaël Pierre-Gabriel,ronael-pierre-gabriel,R. Pierre-Gabriel,D,18,175,899,M,826293,EUR,897696000,M,18,18,False,19.0,17.0,,,3.0,5.0,15.0,16.0,,3.0,2.0,1.0,,,,,,,74.0,39.0,7.3,4.0,0.1718,0.0,0.258399,2,,,,,,,,,,2.0,,,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,
11392874,home,Nantes,Pedro Chirivella,pedro-chirivella,P. Chirivella,M,4,178,556,M,799216,EUR,864345600,M,5,5,False,67.0,61.0,3.0,1.0,35.0,37.0,26.0,30.0,1.0,4.0,3.0,6.0,1.0,,,,,,88.0,83.0,6.5,10.0,0.0,0.0,0.0303636,0,,,,1.0,6.0,4.0,1.0,,,,1.0,,,2.0,,,,,,,True,,,,,,,
11392874,home,Nantes,Douglas Augusto,douglas-augusto,D. Augusto,M,66,173,491,M,809034,EUR,853113600,M,6,6,False,46.0,38.0,3.0,,19.0,20.0,20.0,28.0,,5.0,3.0,1.0,2.0,,,,,,90.0,67.0,7.2,9.0,0.1339,0.0,0.0976735,2,,,,2.0,4.0,1.0,,,,1.0,,1.0,2.0,3.0,2.0,2.0,1.0,,2.0,2.0,,,,,,,,
11392874,home,Nantes,Quentin Merlin,quentin-merlin,Q. Merlin,M,26,173,1164,M,1102502,EUR,1021507200,M,29,29,False,20.0,17.0,4.0,4.0,5.0,6.0,13.0,22.0,,,1.0,4.0,,,,,,,90.0,43.0,6.8,13.0,0.065,0.0,0.0364488,1,,Quentin Merlin,,2.0,4.0,1.0,,,,1.0,2.0,1.0,,,,8.0,1.0,,1.0,2.0,,,,,,,,
11392874,home,Nantes,Adson,adson,Adson,M,28,171,2146,M,1105970,EUR,970790400,F,20,20,False,17.0,16.0,2.0,2.0,6.0,6.0,10.0,11.0,,3.0,,2.0,3.0,,,,,,45.0,25.0,6.6,3.0,0.0,0.0,0.0109476,0,,Adson,,1.0,4.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
11392874,home,Nantes,Moses Simon,moses-simon,M. Simon,F,27,168,4098,M,330051,EUR,805507200,F,27,27,False,16.0,13.0,1.0,1.0,3.0,4.0,12.0,15.0,,3.0,3.0,5.0,,,,,,,89.0,35.0,7.2,8.0,0.2197,0.0,0.118419,1,,,,5.0,8.0,,1.0,5.0,3.0,2.0,1.0,,,,,3.0,2.0,1.0,,2.0,,1.0,1.0,,,,,
11392874,home,Nantes,Mostafa Mohamed,mostafa-mohamed,M. Mohamed,F,31,185,32494,M,873551,EUR,880675200,F,31,31,False,13.0,8.0,,,2.0,3.0,6.0,10.0,2.0,2.0,,5.0,,,,,,,73.0,24.0,7.2,11.0,0.2531,0.6446,0.00366874,3,,,,2.0,4.0,,,1.0,,,4.0,1.0,,,,,,,1.0,,,,1.0,mostafamohamed11,2.0,1.0,,
11392874,home,Nantes,Abdoul Kader Bamba,abdoul-kader-bamba,K. Bamba,M,32,176,177,M,938270,EUR,769824000,F,12,12,True,20.0,17.0,2.0,2.0,6.0,7.0,12.0,14.0,,7.0,,5.0,2.0,,,,,,45.0,39.0,7.4,8.0,0.0959,0.0,0.0676479,1,,,,,1.0,,1.0,2.0,2.0,1.0,3.0,,,3.0,3.0,1.0,1.0,,1.0,1.0,,,,,,,,
11392874,home,Nantes,Ignatius Ganago,ignatius-ganago,I. Ganago,F,37,176,477,M,890329,EUR,919123200,F,7,7,True,4.0,1.0,,,,,1.0,4.0,2.0,4.0,,1.0,2.0,,,,,,17.0,8.0,6.7,4.0,0.0,0.0,0.0007015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392874,home,Nantes,Marcus Coco,marcus-coco,M. Coco,D,97,180,173,M,785418,EUR,835574400,F,11,11,True,8.0,5.0,,,1.0,1.0,4.0,7.0,,1.0,4.0,3.0,,,,,,,16.0,18.0,6.7,6.0,0.0,0.0,0.00330248,0,,,,,3.0,2.0,,,,2.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,
11392874,home,Nantes,Samuel Moutoussamy,moutoussamy-samuel,S. Moutoussamy,M,92,178,6604,M,892624,EUR,839808000,M,8,8,True,2.0,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,8.0,3.0,6.6,1.0,0.0,0.0,3e-06,0,,Samuel,Moutoussamy,,,,,,,,,,,1.0,,,,,,,,,,,,,,
11392874,home,Nantes,Marquinhos,marquinhos,Marquinhos,M,7,175,4095,M,1116954,EUR,1049673600,F,10,10,True,2.0,1.0,,,,,1.0,2.0,,,,,,,,,,,1.0,2.0,,1.0,0.0,0.0,0.00108084,0,,Marquinhos,,,,,,,,,,,,,,,,,,,,,,_marquinhos011,,,,
11392874,home,Nantes,Denis Petrić,denis-petric,D. Petrić,G,,186,72,M,20705,EUR,580435200,G,30,30,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
