match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelWon,stat_totalClearance,captain,stat_aerialLost,stat_duelLost,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,stat_hitWoodwork,stat_unsuccessfulTouch,stat_keyPass,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,player_lastName,player_sofascoreId,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_ownGoals,stat_goals
12499825,home,SV Werder Bremen,Michael Zetterer,michael-zetterer,M. Zetterer,G,23,187,476,M,190161,EUR,805507200,G,1,1,False,23.0,17.0,8.0,3.0,0.0,14.0,17.0,3.0,6.0,11.0,3.0,3.0,3.0,90.0,37.0,6.8,8.0,0.00929473,0,-1.1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499825,home,SV Werder Bremen,Miloš Veljković,milos-veljkovic,M. Veljković,D,13,188,1253,M,227224,EUR,812073600,D,13,13,False,32.0,30.0,3.0,1.0,0.0,21.0,22.0,9.0,11.0,,,,,45.0,35.0,6.3,3.0,0.00161664,0,,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499825,home,SV Werder Bremen,Niklas Stark,niklas-stark,N. Stark,D,4,190,247,M,229544,EUR,797817600,D,4,4,False,74.0,63.0,6.0,3.0,0.0,47.0,51.0,16.0,23.0,5.0,,,,90.0,86.0,6.8,11.0,0.0118986,1,,,4.0,9.0,4.0,True,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.1851,,,,,,,,,,,,,,,,,,,,,
12499825,home,SV Werder Bremen,Anthony Jung,anthony-jung,A. Jung,D,5,186,138,M,103442,EUR,689126400,D,3,3,False,78.0,67.0,5.0,2.0,0.0,46.0,52.0,21.0,26.0,1.0,,,,84.0,91.0,7.0,11.0,0.0140104,0,,,3.0,7.0,3.0,,,1.0,,,,3.0,2.0,,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,
12499825,home,SV Werder Bremen,Mitchell Weiser,mitchell-weiser,M. Weiser,M,8,176,1411,M,138150,EUR,766886400,M,8,8,False,50.0,40.0,3.0,1.0,0.0,15.0,17.0,26.0,37.0,9.0,,,,90.0,81.0,6.5,21.0,0.121225,2,,4.0,,4.0,,,4.0,13.0,1.0,1.0,,,,2.0,3.0,,0.2404,1.0,5.0,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
12499825,home,SV Werder Bremen,Leonardo Bittencourt,leonardo-bittencourt,L. Bittencourt,M,10,171,295,M,111969,EUR,756259200,M,10,10,False,62.0,58.0,8.0,7.0,0.0,30.0,30.0,28.0,33.0,3.0,,,,90.0,70.0,7.4,5.0,0.489294,1,,1.0,,2.0,,,2.0,4.0,,,1.0,,,2.0,2.0,,0.1698,,,,,,,,,,2.0,1.0,1.0,0.6137,,,,,,,,
12499825,home,SV Werder Bremen,Senne Lynen,senne-lynen,S. Lynen,M,14,182,401,M,826171,EUR,919382400,M,14,14,False,46.0,35.0,4.0,2.0,0.0,22.0,29.0,13.0,17.0,8.0,,,,90.0,68.0,7.1,15.0,0.0284894,2,,,1.0,4.0,5.0,,1.0,5.0,,2.0,4.0,3.0,2.0,,1.0,,0.0999,2.0,,,1.0,,1.0,,,2.0,,,,,,,,,,,,
12499825,home,SV Werder Bremen,Romano Schmid,romano-schmid,R. Schmid,M,20,168,1020,M,830127,EUR,948931200,M,20,20,False,47.0,29.0,9.0,4.0,0.0,10.0,15.0,21.0,43.0,5.0,,,,90.0,74.0,6.9,36.0,0.159832,1,,11.0,1.0,5.0,,,3.0,9.0,,,,2.0,1.0,1.0,2.0,,0.0964,1.0,1.0,1.0,,2.0,3.0,1.0,,5.0,3.0,1.0,,,,,,,,,,
12499825,home,SV Werder Bremen,Issa Kaboré,issa-kabore,I. Kaboré,D,12,180,16697,M,1006189,EUR,989625600,M,29,29,False,28.0,24.0,1.0,,0.0,15.0,17.0,9.0,13.0,4.0,,,,45.0,49.0,6.5,9.0,0.018033,1,,2.0,1.0,5.0,1.0,,2.0,6.0,,,1.0,,,2.0,1.0,,0.0268,,5.0,2.0,,,,1.0,,,,,,,,,issa_kabore_29,,,,,
12499825,home,SV Werder Bremen,Marco Grüll,marco-grull,M. Grüll,F,17,182,648,M,815612,EUR,899683200,F,17,17,False,19.0,15.0,,,0.0,4.0,5.0,11.0,14.0,3.0,,,,67.0,32.0,6.4,11.0,0.0150846,1,,,,3.0,,,1.0,7.0,,,,1.0,1.0,1.0,1.0,1.0,0.0239,,2.0,1.0,,,4.0,1.0,,2.0,,,,,,,,,,,,
