match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,captain,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,player_sofascoreId,stat_shotOffTarget,stat_keyPass,stat_onTargetScoringAttempt,stat_accurateCross,stat_blockedScoringAttempt,stat_totalOffside,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_saves
10382216,away,NEC Nijmegen,Souffian El Karouani,souffian-el-karouani,S. El Karouani,D,16,178,3591,M,991679,EUR,971913600,D,16,16,False,40.0,30.0,2.0,1.0,14.0,17.0,16.0,26.0,7.0,,90.0,59.0,6.8,17.0,0,,,,3.0,,6.0,5.0,1.0,,2.0,,1.0,1.0,,4.0,3.0,1.0,1.0,3.0,,,,1.0,,,,,,,,
10382216,away,NEC Nijmegen,Lasse Schöne,lasse-schone,L. Schöne,M,,178,570,M,10077,EUR,517536000,M,20,20,False,39.0,37.0,,,24.0,25.0,14.0,16.0,3.0,,73.0,45.0,6.5,5.0,0,,,True,2.0,,3.0,1.0,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,
10382216,away,NEC Nijmegen,Dirk Proper,dirk-proper,D. Proper,M,71,167,193,M,961685,EUR,1014508800,M,71,71,False,46.0,40.0,5.0,4.0,23.0,25.0,17.0,21.0,8.0,,90.0,63.0,6.6,10.0,2,,,,,,5.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,3.0,,2.0,1.0,,,,,,2.0,,,,,
10382216,away,NEC Nijmegen,Elayis Tavsan,elayis-tavsan,E. Tavsan,F,7,183,301,M,929631,EUR,988588800,M,7,7,False,22.0,17.0,,,6.0,9.0,11.0,13.0,1.0,,90.0,42.0,5.9,16.0,3,,,,,,8.0,2.0,,5.0,4.0,2.0,,,,,,2.0,,1.0,1.0,,1.0,,,,2.0,,,,,
10382216,away,NEC Nijmegen,Oussama Tannane,oussama-tannane,O. Tannane,F,14,178,2916,M,249435,EUR,764380800,M,14,14,False,60.0,39.0,8.0,2.0,16.0,18.0,24.0,49.0,3.0,,90.0,85.0,7.0,31.0,2,,,,7.0,1.0,5.0,11.0,,1.0,8.0,7.0,,,,,,2.0,3.0,3.0,,,1.0,1.0,,1.0,1.0,,,,,
10382216,away,NEC Nijmegen,Ibrahim Cissoko,ibrahim-cissoko,I. Cissoko,M,20,188,378,M,1128902,EUR,1048636800,M,21,21,False,5.0,2.0,,,2.0,3.0,,2.0,1.0,,45.0,11.0,6.3,7.0,0,Ibrahim Cissoko,,,,,3.0,2.0,,2.0,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
10382216,away,NEC Nijmegen,Pedro Marques,pedro-marques,P. Marques,F,43,181,203,M,846039,EUR,893462400,F,9,9,False,16.0,12.0,,,5.0,7.0,7.0,9.0,,,69.0,24.0,6.4,9.0,0,,,,,2.0,5.0,2.0,,1.0,1.0,,1.0,,,,,3.0,,,3.0,,,1.0,,,,,,,,
10382216,away,NEC Nijmegen,Calvin Verdonk,calvin-verdonk,C. Verdonk,D,24,174,14345,M,361780,EUR,862012800,D,24,24,True,52.0,43.0,7.0,2.0,27.0,29.0,16.0,23.0,10.0,,45.0,62.0,6.9,10.0,0,,,,,,3.0,4.0,,,1.0,1.0,,,,3.0,2.0,1.0,,1.0,2.0,c.verdonk,,,,,,,,,,
10382216,away,NEC Nijmegen,Ilias Bronkhorst,ilias-bronkhorst,I. Bronkhorst,D,2,185,69,M,899644,EUR,863222400,D,2,2,True,6.0,4.0,,,1.0,1.0,3.0,6.0,,,21.0,11.0,6.4,4.0,0,Ilias,Bronkhorst,,1.0,2.0,6.0,3.0,,1.0,,,,,,1.0,,,,1.0,4.0,,,,,,,,,,,
10382216,away,NEC Nijmegen,Anthony Musaba,anthony-musaba,A. Musaba,F,20,182,2509,M,979473,EUR,976060800,F,77,77,True,7.0,6.0,,,1.0,2.0,5.0,5.0,2.0,,17.0,14.0,6.5,4.0,0,,,,,,5.0,1.0,,2.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,
10382216,away,NEC Nijmegen,Rijk Janse,rijk-janse,R. Janse,G,31,189,36,M,1066313,EUR,1018915200,G,31,31,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382216,away,NEC Nijmegen,Mattijs Branderhorst,mattijs-branderhorst,M. Branderhorst,G,31,192,151,M,146871,EUR,757296000,G,1,1,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382216,away,NEC Nijmegen,Terry Sanniez,terry-sanniez,T. Sanniez,D,25,174,16,M,787978,EUR,839635200,D,34,34,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382216,away,NEC Nijmegen,Kas de Wit,kas-de-wit,K. d. Wit,M,33,190,35,M,1388533,EUR,1059177600,M,29,29,True,,,,,,,,,,,,,,,0,Kas,De Wit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382216,away,NEC Nijmegen,Andri Baldursson,andri-baldursson,A. Baldursson,M,16,187,235,M,932856,EUR,1010620800,M,8,8,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
