match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_aerialWon,stat_interceptionWon,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_keyPass,stat_unsuccessfulTouch,stat_accurateCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_goalAssist,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed
11406754,home,Salernitana,Vincenzo Fiorillo,vincenzo-fiorillo,V. Fiorillo,G,99,190.0,54,M,28378,EUR,632188800,G,1,1,False,38.0,7.0,38.0,7.0,1.0,4.0,6.0,34.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,90.0,42.0,6.0,31.0,0.00095636,0,-1.1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406754,home,Salernitana,Triantafyllos Pasalidis,triantafyllos-pasalidis,T. Pasalidis,D,,185.0,43,M,859266,EUR,837648000,D,4,4,False,15.0,11.0,4.0,2.0,4.0,6.0,7.0,9.0,3.0,1.0,1.0,1.0,,,,45.0,20.0,6.6,4.0,0.00105828,0,,Triantafyllos,Pasalidis,1.0,5.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11406754,home,Salernitana,Federico Fazio,federico-fazio,F. Fazio,D,,195.0,373,M,27569,EUR,542937600,D,17,17,False,19.0,12.0,5.0,1.0,5.0,6.0,7.0,13.0,6.0,6.0,2.0,1.0,,,,90.0,40.0,6.8,7.0,0.00271872,0,,,,1.0,2.0,,3.0,1.0,1.0,True,2.0,6.0,,,,,,,,,,,,,,,,,,,,
11406754,home,Salernitana,Lorenzo Pirola,lorenzo-pirola,L. Pirola,D,5,185.0,996,M,965014,EUR,1014163200,D,98,98,False,33.0,25.0,6.0,2.0,19.0,24.0,6.0,9.0,6.0,4.0,2.0,1.0,,,,90.0,50.0,6.9,8.0,0.022596,1,,,,2.0,5.0,1.0,4.0,1.0,2.0,,1.0,2.0,1.0,2.0,0.0169,,,,,,,,,,,,,,,,,
11406754,home,Salernitana,Junior Sambia,junior-sambia,J. Sambia,M,,185.0,154,M,603738,EUR,842054400,M,6,6,False,16.0,12.0,1.0,,2.0,4.0,10.0,13.0,4.0,,1.0,3.0,,,,69.0,34.0,6.5,9.0,0.0056143,1,,,,,3.0,1.0,,,,,,1.0,1.0,,0.0339,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
11406754,home,Salernitana,Lassana Coulibaly,coulibaly-lassana,L. Coulibaly,M,29,183.0,2761,M,804621,EUR,829094400,M,18,18,False,28.0,20.0,1.0,,6.0,8.0,14.0,20.0,2.0,1.0,6.0,,,,,90.0,36.0,6.2,10.0,0.011996,0,,,,2.0,7.0,2.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,
11406754,home,Salernitana,Toma Bašić,toma-basic,T. Bašić,M,26,189.0,1423,M,798002,EUR,848880000,M,26,26,False,37.0,29.0,7.0,3.0,12.0,13.0,17.0,25.0,3.0,2.0,4.0,,,,,90.0,48.0,6.8,10.0,0.00578222,1,,,,1.0,3.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,0.0262,1.0,,2.0,2.0,,1.0,,,,,,,,,,,
11406754,home,Salernitana,Domagoj Bradarić,domagoj-bradaric,D. Bradarić,M,12,178.0,1470,M,897594,EUR,944784000,M,3,3,False,19.0,15.0,1.0,,7.0,8.0,9.0,13.0,2.0,2.0,5.0,,,,,77.0,32.0,6.6,8.0,0.0405005,0,,,,1.0,1.0,,,,,,2.0,2.0,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,
11406754,home,Salernitana,Loum Tchaouna,loum-tchaouna,L. Tchaouna,F,17,180.0,1357,M,1004505,EUR,1062979200,F,33,33,False,27.0,19.0,2.0,1.0,1.0,2.0,19.0,26.0,6.0,,5.0,,,,,90.0,43.0,7.6,12.0,0.0199404,5,,,,10.0,12.0,,,,1.0,,4.0,,1.0,,0.269,1.0,1.0,2.0,2.0,,3.0,1.0,2.0,2.0,1.0,,,,,,,
11406754,home,Salernitana,Emanuel Vignato,emanuel-vignato,E. Vignato,F,25,175.0,267,M,862373,EUR,967075200,F,55,55,False,20.0,14.0,2.0,,7.0,10.0,7.0,10.0,3.0,1.0,5.0,1.0,,,,69.0,28.0,7.0,7.0,0.0103413,0,,Emanuel,Vignato,,,,2.0,2.0,,,,1.0,,,,,,,,2.0,1.0,,,,,1.0,,,,,,
