match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,captain,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_unsuccessfulTouch,stat_fouls,stat_interceptionWon,stat_keyPass,stat_wasFouled,stat_goalAssist,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_punches,player_sofascoreId,stat_bigChanceMissed
11399397,home,FC Volendam,Mio Backhaus,Mio Backhaus,,mio-backhaus,M. Backhaus,G,30,194.0,1073,M,1083390,EUR,1082073600,G,1,1,False,23.0,14.0,14.0,5.0,12.0,14.0,2.0,9.0,9.0,1.0,6.0,6.0,90.0,40.0,6.7,9.0,0.00122493,0,-0.5633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399397,home,FC Volendam,Brian Plat,,,brian-plat,B. Plat,D,4,191.0,60,M,980673,EUR,954892800,D,3,3,False,22.0,16.0,5.0,2.0,6.0,7.0,10.0,16.0,5.0,,,,90.0,33.0,6.1,8.0,0.00734162,0,,1.0,2.0,1.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
11399397,home,FC Volendam,Damon Mirani,,,damon-mirani,D. Mirani,D,4,182.0,56,M,318575,EUR,831945600,D,4,4,False,28.0,20.0,6.0,2.0,11.0,14.0,9.0,15.0,1.0,,,,62.0,39.0,6.6,9.0,0.00236357,1,,1.0,2.0,1.0,3.0,4.0,1.0,,,3.0,1.0,3.0,2.0,True,1.0,0.1135,0.1229,,,,,,,,,,,,,,,,,
11399397,home,FC Volendam,Josh Flint,,,josh-flint,J. Flint,D,28,186.0,47,M,966460,EUR,971395200,D,28,28,False,33.0,27.0,7.0,3.0,15.0,18.0,12.0,15.0,2.0,,,,90.0,47.0,5.8,8.0,0.0100864,0,,,2.0,,7.0,1.0,2.0,,,6.0,1.0,1.0,1.0,,,,,1.0,3.0,,,,,,,,,,,,,,,
11399397,home,FC Volendam,George Cox,George,Cox,george-cox,G. Cox,M,,171.0,91,M,920556,EUR,884736000,D,5,5,False,37.0,27.0,11.0,2.0,17.0,21.0,10.0,17.0,4.0,,,,77.0,52.0,6.4,12.0,0.0055969,0,,1.0,,1.0,2.0,2.0,2.0,,,4.0,1.0,1.0,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,,
11399397,home,FC Volendam,Benaissa Benamar,,,benaissa-benamar,B. Benamar,D,5,191.0,226,M,970791,EUR,860457600,M,6,6,False,27.0,26.0,3.0,2.0,16.0,16.0,10.0,11.0,2.0,,,,77.0,33.0,6.5,1.0,0.00458715,0,,,,,1.0,2.0,,,,2.0,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,
11399397,home,FC Volendam,Bilal Ould-Chikh,,,bilal-ould-chikh,B. Ould-Chikh,M,77,170.0,1226,M,544532,EUR,870048000,M,11,11,False,10.0,8.0,3.0,2.0,4.0,4.0,9.0,18.0,4.0,,,,90.0,35.0,7.7,15.0,0.645646,2,,12.0,,,4.0,2.0,1.0,3.0,1.0,,,,,,,0.0315,,3.0,,1.0,5.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,,,,,
11399397,home,FC Volendam,Milan de Haan,Milan de Haan,,milan-de-haan,M. d. Haan,M,8,,32,M,1120949,EUR,1069286400,M,36,36,False,21.0,13.0,2.0,1.0,5.0,6.0,8.0,15.0,3.0,,,,90.0,28.0,6.2,9.0,0.0146396,1,,,,,5.0,2.0,3.0,2.0,2.0,,,,,,1.0,0.012,0.1426,,1.0,,,,,,1.0,,,,,,,,,
11399397,home,FC Volendam,Robin Maulun,,,robin-maulun,R. Maulun,M,,176.0,35,M,787388,EUR,848707200,M,10,10,False,29.0,26.0,2.0,1.0,13.0,14.0,15.0,19.0,4.0,,,,77.0,36.0,6.7,5.0,0.195279,0,,4.0,,,2.0,2.0,2.0,,,1.0,,1.0,1.0,,,,,,,,3.0,1.0,,2.0,,,,,,,,,,
11399397,home,FC Volendam,Zach Booth,Zach Booth,,booth-zach,Z. Booth,M,21,184.0,134,M,1138450,EUR,1076976000,M,7,7,False,14.0,12.0,2.0,1.0,3.0,4.0,9.0,10.0,5.0,,,,90.0,24.0,6.9,6.0,0.00440699,4,,,1.0,,6.0,2.0,1.0,2.0,1.0,,,,,,3.0,0.2132,0.151,2.0,2.0,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,
