match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_ownGoals,stat_expectedGoals,player_firstName,player_lastName,stat_lastManTackle,stat_wasFouled,stat_accurateCross,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_keyPass,captain,stat_totalOffside,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_goalAssist,stat_goals
11368718,home,Las Palmas,Álvaro Valles,alvaro-valles,Á. Valles,G,1,192,931,M,964983,EUR,869788800,G,13,13,False,67.0,56.0,16.0,6.0,53.0,59.0,3.0,8.0,1.0,1.0,8.0,1.0,1.0,1.0,90.0,72.0,6.2,11.0,0.00083862,0,-1.6153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368718,home,Las Palmas,Julián Araujo,julian-araujo,J. Araujo,D,22,175,4723,M,978150,EUR,997660800,D,28,28,False,44.0,41.0,,,19.0,19.0,22.0,27.0,,2.0,6.0,,,,79.0,67.0,7.0,8.0,0.0178196,0,,julian_araujo,2.0,4.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
11368718,home,Las Palmas,Saúl Coco,saul-coco,S. Coco,D,23,188,1248,M,1089453,EUR,918518400,D,23,23,False,76.0,67.0,5.0,1.0,50.0,53.0,17.0,23.0,1.0,2.0,2.0,,,,90.0,87.0,6.6,9.0,0.0071234,2,,,,5.0,,,,5.0,1.0,,,,1.0,5.0,1.0,1.0,1.0,0.2248,,,,,,,,,,,,,,,,
11368718,home,Las Palmas,Mika Mármol,mika-marmol,M. Mármol,D,3,181,783,M,979146,EUR,993945600,D,15,15,False,85.0,78.0,5.0,1.0,61.0,61.0,17.0,25.0,4.0,5.0,9.0,,,,90.0,99.0,6.8,9.0,0.0270282,0,,,1.0,5.0,1.0,2.0,2.0,3.0,,2.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
11368718,home,Las Palmas,Sergi Cardona,sergi-cardona,S. Cardona,D,23,186,1119,M,986245,EUR,932256000,D,3,3,False,67.0,51.0,7.0,2.0,26.0,32.0,26.0,37.0,6.0,11.0,7.0,,,,90.0,107.0,6.9,23.0,0.144046,2,,,2.0,7.0,,3.0,3.0,2.0,,,,4.0,4.0,1.0,,1.0,,0.6131,,,,3.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,
11368718,home,Las Palmas,José Campaña,jose-campana,J. Campaña,M,20,179,241,M,96373,EUR,738806400,M,21,21,False,34.0,29.0,1.0,1.0,19.0,21.0,10.0,13.0,,3.0,4.0,,,,56.0,43.0,6.6,9.0,0.00205757,0,,,,3.0,2.0,1.0,,,,2.0,2.0,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,
11368718,home,Las Palmas,Munir El Haddadi,munir-el-haddadi,M. E. Haddadi,F,17,175,3412,M,350170,EUR,809913600,M,17,17,False,21.0,19.0,,,5.0,5.0,14.0,18.0,,3.0,5.0,,,,79.0,33.0,6.5,8.0,0.0140385,0,,,2.0,3.0,,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,2.0,,1.0,,,1.0,1.0,,,,,,
11368718,home,Las Palmas,Javier Muñoz,javier-munoz,J. Muñoz,M,14,179,313,M,353154,EUR,793929600,M,5,5,False,42.0,35.0,2.0,1.0,14.0,14.0,22.0,31.0,,5.0,9.0,,,,90.0,57.0,6.5,14.0,0.0220219,0,,,3.0,4.0,2.0,3.0,1.0,2.0,,2.0,2.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,
11368718,home,Las Palmas,Kirian Rodríguez,kirian-rodriguez,K. Rodríguez,M,20,180,441,M,964985,EUR,825984000,M,20,20,False,92.0,84.0,6.0,2.0,52.0,52.0,32.0,40.0,,3.0,3.0,,,,90.0,105.0,6.8,9.0,0.0391257,3,,,,4.0,2.0,,,1.0,,1.0,1.0,,,,1.0,2.0,,0.2168,,,,3.0,,1.0,,,,1.0,True,,,,,
11368718,home,Las Palmas,Sandro Ramírez,sandro-ramirez,S. Ramírez,M,19,175,945,M,188407,EUR,805248000,M,9,9,False,32.0,27.0,4.0,4.0,6.0,9.0,24.0,31.0,,6.0,1.0,,,,87.0,61.0,6.8,19.0,0.23837,5,,,8.0,4.0,,7.0,1.0,,,,,3.0,,,,4.0,,0.1252,,,,3.0,3.0,,,1.0,,3.0,,2.0,,,,
11368718,home,Las Palmas,Alberto Moleiro,alberto-moleiro,A. Moleiro,M,20,172,3634,M,1012444,EUR,1064880000,F,10,10,False,22.0,11.0,,,6.0,9.0,5.0,13.0,1.0,5.0,1.0,,,,56.0,33.0,6.4,18.0,0.0179892,1,,,,1.0,1.0,,,,,1.0,,4.0,,,,1.0,,0.0214,,,,,,3.0,,,,1.0,,,,,,
11368718,home,Las Palmas,Marvin Park,park-marvin,M. Park,D,2,177,650,M,960401,EUR,952387200,D,2,2,True,19.0,17.0,1.0,1.0,11.0,11.0,6.0,11.0,,1.0,1.0,,,,34.0,30.0,6.5,7.0,0.00388802,1,,,3.0,2.0,,2.0,1.0,,,,,1.0,1.0,,,1.0,,0.0469,,,,1.0,,,,,1.0,,,,,,,
11368718,home,Las Palmas,Enzo Loiodice,loiodice-enzo,E. Loiodice,M,12,176,327,M,933426,EUR,975283200,M,12,12,True,28.0,25.0,2.0,2.0,14.0,14.0,12.0,15.0,1.0,5.0,3.0,,,,34.0,34.0,6.6,6.0,0.0194679,0,,,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,2.0,,,,2.0,,,,,,
11368718,home,Las Palmas,Benito Ramírez,benito-ramirez,B. Ramírez,M,21,180,82,M,868223,EUR,805420800,M,11,11,True,5.0,5.0,,,1.0,1.0,6.0,7.0,,,,,,,11.0,8.0,6.7,1.0,0.0465518,0,,,3.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,
11368718,home,Las Palmas,Marc Cardona,marc-cardona,M. Cardona,F,22,182,195,M,841854,EUR,805161600,F,19,19,True,1.0,1.0,,,,,1.0,1.0,1.0,3.0,,,,,11.0,7.0,6.7,3.0,0.00059689,0,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,2.0,,,,1.0,,,1.0,,,
11368718,home,Las Palmas,Pejiño,pejino,Pejiño,F,24,177,111,M,925220,EUR,838598400,M,24,24,True,3.0,2.0,,,2.0,2.0,,2.0,,,,,,,8.0,5.0,6.5,3.0,0.00011344,0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
11368718,home,Las Palmas,Aarón Escandell,aaron-escandell,A. Escandell,G,13,188,1011,M,368922,EUR,812160000,G,1,1,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
