match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,captain,stat_aerialLost,stat_aerialWon,stat_wasFouled,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoals,stat_wonContest,stat_blockedScoringAttempt,stat_errorLeadToAGoal,player_sofascoreId,stat_shotOffTarget,stat_expectedGoalsOnTarget,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_penaltyFaced,stat_clearanceOffLine,stat_penaltyConceded
12421222,home,FCV Dender,Michael Verrips,,,michael-verrips,M. Verrips,G,34,195,102,M,583506,EUR,849571200,G,34,34,False,24.0,7.0,18.0,1.0,0.0,6.0,7.0,1.0,17.0,1.0,1.0,7.0,1.0,2.0,2.0,90.0,29.0,6.4,17.0,0.00015615,0,0.9103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421222,home,FCV Dender,David Hrnčár,,,david-hrncar,D. Hrnčár,M,20,186,104,M,924664,EUR,881712000,D,20,20,False,32.0,19.0,11.0,4.0,0.0,12.0,13.0,8.0,21.0,3.0,,1.0,,,,90.0,63.0,7.1,21.0,0.135227,0,,2.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
12421222,home,FCV Dender,Gilles Ruyssen,,,gilles-ruyssen,G. Ruyssen,D,22,186,38,M,329415,EUR,771897600,D,22,22,False,42.0,33.0,7.0,3.0,0.0,24.0,28.0,9.0,14.0,3.0,,1.0,,,,90.0,60.0,7.2,9.0,0.0435932,0,,,,6.0,,,11.0,,,1.0,1.0,,1.0,True,3.0,5.0,,,,,,,,,,,,,,,,,,
12421222,home,FCV Dender,Kobe Cools,,,kobe-cools,K. Cools,D,21,192,41,M,793987,EUR,869788800,D,21,21,False,39.0,30.0,9.0,3.0,0.0,26.0,29.0,4.0,10.0,3.0,,3.0,,,,90.0,53.0,7.1,10.0,0.00277617,0,,,,5.0,1.0,,9.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,3.0,1.0,,,,,,,,,,,,,,,,,
12421222,home,FCV Dender,Joedrick Pupe,,,pupe-joedrick,J. Pupe,D,23,189,67,M,891609,EUR,865382400,D,3,3,False,55.0,41.0,8.0,3.0,0.0,23.0,25.0,18.0,31.0,8.0,1.0,4.0,,,,90.0,74.0,6.3,20.0,0.17284,1,,1.0,,1.0,1.0,2.0,5.0,,1.0,,,2.0,1.0,,3.0,1.0,,1.0,1.0,1.0,1.0,0.0989,,,,,,,,,,,,
12421222,home,FCV Dender,Fabio Ferraro,Fabio Ferraro,,fabio-ferraro,F. Ferraro,M,88,180,86,M,1145225,EUR,1031011200,D,88,88,False,25.0,17.0,2.0,,1.0,12.0,15.0,5.0,13.0,5.0,1.0,4.0,,,,90.0,55.0,6.8,15.0,0.00279717,1,,3.0,,7.0,,2.0,5.0,,1.0,5.0,2.0,,1.0,,3.0,1.0,,,,,,0.033,1.0,1.0,1.0,,,,,,,,,
12421222,home,FCV Dender,Ragnar Oratmangoen,,,ragnar-oratmangoen,R. Oratmangoen,M,11,181,5722,M,899651,EUR,885340800,M,26,26,False,34.0,27.0,4.0,2.0,0.0,14.0,16.0,13.0,18.0,6.0,1.0,9.0,,,,89.0,54.0,7.0,12.0,0.0306403,0,,,,8.0,2.0,4.0,1.0,,,2.0,2.0,1.0,1.0,,1.0,,3.0,,,,2.0,,3.0,,,0ratmangoen,,,,,,,,
12421222,home,FCV Dender,Nathan Rodes,,,rodes-nathan,N. Rodes,M,18,191,34,M,882003,EUR,881798400,M,18,18,False,58.0,43.0,10.0,4.0,0.0,29.0,31.0,14.0,28.0,8.0,,8.0,,,,90.0,79.0,7.1,19.0,0.158057,2,,1.0,,6.0,,3.0,2.0,,3.0,2.0,2.0,3.0,1.0,,3.0,3.0,,,2.0,1.0,1.0,0.3217,1.0,,,,1.0,0.2669,,,,,,
12421222,home,FCV Dender,Roman Kvet,,,roman-kvet,R. Kvet,M,16,187,92,M,858926,EUR,882316800,M,16,16,False,38.0,26.0,3.0,1.0,0.0,11.0,15.0,15.0,24.0,6.0,,8.0,,,,88.0,63.0,6.8,24.0,0.0462935,1,,1.0,,6.0,2.0,4.0,,,2.0,2.0,1.0,1.0,,,,,3.0,,,,6.0,0.0591,1.0,,,,1.0,,,,,,,
12421222,home,FCV Dender,Mohamed Berte,Mohamed Berte,,mohamed-berte,M. Berte,F,90,175,98,M,1122525,EUR,1017014400,F,90,90,False,19.0,16.0,2.0,2.0,0.0,5.0,6.0,11.0,13.0,13.0,,3.0,,,,89.0,35.0,6.8,10.0,0.073476,2,,,,6.0,,2.0,,,,2.0,,4.0,,,8.0,1.0,2.0,,,1.0,5.0,0.0856,1.0,1.0,,,,0.3833,,,,,,
