match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_challengeLost,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_fouls,stat_expectedGoals,stat_totalCross,stat_totalContest,stat_accurateCross,stat_unsuccessfulTouch,stat_keyPass,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,player_lastName,captain,stat_bigChanceCreated,stat_errorLeadToAShot,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_goals,stat_goodHighClaim
12499536,home,VfL Bochum 1848,Timo Horn,timo-horn,T. Horn,G,1,192,267,M,97923,EUR,737164800,G,1,1,False,32.0,14.0,29.0,11.0,0.0,5.0,6.0,9.0,26.0,2.0,10.0,3.0,3.0,1.0,1.0,1.0,90.0,39.0,6.3,18.0,0.0043984,0,-0.6871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499536,home,VfL Bochum 1848,Tim Oermann,tim-oermann,T. Oermann,D,15,187,294,M,1138778,EUR,1065398400,D,14,14,False,31.0,26.0,4.0,1.0,0.0,10.0,11.0,16.0,20.0,3.0,3.0,,,,,,72.0,47.0,6.8,6.0,0.0152402,0,,3.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12499536,home,VfL Bochum 1848,Ivan Ordets,ivan-ordets,I. Ordets,D,,194,123,M,137673,EUR,710553600,D,20,20,False,25.0,20.0,5.0,3.0,0.0,14.0,15.0,6.0,10.0,11.0,3.0,,,,,,90.0,47.0,7.3,6.0,0.00352221,1,,4.0,6.0,6.0,7.0,,2.0,4.0,,,1.0,1.0,1.0,1.0,2.0,0.1055,,,,,,,,,,,,,,,,,,
12499536,home,VfL Bochum 1848,Bernardo,bernardo,Bernardo,D,13,186,580,M,828571,EUR,800409600,D,5,5,False,28.0,15.0,4.0,1.0,0.0,10.0,14.0,5.0,15.0,7.0,4.0,,,,,,90.0,46.0,6.3,14.0,0.0101781,0,,2.0,4.0,5.0,5.0,,1.0,,1.0,1.0,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,
12499536,home,VfL Bochum 1848,Tom Krauß,tom-krauss,T. Krauß,M,5,182,398,M,930272,EUR,993168000,M,17,17,False,27.0,22.0,4.0,2.0,0.0,9.0,9.0,13.0,18.0,2.0,3.0,,,,,,45.0,39.0,6.6,8.0,0.0287333,0,,,,5.0,2.0,1.0,,2.0,2.0,1.0,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,
12499536,home,VfL Bochum 1848,Felix Passlack,passlack-felix,F. Passlack,M,25,170,280,M,795000,EUR,896400000,M,15,15,False,9.0,8.0,,,0.0,4.0,4.0,4.0,6.0,2.0,2.0,,,,,,45.0,15.0,6.6,2.0,0.00571586,0,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
12499536,home,VfL Bochum 1848,Matúš Bero,matus-bero,M. Bero,M,19,181,413,M,187207,EUR,810345600,M,19,19,False,17.0,11.0,,,0.0,1.0,1.0,11.0,19.0,,4.0,,,,,,45.0,31.0,6.5,13.0,0.174472,0,,3.0,,8.0,2.0,3.0,,,2.0,2.0,,,,,1.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
12499536,home,VfL Bochum 1848,Ibrahima Sissoko,ibrahima-sissoko,I. Sissoko,M,28,193,1219,M,829093,EUR,877910400,M,6,6,False,38.0,23.0,4.0,2.0,0.0,5.0,6.0,18.0,32.0,1.0,5.0,,,,,,71.0,63.0,6.8,22.0,0.0116427,1,,2.0,6.0,10.0,13.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,,,2.0,0.0742,,4.0,,2.0,,3.0,1.0,0.1022,,,,,,,,,,
12499536,home,VfL Bochum 1848,Maximilian Wittek,maximilian-wittek,M. Wittek,D,32,173,158,M,254125,EUR,808963200,M,32,32,False,34.0,28.0,1.0,,0.0,6.0,9.0,25.0,34.0,5.0,4.0,,,,,,90.0,61.0,7.1,15.0,0.360976,0,,,,1.0,2.0,,,,2.0,2.0,,1.0,,,,,9.0,,3.0,1.0,3.0,,,,,,True,1.0,1.0,,,,,
12499536,home,VfL Bochum 1848,Myron Boadu,myron-boadu,M. Boadu,F,21,183,1727,M,856744,EUR,979430400,F,9,9,False,19.0,16.0,2.0,2.0,0.0,6.0,7.0,10.0,12.0,,3.0,,,,,,90.0,33.0,6.1,14.0,0.128017,1,,3.0,2.0,10.0,2.0,4.0,,,,,,,,,,0.3355,,3.0,,4.0,2.0,,1.0,0.1832,,,,,,1.0,,,,
