match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoals,player_firstName,player_lastName,stat_challengeLost,stat_aerialLost,stat_dispossessed,stat_bigChanceCreated,stat_totalOffside,stat_totalContest,stat_wonContest,stat_penaltyConceded,stat_wasFouled,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_clearanceOffLine,stat_goals,stat_penaltyWon,stat_goalAssist,stat_penaltyMiss
11450058,home,Hatayspor,Erce Kardeşler,erce-kardesler,E. Kardeşler,G,31,186,93,M,758606,EUR,763603200,G,1,1,False,True,29.0,23.0,11.0,5.0,21.0,22.0,2.0,7.0,2.0,9.0,3.0,1.0,1.0,3.0,2.0,2.0,90.0,39.0,7.0,6.0,0.00329312,0,0.2931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450058,home,Hatayspor,Kerim Alıcı,kerim-alici,K. Alıcı,D,27,183,22,M,758870,EUR,867110400,D,22,22,False,,49.0,40.0,5.0,2.0,19.0,20.0,23.0,33.0,2.0,2.0,,,,,,,77.0,68.0,7.0,14.0,0.114478,0,,4.0,2.0,2.0,6.0,6.0,4.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11450058,home,Hatayspor,Guy-Marcelin Kilama,guy-marcelin-kilama,G. M. Kilama,D,,180,314,M,944222,EUR,928022400,D,3,3,False,,87.0,78.0,1.0,,59.0,65.0,19.0,22.0,2.0,9.0,,,,,,,90.0,97.0,6.6,12.0,0.00508842,1,,,,,4.0,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,0.1867,,,,,,,,,,,,,,,,,,,,,
11450058,home,Hatayspor,Nikola Maksimović,nikola-maksimovic,N. Maksimović,D,15,193,266,M,68076,EUR,691027200,D,19,19,False,,63.0,58.0,8.0,4.0,34.0,34.0,24.0,29.0,1.0,3.0,,,,,,,90.0,69.0,6.6,6.0,0.0416903,0,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,Nikola,Maksimović,1.0,,,,,,,,,,,,,,,,,,
11450058,home,Hatayspor,Faouzi Ghoulam,faouzi-ghoulam,F. Ghoulam,D,,188,1996,M,133236,EUR,665366400,D,13,13,False,,41.0,32.0,4.0,1.0,13.0,13.0,20.0,36.0,1.0,4.0,,,,,,,90.0,70.0,7.2,20.0,0.0589007,0,,8.0,1.0,5.0,6.0,4.0,3.0,1.0,1.0,2.0,2.0,,2.0,,,Faouzi,Ghoulam,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11450058,home,Hatayspor,Chandrel Massanga,chandrel-massanga,C. Massanga,M,8,172,201,M,1083138,EUR,934848000,M,4,4,False,,64.0,53.0,3.0,1.0,27.0,29.0,26.0,36.0,2.0,8.0,,,,,,,90.0,80.0,7.1,13.0,0.0483717,0,,1.0,,3.0,9.0,5.0,2.0,1.0,1.0,3.0,2.0,,,3.0,,Chandrel Massanga,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
11450058,home,Hatayspor,Rigoberto Rivas,rigoberto-rivas,R. Rivas,M,99,178,347,M,837742,EUR,901843200,M,99,99,False,,43.0,39.0,5.0,3.0,16.0,17.0,24.0,31.0,1.0,7.0,,,,,,,90.0,60.0,7.7,10.0,0.263211,2,,5.0,1.0,3.0,6.0,1.0,,,2.0,2.0,,1.0,,,0.3042,,,,,1.0,2.0,1.0,4.0,4.0,,1.0,1.0,,,,,,,,,
11450058,home,Hatayspor,Fisayo Dele-Bashiru,dele-bashiru-oluwafisayo,F. Dele-Bashiru,M,7,186,3768,M,910121,EUR,981417600,M,17,17,False,,38.0,31.0,,,8.0,10.0,23.0,29.0,2.0,3.0,,,,,,,89.0,50.0,6.1,13.0,0.0167926,1,,1.0,,5.0,3.0,1.0,,3.0,2.0,,1.0,,,,0.1499,,,,1.0,,,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,
11450058,home,Hatayspor,Rui Pedro,rui-pedro,R. Pedro,M,,182,143,M,862672,EUR,890352000,M,14,14,False,,14.0,13.0,,,8.0,9.0,5.0,5.0,,4.0,,,,,,,45.0,21.0,6.6,4.0,0.0117019,1,,,,3.0,3.0,,,,,,1.0,,,,0.0391,,,,,2.0,,,2.0,1.0,,1.0,1.0,,,,,,,,,
11450058,home,Hatayspor,Halil Dervişoğlu,halil-dervisoglu,H. Dervişoğlu,F,11,183,812,M,930775,EUR,944611200,M,11,11,False,,28.0,20.0,1.0,,4.0,5.0,16.0,23.0,,3.0,,,,,,,69.0,44.0,6.7,14.0,0.0526849,1,,,,6.0,6.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,,0.1038,,,2.0,,1.0,,,5.0,3.0,,,,,,,,,,,,
