match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_penaltyConceded,stat_fouls,player_firstName,player_lastName,stat_challengeLost,stat_unsuccessfulTouch,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_interceptionWon,captain,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_penaltyWon,stat_totalOffside,stat_punches,stat_bigChanceMissed
10389787,home,RC Lens,Brice Samba,brice-samba,B. Samba,G,30,186,2098,M,164055,EUR,767232000,G,30,30,False,35.0,18.0,23.0,6.0,15.0,17.0,3.0,18.0,1.0,1.0,2.0,10.0,1.0,1.0,2.0,1.0,2.0,90.0,45.0,6.7,17.0,0.0,0.0,0.00087751,1.0,0,0.5051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389787,home,RC Lens,Jonathan Gradit,jonathan-gradit,J. Gradit,D,24,180,273,M,369650,EUR,722563200,D,24,24,False,36.0,34.0,5.0,4.0,22.0,23.0,12.0,13.0,1.0,6.0,5.0,4.0,3.0,,,,,90.0,51.0,7.0,4.0,0.0,0.0,0.0054427,,0,,2.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10389787,home,RC Lens,Kevin Danso,danso-kevin,K. Danso,D,4,190,3440,M,794953,EUR,906163200,D,4,4,False,26.0,23.0,2.0,1.0,14.0,15.0,9.0,11.0,,,,2.0,,,,,,19.0,26.0,3.0,3.0,0.0,0.0,0.00245824,,0,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10389787,home,RC Lens,Facundo Medina,facundo-medina,F. Medina,D,32,184,4462,M,860307,EUR,927849600,D,14,14,False,53.0,47.0,6.0,4.0,36.0,38.0,11.0,15.0,1.0,4.0,4.0,1.0,1.0,,,,,90.0,65.0,6.8,7.0,0.0,0.0,0.00341124,,0,,2.0,,,1.0,2.0,2.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
10389787,home,RC Lens,Przemysław Frankowski,przemyslaw-frankowski,P. Frankowski,D,95,176,5767,M,286909,EUR,797644800,M,29,29,False,37.0,30.0,2.0,,16.0,17.0,17.0,28.0,,4.0,1.0,5.0,1.0,,,,,90.0,64.0,7.4,14.0,0.8928,0.8823,0.0720898,2.0,2,,4.0,,4.0,1.0,,,,,1.0,,,2.0,1.0,przemek.franek_,8.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,
10389787,home,RC Lens,Salis Abdul Samed,abdul-samed-salis,S. A. Samed,M,99,180,2025,M,993455,EUR,954028800,M,26,26,False,33.0,30.0,3.0,2.0,22.0,23.0,8.0,10.0,,3.0,6.0,13.0,,,,,,90.0,51.0,6.8,6.0,0.0,0.0,0.00352697,,0,,5.0,1.0,1.0,1.0,3.0,1.0,,,,,,3.0,,,,,,,,,3.0,,,,,,,,
10389787,home,RC Lens,Seko Fofana,seko-fofana,S. Fofana,M,42,184,11416,M,191188,EUR,799804800,M,8,8,False,29.0,21.0,7.0,6.0,14.0,16.0,7.0,13.0,3.0,10.0,2.0,2.0,5.0,,,,,90.0,47.0,7.6,11.0,0.3107,0.7296,0.00463756,,1,,3.0,,3.0,1.0,,,1.0,,,,,1.0,2.0,sekofofana,,,2.0,1.0,,1.0,,True,,,,,,,
10389787,home,RC Lens,Deiver Machado,deiver-machado,D. Machado,M,27,179,1117,M,822110,EUR,746928000,M,3,3,False,22.0,18.0,1.0,1.0,11.0,12.0,7.0,11.0,,4.0,,1.0,2.0,,,,,70.0,39.0,7.1,8.0,0.0,0.0,0.00533138,1.0,0,,2.0,,2.0,,1.0,,,,1.0,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,
10389787,home,RC Lens,Florian Sotoca,florian-sotoca,F. Sotoca,F,7,187,757,M,788921,EUR,656812800,F,7,7,False,27.0,22.0,1.0,1.0,7.0,11.0,15.0,17.0,1.0,3.0,4.0,8.0,,,,,,90.0,41.0,7.0,8.0,0.0312,0.0,0.02229,1.0,1,,1.0,1.0,2.0,,,,,,,,,,1.0,,1.0,,2.0,,,,2.0,,,,1.0,,,,
10389787,home,RC Lens,Adrien Thomasson,adrien-thomasson,A. Thomasson,M,28,177,523,M,231946,EUR,755481600,F,28,28,False,25.0,14.0,2.0,,7.0,9.0,7.0,18.0,1.0,6.0,5.0,4.0,2.0,,,,,89.0,44.0,7.2,16.0,0.0854,0.1763,0.00445098,,1,,4.0,,,,3.0,2.0,2.0,,,,,2.0,3.0,,2.0,,,1.0,,,,,,,,1.0,,,
10389787,home,RC Lens,Loïs Openda,lois-openda,L. Openda,F,20,177,15661,M,835480,EUR,950659200,F,11,11,False,6.0,5.0,,,3.0,3.0,2.0,3.0,,3.0,1.0,2.0,2.0,,,,,78.0,16.0,7.1,2.0,0.1398,0.4453,0.0012148,,3,,2.0,,,,1.0,1.0,1.0,,1.0,,,,1.0,l_openda,,,,3.0,,,,,,,,,,,
10389787,home,RC Lens,Massadio Haïdara,massadio-haidara,M. Haïdara,D,21,179,600,M,143344,EUR,723254400,D,21,21,True,,,,,,,,,,1.0,1.0,,,,,,,20.0,3.0,6.6,,0.0,0.0,0.0,,0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
10389787,home,RC Lens,Jean Onana,jean-onana,J. Onana,M,14,189,1410,M,978301,EUR,947289600,M,6,6,True,,,,,,,,,1.0,1.0,1.0,,,,,,,12.0,1.0,6.6,,0.0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
10389787,home,RC Lens,Angelo Fulgini,angelo-fulgini,A. Fulgini,M,11,183,483,M,787540,EUR,840499200,M,20,20,True,,,,,,,,,,,,,,,,,,1.0,,,,0.0,0.0,0.0,,0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
10389787,home,RC Lens,Jean-Louis Leca,jean-louis-leca,J. Leca,G,,180,46,M,39224,EUR,496108800,G,16,16,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389787,home,RC Lens,Julien Le Cardinal,julien-le-cardinal,J. L. Cardinal,D,26,182,203,M,1129751,EUR,870566400,D,25,25,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389787,home,RC Lens,David Pereira da Costa,david-pereira-da-costa,D. P. d. Costa,M,10,165,576,M,1023091,EUR,978652800,M,10,10,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389787,home,RC Lens,Łukasz Poręba,lukasz-poreba,Ł. Poręba,M,8,179,654,M,942336,EUR,952905600,M,13,13,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389787,home,RC Lens,Alexis Claude-Maurice,alexis-claude-maurice,A. Claude-Maurice,F,20,174,875,M,822877,EUR,897091200,M,18,18,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389787,home,RC Lens,Adam Buksa,adam-buksa,A. Buksa,F,18,191,3770,M,1138856,EUR,837129600,F,9,9,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,,,,,,,,,,,,,,AdamBuksa,,,,,,,,,,,,,,,
10389787,away,Stade de Reims,Yehvann Diouf,yehvann-diouf,Y. Diouf,G,80,188,2968,M,845183,EUR,942710400,G,94,94,False,23.0,19.0,9.0,5.0,18.0,20.0,1.0,3.0,1.0,1.0,1.0,10.0,,1.0,3.0,1.0,4.0,90.0,39.0,7.0,4.0,0.0,0.0,0.00070818,,0,0.2335,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
10389787,away,Stade de Reims,Maxime Busi,maxime-busi,M. Busi,D,4,182,171,M,943926,EUR,939859200,D,4,4,False,47.0,42.0,6.0,3.0,21.0,22.0,22.0,28.0,,1.0,1.0,5.0,,,,,,86.0,59.0,6.5,8.0,0.0,0.0,0.0499163,1.0,0,,1.0,,1.0,,,,,,1.0,,,,1.0,,3.0,1.0,1.0,,,,,,,,,,,,
10389787,away,Stade de Reims,Emmanuel Agbadou,emmanuel-agbadou,E. Agbadou,D,12,192,3192,M,1013842,EUR,866505600,D,24,24,False,67.0,61.0,6.0,5.0,36.0,39.0,25.0,28.0,1.0,2.0,3.0,7.0,,,,,,90.0,73.0,6.5,6.0,0.0639,0.0,0.24062,1.0,1,,3.0,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,
