match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_duelLost,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,player_sofascoreId,stat_aerialLost,stat_lastManTackle,stat_totalTackle,stat_wonTackle,player_firstName,player_lastName,stat_challengeLost,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_wasFouled,stat_totalOffside,stat_bigChanceCreated,stat_punches,stat_goals,stat_blockedScoringAttempt
12504673,home,Roma,Mile Svilar,svilar-mile,M. Svilar,G,99,189,4489,M,793986,EUR,935712000,G,99,99,False,58.0,45.0,23.0,10.0,0.0,37.0,38.0,8.0,20.0,1.0,1.0,11.0,1.0,4.0,5.0,90.0,70.0,7.2,13.0,0.00312053,0,-0.4851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504673,home,Roma,Gianluca Mancini,gianluca-mancini,G. Mancini,D,23,190,4038,M,611210,EUR,829699200,D,23,23,False,52.0,45.0,5.0,1.0,0.0,31.0,33.0,14.0,19.0,,,2.0,,,,90.0,63.0,6.1,9.0,0.00927405,1,,True,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.2789,,,,,,,,,,,,,,,,,,,,,,
12504673,home,Roma,Mats Hummels,mats-hummels,M. Hummels,D,15,191,4596,M,16632,EUR,598233600,D,15,15,False,19.0,19.0,,,0.0,11.0,11.0,8.0,8.0,2.0,7.0,2.0,,,,74.0,39.0,7.5,,0.00173032,0,,,1.0,,,,6.0,5.0,,,,aussenrist15,1.0,1.0,5.0,3.0,,,,,,,,,,,,,,,,,
12504673,home,Roma,Evan Ndicka,evan-ndicka,E. Ndicka,D,5,190,9220,M,848287,EUR,935107200,D,5,5,False,47.0,40.0,6.0,1.0,0.0,23.0,24.0,17.0,23.0,1.0,1.0,1.0,,,,90.0,53.0,6.3,8.0,0.00770555,0,,,4.0,,,,3.0,2.0,1.0,1.0,,evanndicka,2.0,,,,,,1.0,,,,,,,,,,,,,,
12504673,home,Roma,Zeki Çelik,zeki-celik,Z. Çelik,D,19,180,2880,M,893008,EUR,856137600,M,19,19,False,26.0,20.0,1.0,1.0,0.0,9.0,11.0,12.0,18.0,,1.0,4.0,,,,72.0,43.0,6.9,9.0,0.0933674,0,,,3.0,,,,3.0,1.0,1.0,1.0,,,2.0,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
12504673,home,Roma,Bryan Cristante,bryan-cristante,B. Cristante,M,4,186,2731,M,186855,EUR,794188800,M,4,4,False,29.0,26.0,2.0,1.0,0.0,11.0,11.0,15.0,18.0,1.0,4.0,5.0,,,,82.0,35.0,6.7,3.0,0.00958039,0,,,6.0,,,,,,,1.0,,,3.0,,3.0,3.0,,,2.0,,,,,,,,,,,,,,
12504673,home,Roma,Leandro Paredes,leandro-paredes,L. Paredes,M,5,180,25603,M,255389,EUR,772848000,M,16,16,False,68.0,62.0,6.0,2.0,0.0,36.0,37.0,26.0,32.0,,1.0,7.0,,,,90.0,80.0,7.0,8.0,0.0163654,1,,,4.0,,,,2.0,3.0,,3.0,0.0161,LeoParedes,,,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,0.024,,,,,,
12504673,home,Roma,Manu Koné,manu-kone,M. Koné,M,17,186,6943,M,974087,EUR,990057600,M,17,17,False,38.0,32.0,,,0.0,12.0,15.0,21.0,24.0,,5.0,2.0,,,,90.0,55.0,6.7,11.0,0.0474698,1,,,5.0,1.0,,1.0,1.0,,3.0,1.0,0.0172,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,5.0,,,,,
12504673,home,Roma,Angeliño,angelino,Angeliño,M,3,171,3336,M,848355,EUR,852336000,M,3,3,False,26.0,19.0,5.0,3.0,0.0,8.0,10.0,12.0,18.0,2.0,3.0,2.0,,,,90.0,43.0,6.5,11.0,0.0340277,0,,,2.0,,,,2.0,,1.0,1.0,,,1.0,,1.0,,,,,2.0,1.0,,,,,,,,,,,,
12504673,home,Roma,Paulo Dybala,paulo-dybala,P. Dybala,F,21,177,117714,M,256219,EUR,753321600,F,21,21,False,37.0,30.0,2.0,1.0,0.0,12.0,12.0,18.0,27.0,,5.0,3.0,,,,82.0,49.0,6.9,11.0,0.334996,0,,,1.0,,,,,,1.0,,,LaJoya,,,1.0,,,,,2.0,,1.0,,,,,,4.0,,,,,
