match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,injury,confirmed,from
11451039,FT,3.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
11451039,,,,,90,0.0,,1,,,injuryTime,5.0,,,,,,,,,,,
11451039,,,,,83,,,8,,,card,,Ibrahim Drešević,Foul,False,121043184.0,True,yellow,817987.0,Ibrahim Drešević,,,
11451039,,,,,82,,,9,,,substitution,,,,,122253721.0,False,regular,,,False,,
11451039,,,,,81,,,10,,,substitution,,,,,122253720.0,True,regular,,,False,,
11451039,,,,,77,,,14,,,substitution,,,,,122253678.0,False,regular,,,False,,
11451039,,,,,77,,,14,,,substitution,,,,,122253677.0,False,regular,,,False,,
11451039,,,,,75,,,16,,,substitution,,,,,122253672.0,True,regular,,,False,,
11451039,,,,,75,,,16,,,substitution,,,,,122253671.0,True,regular,,,False,,
11451039,,,,,68,,,23,,,substitution,,,,,122253638.0,True,regular,,,False,,
11451039,,,,,68,,,23,,,substitution,,,,,122253637.0,True,regular,,,False,,
11451039,,,,,58,,,33,,,substitution,,,,,122253594.0,False,regular,,,False,,
11451039,,,,,58,,,33,,,substitution,,,,,122253593.0,False,regular,,,False,,
11451039,,,,,58,,,33,,,varDecision,,,,,22091.0,True,cardUpgrade,826162.0,Güven Yalçın,,True,
11451039,,,,,56,,,35,,,card,,Güven Yalçın,Foul,False,121043131.0,True,yellow,826162.0,Güven Yalçın,,,
11451039,,3.0,0.0,,53,,,38,,,goal,,,,,175357313.0,True,regular,918408.0,Can Keleş,,,
11451039,,2.0,0.0,,49,,,42,,,goal,,,,,175357222.0,True,regular,52797.0,Ryan Mendes,,,
11451039,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
11451039,,1.0,0.0,,45,,,1,,,goal,,,,,175356497.0,True,ownGoal,47860.0,David Jensen,,,owngoal
11451039,,,,,45,0.0,,1,,,injuryTime,3.0,,,,,,,,,,,
11451039,,,,,41,,,5,,,card,,Mehmet Yeşil,Foul,False,121043079.0,False,yellow,840639.0,Mehmet Yeşil,,,
11451039,,,,,39,,,7,,,varDecision,,,,,22087.0,False,goalAwarded,911351.0,Jackson,,False,
11451039,,,,,35,,,11,,,card,,Federico Ceccherini,Foul,False,121043068.0,True,yellow,139410.0,Federico Ceccherini,,,
