match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_aerialLost,stat_aerialWon,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_accurateCross,stat_keyPass,stat_errorLeadToAGoal,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_dispossessed,stat_totalOffside,stat_goalAssist,stat_goals
10583921,home,Al-Fayha,Moslem Al-Freej,Moslem,Al-Freej,moslem-al-freej,M. Al-Freej,G,1,188.0,5,M,818636,EUR,517968000.0,G,1,1,False,14.0,10.0,8.0,4.0,7.0,9.0,3.0,5.0,4.0,2.0,2.0,90.0,20.0,6.1,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583921,home,Al-Fayha,Mohammed Al Baqawi,,,mohammed-al-baqawi,M. A. Baqawi,D,22,170.0,21,M,893199,EUR,805507200.0,D,22,22,False,28.0,23.0,4.0,2.0,7.0,9.0,16.0,20.0,2.0,,,72.0,39.0,6.4,7.0,0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
10583921,home,Al-Fayha,Sami Al-Khaibary,,,sami-al-khaibary,S. Al-Khaibary,D,4,185.0,15,M,893198,EUR,622080000.0,D,4,4,False,44.0,42.0,2.0,,29.0,29.0,13.0,15.0,7.0,,,90.0,58.0,6.8,4.0,1,,3.0,6.0,1.0,1.0,1.0,2.0,True,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,
10583921,home,Al-Fayha,Hussain Al-Shuweish,,,hussain-al-showaish,H. Al-Shuweish,D,33,185.0,17,M,818758,EUR,625881600.0,D,33,33,False,57.0,48.0,11.0,5.0,26.0,29.0,22.0,28.0,5.0,,,90.0,64.0,6.4,9.0,0,,3.0,,,,,,,2.0,,,,,5.0,1.0,1.0,,1.0,,,,,,,,,
10583921,home,Al-Fayha,Bandar Al Mutairi,,,bandar-al-mutairi,B. A. Mutairi,D,33,168.0,13,M,847483,EUR,637372800.0,D,3,3,False,42.0,38.0,2.0,2.0,9.0,12.0,31.0,36.0,3.0,,,90.0,65.0,6.6,13.0,0,6.0,2.0,1.0,,,,,,2.0,1.0,,,,1.0,,,,,2.0,3.0,,,,,,,
10583921,home,Al-Fayha,Abdulrahman Al-Safri,,,abdulrahman-al-safri,A. Al-Safri,M,8,176.0,22,M,990187,EUR,733536000.0,M,8,8,False,22.0,17.0,,,8.0,9.0,9.0,13.0,3.0,,,45.0,28.0,5.7,7.0,0,,3.0,3.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,2.0,2.0,,,1.0,,,,,,
10583921,home,Al-Fayha,Ricardo Ryller,,,ricardo-ryller,R. Ryller,M,28,176.0,231,M,870943,EUR,762307200.0,M,37,37,False,75.0,64.0,5.0,5.0,23.0,27.0,41.0,48.0,10.0,,,90.0,90.0,7.3,14.0,3,,9.0,7.0,3.0,2.0,2.0,2.0,,4.0,1.0,4.0,3.0,,,,,1.0,1.0,,2.0,,1.0,2.0,,,,
10583921,home,Al-Fayha,Victor Ruiz,,,victor-ruiz,V. Ruiz,M,77,172.0,64,M,975496,EUR,752198400.0,M,10,10,False,33.0,31.0,3.0,2.0,9.0,9.0,23.0,27.0,4.0,,,67.0,48.0,6.8,8.0,2,3.0,3.0,2.0,1.0,1.0,,3.0,,,,1.0,1.0,2.0,,,1.0,,1.0,1.0,,,,,1.0,,,
10583921,home,Al-Fayha,Paulinho Paula,,,paulinho-paula,Paulinho,M,18,173.0,1795,M,879902,EUR,852681600.0,M,18,18,False,40.0,36.0,2.0,2.0,6.0,6.0,30.0,34.0,1.0,,,90.0,52.0,7.1,6.0,2,,5.0,8.0,,2.0,2.0,1.0,,1.0,2.0,4.0,3.0,1.0,,,,1.0,3.0,,3.0,,1.0,,,,,
10583921,home,Al-Fayha,Aleksandar Trajkovski,,,aleksandar-trajkovski,A. Trajkovski,F,7,179.0,729,M,60184,EUR,715651200.0,M,7,7,False,20.0,15.0,,,4.0,4.0,12.0,20.0,3.0,,,67.0,37.0,6.5,14.0,2,4.0,5.0,2.0,1.0,1.0,,1.0,,,,2.0,,1.0,,,,1.0,,1.0,1.0,,,1.0,2.0,1.0,,
