match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_totalCross,stat_aerialWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_outfielderBlock,stat_accurateCross,stat_errorLeadToAShot,stat_keyPass,stat_onTargetScoringAttempt,player_firstName,player_lastName,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12624998,home,Al-Taawoun,Mailson,mailson,Mailson,G,1,198.0,587,M,883367,EUR,840499200,G,1,1,False,29.0,26.0,9.0,6.0,0.0,22.0,24.0,4.0,5.0,3.0,1.0,2.0,90.0,33.0,6.7,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624998,home,Al-Taawoun,Fahad Bin Jumayah,fahad-bin-jumayah,F. B. Jumayah,D,14,170.0,22,M,893514,EUR,800064000,D,14,14,False,30.0,29.0,,,0.0,15.0,16.0,14.0,14.0,1.0,,,65.0,42.0,6.3,4.0,0,1.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12624998,home,Al-Taawoun,Andrei Girotto,andrei-girotto,A. Girotto,D,3,186.0,274,M,794836,EUR,698284800,D,3,3,False,66.0,54.0,8.0,1.0,0.0,45.0,45.0,9.0,22.0,7.0,,,90.0,75.0,6.6,13.0,0,2.0,6.0,5.0,4.0,,,,3.0,1.0,,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12624998,home,Al-Taawoun,Muteb Al-Mufarrij,muteb-almufarrij,M. Al-Mufarrij,D,32,181.0,105,M,847379,EUR,840412800,D,32,32,False,77.0,73.0,2.0,1.0,0.0,47.0,47.0,26.0,30.0,5.0,,,87.0,88.0,6.9,4.0,0,,3.0,3.0,3.0,,,,3.0,,,,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,
12624998,home,Al-Taawoun,Saad Fahad Al Nasser,saad-fahad-al-nasser,S. F. A. Nasser,D,96,172.0,581,M,1118494,EUR,978912000,D,8,8,False,39.0,36.0,1.0,,0.0,18.0,19.0,20.0,22.0,5.0,,,65.0,67.0,6.2,14.0,0,,9.0,4.0,1.0,6.0,2.0,,1.0,3.0,2.0,,2.0,2.0,2.0,,,,2.0,1.0,2.0,,,,,,,,,,,,
12624998,home,Al-Taawoun,Flávio,flavio,Flávio,M,8,177.0,261,M,839521,EUR,823910400,M,24,24,False,65.0,61.0,3.0,1.0,0.0,30.0,30.0,31.0,35.0,9.0,,,90.0,80.0,7.6,7.0,1,,5.0,9.0,3.0,1.0,2.0,2.0,,,1.0,1.0,,,6.0,5.0,1.0,,,,,1.0,,,,,,,,,,,
12624998,home,Al-Taawoun,Ashraf El Mahdioui,ashraf-el-mahdioui,A. E. Mahdioui,M,18,183.0,1641,M,788348,EUR,832896000,M,18,18,False,103.0,93.0,6.0,5.0,0.0,45.0,47.0,48.0,56.0,3.0,,,90.0,112.0,7.2,13.0,0,1.0,5.0,3.0,1.0,1.0,,,,1.0,1.0,2.0,,1.0,2.0,2.0,,,,,2.0,,,,True,,,,,,,,
12624998,home,Al-Taawoun,Fayçal Fajr,faycal-fajr,F. Fajr,M,76,178.0,1037,M,143786,EUR,586396800,M,76,76,False,87.0,81.0,11.0,9.0,0.0,28.0,28.0,53.0,65.0,7.0,,,90.0,109.0,7.5,17.0,0,,5.0,5.0,3.0,1.0,2.0,1.0,,,2.0,,6.0,,4.0,3.0,,,,,2.0,,,,,,,,,,,,
12624998,home,Al-Taawoun,Mateus Castro,mateus-castro,Mateus Castro,F,10,167.0,280,M,815630,EUR,779241600,F,10,10,False,28.0,23.0,1.0,1.0,1.0,12.0,12.0,12.0,21.0,2.0,,,81.0,54.0,7.6,14.0,2,1.0,4.0,9.0,,1.0,4.0,2.0,1.0,,2.0,,5.0,,3.0,1.0,4.0,,1.0,,1.0,2.0,,,,1.0,,,,,,,
12624998,home,Al-Taawoun,Joao Pedro,joao-pedro,J. Pedro,F,9,182.0,429,M,351734,EUR,735436800,F,11,11,False,22.0,18.0,1.0,,0.0,7.0,7.0,11.0,15.0,1.0,,,90.0,42.0,6.8,10.0,4,5.0,8.0,5.0,,2.0,3.0,2.0,1.0,,2.0,,,1.0,,,2.0,1.0,,,1.0,,,,,,1.0,3.0,1.0,2.0,,,
