match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_shotValueNormalized,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_outfielderBlock,stat_accurateCross,stat_challengeLost,stat_totalOffside,stat_hitWoodwork,stat_goals,stat_savedShotsFromInsideTheBox,stat_ownGoals,stat_lastManTackle,stat_goodHighClaim,stat_punches
14773724,home,Al-Ahli,Edouard Mendy,,,edouard-mendy,E. Mendy,G,16,195.0,19839,M,edou_mendy,845074,EUR,699408000,G,16,16,False,True,21.0,20.0,7.0,6.0,0.0,17.0,17.0,3.0,4.0,1.0,1.0,6.0,1.0,1.0,90.0,25.0,7.1,1.0,27.111144389317,7.0,17.599747646844,-0.0013,0,0.07,0.01,0.2,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773724,home,Al-Ahli,Mohammed Abdulrahman,Mohammed Abdulrahman,,mohammed-abdulrahman,M. Abdulrahman,D,29,170.0,146,M,,1133141,EUR,1042502400,D,29,29,False,,27.0,25.0,1.0,1.0,0.0,10.0,10.0,15.0,17.0,3.0,10.0,2.0,2.0,,89.0,61.0,7.2,10.0,61.192297633585,10.0,15.675414855094,,2,-0.08,0.18,0.15,,5.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,13.680390117232,16.932001535554,1.0,-0.44,,,,,,,,,,,,,,,,,
14773724,home,Al-Ahli,Rayan Hamed,Rayan Hamed,,rayan-hamed,R. Hamed,D,46,176.0,226,M,,1429251,EUR,1018656000,D,46,46,False,,57.0,48.0,12.0,6.0,0.0,27.0,30.0,21.0,27.0,1.0,7.0,7.0,1.0,,90.0,72.0,7.5,12.0,248.51616299011,26.0,134.67832464117,,2,0.27,0.14,0.25,,1.0,1.0,3.0,,1.0,,2.0,,3.0,1.0,5.0,4.0,,,,-0.32,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
14773724,home,Al-Ahli,Roger Ibañez,,,roger-ibanez,R. Ibañez,D,3,185.0,2314,M,,888949,EUR,911779200,D,3,3,False,,41.0,36.0,5.0,4.0,0.0,18.0,20.0,18.0,21.0,2.0,5.0,4.0,1.0,,90.0,54.0,7.6,7.0,214.11862034161,23.0,164.33754668476,,3,0.24,0.18,0.17,,1.0,1.0,1.0,,2.0,2.0,,2.0,1.0,1.0,,,23.822844264421,48.69067098497,2.0,0.13,,1.0,,,1.0,1.0,,,,,,,,,,,
14773724,home,Al-Ahli,Matteo Dams,Matteo Dams,,matteo-dams,M. Dams,D,32,184.0,819,M,,1162305,EUR,1078790400,D,32,32,False,,15.0,9.0,2.0,,0.0,4.0,5.0,5.0,10.0,,4.0,3.0,1.0,,64.0,33.0,6.6,10.0,74.073307484414,7.0,55.640364335512,,0,-0.06,0.02,-0.03,,3.0,1.0,4.0,,1.0,,,,3.0,2.0,3.0,2.0,22.013375632034,24.898375067462,1.0,,,,2.0,,,,,,,,,,,,,,
14773724,home,Al-Ahli,Ziyad Aljohani,Ziyad Aljohani,,ziyad-aljohani,Z. Aljohani,M,30,180.0,354,M,,1048372,EUR,1005436800,M,30,30,False,,42.0,38.0,6.0,4.0,0.0,19.0,20.0,19.0,22.0,1.0,6.0,5.0,,,90.0,65.0,7.3,9.0,115.19360877572,14.0,74.241595540227,,1,0.29,0.06,0.24,,1.0,1.0,5.0,1.0,2.0,,1.0,,,3.0,5.0,5.0,19.178624191864,20.923158843731,1.0,-0.11,,,1.0,2.0,,,1.0,,,,,,,,,,
14773724,home,Al-Ahli,Franck Kessié,,,franck-kessie,F. Kessié,M,79,183.0,43381,M,franckkessie,359226,EUR,850953600,M,79,79,False,,18.0,15.0,,,0.0,7.0,7.0,8.0,11.0,,1.0,2.0,,,81.0,26.0,6.5,5.0,48.932754279998,6.0,8.3930225183304,,2,-0.02,0.09,0.18,,,,2.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,-0.12,,1.0,1.0,,,,,,,,,,,,,,
14773724,home,Al-Ahli,Riyad Mahrez,,,riyad-mahrez,R. Mahrez,M,7,179.0,70718,M,RMahrez,158213,EUR,667094400,M,7,7,False,,32.0,26.0,3.0,2.0,0.0,7.0,8.0,19.0,24.0,,2.0,2.0,,,80.0,54.0,7.1,17.0,92.051750438302,15.0,12.408137482888,,1,0.61,0.07,-0.05,,9.0,2.0,7.0,2.0,3.0,1.0,,1.0,,,1.0,,5.5682818283556,7.3443924187096,1.0,-0.17,1.0,,,4.0,,,,4.0,1.0,1.0,,,,,,,
14773724,home,Al-Ahli,Matheus Gonçalves,Matheus Gonçalves,,matheus-goncalves,M. Gonçalves,M,20,175.0,7172,M,,1175553,EUR,1124323200,M,20,20,False,,35.0,26.0,2.0,,0.0,3.0,3.0,23.0,32.0,,5.0,4.0,1.0,,90.0,61.0,6.8,19.0,146.95610347861,16.0,90.475541331477,,0,0.41,0.28,-0.15,,5.0,1.0,9.0,1.0,4.0,2.0,,,,,2.0,1.0,16.750710424039,52.242978774487,3.0,,,3.0,2.0,2.0,,,,1.0,3.0,,,,,,,,
14773724,home,Al-Ahli,Wenderson Galeno,,,wenderson-galeno,W. Galeno,M,13,178.0,4322,M,w_galeno90,845754,EUR,877478400,M,13,13,False,,15.0,11.0,1.0,,0.0,3.0,4.0,8.0,11.0,1.0,4.0,7.0,,,64.0,32.0,8.2,12.0,198.56829470417,14.0,96.827116002999,,2,0.65,0.57,0.2,,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,25.326130366496,109.49076194046,6.0,-0.47,,5.0,,2.0,1.0,,1.0,,1.0,,1.0,,,,,,
