match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,stat_outfielderBlock,stat_shotOffTarget,stat_errorLeadToAGoal,stat_interceptionWon,stat_bigChanceCreated,captain,stat_totalOffside,stat_bigChanceMissed,stat_dispossessed,stat_hitWoodwork,stat_goals,player_sofascoreId,stat_goalAssist,stat_goodHighClaim
11369330,home,Granada,André Ferreira,,,andre-ferreira,A. Ferreira,G,13,193,225,M,788197,EUR,833328000,G,13,13,False,35.0,23.0,23.0,11.0,16.0,19.0,7.0,16.0,2.0,10.0,1.0,2.0,1.0,90.0,47.0,6.7,12.0,0.0,0.0,0.00398136,0,-0.4495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369330,home,Granada,Ricard Sánchez,,,ricard-sanchez,R. Sánchez,D,2,175,157,M,986726,EUR,951177600,D,12,12,False,22.0,19.0,6.0,5.0,4.0,6.0,16.0,21.0,3.0,3.0,,,,90.0,50.0,7.3,10.0,0.0179,0.0174,0.0580928,1,,5.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11369330,home,Granada,Ignasi Miquel,,,ignasi-miquel,I. Miquel,D,5,189,102,M,144606,EUR,717638400,D,14,14,False,32.0,27.0,3.0,1.0,21.0,24.0,6.0,8.0,4.0,10.0,,,,90.0,45.0,7.3,5.0,0.215,0.0338,0.00388899,2,,,,3.0,5.0,7.0,,,,1.0,3.0,3.0,,1.0,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,
11369330,home,Granada,Raúl Torrente,,,raul-torrente,R. Torrente,D,4,193,720,M,1134758,EUR,1000080000,D,28,28,False,36.0,25.0,11.0,4.0,19.0,22.0,6.0,14.0,5.0,2.0,,,,90.0,46.0,6.8,11.0,0.0571,0.0,0.162324,1,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,
11369330,home,Granada,Carlos Neva,,,neva-carlos,C. Neva,D,21,174,128,M,914178,EUR,834537600,D,15,15,False,29.0,22.0,3.0,,17.0,22.0,6.0,10.0,8.0,2.0,,,,90.0,56.0,6.9,10.0,0.0,0.0,0.0358113,0,,3.0,1.0,1.0,4.0,4.0,1.0,1.0,,,2.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11369330,home,Granada,Óscar Melendo,,,oscar-melendo,Ó. Melendo,M,21,167,152,M,861317,EUR,872294400,M,21,21,False,10.0,8.0,,,6.0,6.0,3.0,5.0,,1.0,,,,62.0,16.0,6.3,3.0,0.0,0.0,0.0124077,0,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,
11369330,home,Granada,Gonzalo Villar,,,gonzalo-villar,G. Villar,M,12,181,1019,M,914765,EUR,890611200,M,24,24,False,20.0,17.0,1.0,,12.0,14.0,5.0,6.0,,6.0,,,,62.0,25.0,6.7,3.0,0.0,0.0,0.00183634,0,,,,,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,
11369330,home,Granada,Gerard Gumbau,,,gerard-gumbau,G. Gumbau,M,15,187,380,M,326471,EUR,787708800,M,23,23,False,26.0,21.0,5.0,3.0,13.0,17.0,13.0,18.0,2.0,3.0,,,,73.0,45.0,7.1,10.0,0.0355,0.0,0.528253,1,,9.0,5.0,,2.0,1.0,,,,,1.0,,1.0,,2.0,4.0,,,,1.0,,,1.0,,,,,,,,,
11369330,home,Granada,Antonio Puertas,,,antonio-puertas,A. Puertas,M,7,183,210,M,316406,EUR,698630400,M,10,10,False,11.0,9.0,1.0,1.0,7.0,8.0,2.0,5.0,,1.0,,,,73.0,27.0,7.4,5.0,0.1232,0.1983,0.0329704,3,,2.0,,1.0,3.0,6.0,,4.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,2.0,,,,True,1.0,,,,,,,
11369330,home,Granada,Myrto Uzuni,,,myrto-uzuni,M. Uzuni,F,10,178,1807,M,895533,EUR,801878400,F,11,11,False,2.0,1.0,,,1.0,2.0,,,1.0,2.0,,,,38.0,8.0,6.3,2.0,0.1778,0.0232,2.86e-06,2,,,,3.0,4.0,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,
11369330,home,Granada,Lucas Boyé,,,lucas-boye,L. Boyé,F,15,183,1345,M,814385,EUR,825465600,F,7,7,False,20.0,15.0,,,7.0,8.0,8.0,12.0,3.0,4.0,,,,90.0,50.0,7.4,16.0,0.8328,0.7981,0.0126414,4,,,,2.0,9.0,6.0,,6.0,2.0,1.0,,,3.0,2.0,3.0,,2.0,1.0,,2.0,,,,,,,1.0,1.0,1.0,,,
11369330,home,Granada,Bryan Zaragoza,,,bryan-zaragoza,B. Zaragoza,F,97,165,5285,M,1084730,EUR,999993600,M,26,26,True,14.0,7.0,,,,,10.0,18.0,,1.0,,,,52.0,32.0,7.9,13.0,0.0559,0.0362,0.830282,2,,4.0,3.0,,2.0,9.0,,7.0,6.0,1.0,,,2.0,1.0,1.0,3.0,2.0,1.0,,,,,1.0,,1.0,,,,,bryanzaragoza,1.0,
11369330,home,Granada,Sergio Ruiz Alonso,,,sergio-ruiz-alonso,S. R. Alonso,M,20,171,83,M,857227,EUR,787536000,M,20,20,True,18.0,14.0,2.0,2.0,5.0,7.0,9.0,11.0,,4.0,,,,28.0,25.0,6.7,5.0,0.0,0.0,0.00453834,0,,,,1.0,4.0,4.0,2.0,1.0,,,3.0,2.0,,,,,1.0,,,,,1.0,,,,,,,,,,
11369330,home,Granada,José Callejón,,,jose-callejon,J. Callejón,F,,178,736,M,40965,EUR,540000000,F,9,9,True,24.0,20.0,2.0,,8.0,8.0,12.0,16.0,,3.0,,,,28.0,28.0,6.9,5.0,0.2354,0.0925,0.0348065,1,,,,1.0,2.0,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,
11369330,home,Granada,Njegoš Petrović,,,njegos-petrovic,N. Petrović,M,18,185,282,M,844179,EUR,932256000,M,18,18,True,16.0,14.0,,,6.0,6.0,8.0,10.0,,1.0,,,,17.0,22.0,6.7,4.0,0.0255,0.0,0.0274337,1,,,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,
11369330,home,Granada,Shon Weissman,,,shon-weissman,S.Weissman,F,18,174,695,M,790817,EUR,824256000,F,17,17,True,1.0,,,,,,,1.0,1.0,,,,,17.0,5.0,6.4,1.0,0.0,0.0,0.0,0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
