match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,captain,stat_aerialLost,stat_shotOffTarget,player_firstName,player_lastName,stat_accurateCross,stat_outfielderBlock,stat_wasFouled,stat_fouls,stat_dispossessed,stat_totalContest,stat_wonTackle,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_keyPass,stat_bigChanceMissed,stat_totalOffside,stat_punches,player_sofascoreId,stat_goalAssist,stat_hitWoodwork,stat_goals
10913486,home,Al-Taawoun,Mailson,mailson,Mailson,G,1,198.0,587,M,883367,EUR,840499200,G,1,1,False,19.0,14.0,6.0,1.0,14.0,15.0,4.0,1.0,9.0,2.0,7.0,9.0,90.0,40.0,7.9,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913486,home,Al-Taawoun,Awn Al Saluli,awn-al-saluli,A. A. Saluli,D,93,194.0,64,M,881830,EUR,904694400,D,33,33,False,19.0,17.0,2.0,2.0,9.0,11.0,9.0,8.0,1.0,,,,76.0,42.0,6.4,5.0,0,8.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
10913486,home,Al-Taawoun,Naldo,naldo,Naldo,D,5,188.0,74,M,243719,EUR,588470400,D,4,4,False,27.0,24.0,3.0,2.0,19.0,20.0,7.0,1.0,2.0,,,,90.0,40.0,6.2,3.0,2,5.0,,2.0,4.0,3.0,2.0,4.0,1.0,,True,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
10913486,home,Al-Taawoun,Hassan Kadesh,hassan-kadesh,H. Kadesh,D,15,179.0,398,M,847235,EUR,712627200,D,14,14,False,32.0,26.0,2.0,1.0,17.0,20.0,15.0,5.0,3.0,,,,90.0,57.0,6.7,9.0,0,10.0,3.0,1.0,3.0,5.0,,2.0,3.0,1.0,,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10913486,home,Al-Taawoun,Saad Yaslam Balobaid,saad-yaslam-balobaid,S. Y. Balobaid,D,31,168.0,155,M,1066588,EUR,948931200,D,31,31,False,12.0,9.0,1.0,1.0,5.0,6.0,7.0,2.0,,,,,45.0,23.0,6.3,6.0,0,4.0,1.0,,3.0,2.0,1.0,1.0,1.0,1.0,,,,Saad Yaslam Balobaid,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10913486,home,Al-Taawoun,Tariq Mohammed,tariq-mohammed,T. Mohammed,M,6,170.0,26,M,871619,EUR,810345600,M,5,5,False,39.0,31.0,2.0,1.0,21.0,26.0,13.0,1.0,8.0,,,,85.0,57.0,6.2,11.0,0,10.0,,,9.0,5.0,4.0,1.0,4.0,1.0,,,,,,,,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,
10913486,home,Al-Taawoun,Ashraf El Mahdioui,ashraf-el-mahdioui,A. E. Mahdioui,M,18,183.0,1641,M,788348,EUR,832896000,M,18,18,False,58.0,53.0,2.0,2.0,33.0,37.0,21.0,3.0,5.0,,,,90.0,68.0,6.5,7.0,0,20.0,,,2.0,1.0,1.0,2.0,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,
10913486,home,Al-Taawoun,Alejandro Romero,kaku,Kaku,M,10,171.0,1012,M,788936,EUR,789782400,M,17,17,False,50.0,45.0,9.0,8.0,14.0,15.0,40.0,,3.0,,,,90.0,73.0,8.3,12.0,3,33.0,5.0,,2.0,9.0,1.0,1.0,4.0,1.0,,,,,,2.0,,1.0,1.0,,5.0,3.0,4.0,1.0,1.0,2.0,4.0,,,,,,,
10913486,home,Al-Taawoun,Álvaro Medrán,alvaro-medran,Á. Medrán,M,10,176.0,321,M,537018,EUR,763689600,M,10,10,False,47.0,40.0,5.0,4.0,21.0,21.0,29.0,,9.0,,,,84.0,62.0,7.0,11.0,3,20.0,3.0,1.0,2.0,5.0,1.0,1.0,2.0,,,,1.0,,,1.0,,1.0,,,2.0,2.0,1.0,,,2.0,1.0,,,,,,,
10913486,home,Al-Taawoun,Fahad Ayed Al-Rashidi,al-rashidi-fahad-ayed,F. A. Al-Rashidi,F,97,175.0,231,M,974517,EUR,863740800,M,7,7,False,22.0,15.0,1.0,,5.0,8.0,14.0,,4.0,,,,76.0,34.0,6.4,10.0,2,10.0,,3.0,6.0,7.0,,,1.0,1.0,,2.0,2.0,,,,,1.0,3.0,1.0,3.0,1.0,2.0,,,,2.0,1.0,2.0,,,,,
