match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_duelLost,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_outfielderBlock,stat_lastManTackle,stat_fouls,stat_penaltyWon,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_dispossessed,stat_errorLeadToAGoal,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_bigChanceMissed,stat_penaltyConceded,stat_goodHighClaim,stat_penaltyFaced
12504415,home,Milan,Mike Maignan,mike-maignan,M. Maignan,G,16,190.0,15444,M,MMaignan,191210,EUR,804729600,G,16,16,False,True,20.0,20.0,1.0,1.0,0.0,19.0,19.0,1.0,1.0,8.0,3.0,3.0,90.0,26.0,6.5,1.0,0.0002654,0,0.1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504415,home,Milan,Davide Calabria,davide-calabria,D. Calabria,D,2,177.0,2430,M,,318607,EUR,849830400,D,2,2,False,,41.0,39.0,1.0,1.0,0.0,18.0,18.0,23.0,29.0,6.0,,,77.0,62.0,7.4,7.0,0.0682812,0,,6.0,2.0,1.0,5.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12504415,home,Milan,Matteo Gabbia,matteo-gabbia,M. Gabbia,D,46,185.0,3401,M,,826195,EUR,940464000,D,46,46,False,,77.0,71.0,10.0,7.0,0.0,31.0,34.0,40.0,43.0,,,,90.0,87.0,6.9,8.0,0.0326241,0,,,,4.0,4.0,,,8.0,,,,1.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,
12504415,home,Milan,Strahinja Pavlović,strahinja-pavlovic,S. Pavlović,D,31,194.0,8727,M,strahinjapavlovic,965893,EUR,990662400,D,31,31,False,,65.0,61.0,3.0,2.0,1.0,26.0,27.0,35.0,40.0,1.0,,,90.0,89.0,8.6,10.0,0.0707726,1,,2.0,,5.0,11.0,,,3.0,1.0,3.0,2.0,3.0,3.0,6.0,7.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0671,2.0,,,,,,,,,,,,,
12504415,home,Milan,Theo Hernández,theo-hernandez,T. Hernández,D,19,184.0,26616,M,TheoHdez,788027,EUR,876096000,D,19,19,False,,16.0,15.0,,,0.0,6.0,6.0,9.0,12.0,1.0,,,45.0,28.0,6.5,5.0,0.0111366,1,,2.0,,,1.0,,,,,1.0,1.0,1.0,,,2.0,,1.0,,,1.0,,,0.0749,,1.0,,,,,,,,,,,,
12504415,home,Milan,Yunus Musah,yunus-musah,Y. Musah,M,6,178.0,4211,M,yunusmusah8,983815,EUR,1038528000,M,80,80,False,,43.0,35.0,3.0,1.0,1.0,9.0,13.0,26.0,31.0,4.0,,,90.0,53.0,7.1,10.0,0.226103,0,,1.0,,1.0,5.0,3.0,3.0,,,,,1.0,1.0,2.0,3.0,1.0,,,,1.0,,,,3.0,,1.0,,,,,,,,,,,
12504415,home,Milan,Youssouf Fofana,youssouf-fofana,Y. Fofana,M,19,185.0,6182,M,YFofana19_,945062,EUR,915926400,M,29,29,False,,46.0,42.0,6.0,5.0,0.0,13.0,14.0,29.0,32.0,5.0,,,57.0,53.0,7.1,6.0,0.0646492,1,,,,1.0,3.0,1.0,1.0,,2.0,1.0,1.0,1.0,,,4.0,,,,,2.0,,,0.0149,1.0,,,2.0,1.0,,,,,,,,,
12504415,home,Milan,Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,4,185.0,38485,M,tijjanireijnders,893549,EUR,901670400,M,14,14,False,,31.0,27.0,2.0,2.0,0.0,2.0,3.0,25.0,28.0,3.0,,,90.0,42.0,7.5,7.0,0.0697394,5,,,,,2.0,2.0,1.0,,,,,1.0,1.0,1.0,4.0,,2.0,,,1.0,,,0.4022,,1.0,,,,3.0,1.0,0.9959,,,,,,
12504415,home,Milan,Christian Pulišić,christian-pulisic,C. Pulišić,M,11,177.0,37774,M,CMPulisic,817957,EUR,906076800,F,11,11,False,,40.0,34.0,2.0,2.0,0.0,11.0,13.0,23.0,32.0,9.0,,,90.0,61.0,6.9,18.0,0.0647341,1,,5.0,,,1.0,4.0,1.0,,1.0,,,,,4.0,12.0,,,,,1.0,,,0.7884,,3.0,,1.0,,1.0,1.0,0.8796,,,,,,
12504415,home,Milan,Álvaro Morata,alvaro-morata,Á. Morata,F,7,189.0,28279,M,ÁMorata,125407,EUR,719798400,F,7,7,False,,7.0,5.0,,,0.0,2.0,2.0,3.0,7.0,,,,57.0,15.0,6.7,6.0,0.00043254,0,,2.0,,1.0,2.0,,,,,1.0,1.0,1.0,,2.0,3.0,,,1.0,,,,3.0,,,1.0,,,,,,,,,,,,
