match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalTackle,captain,stat_challengeLost,stat_interceptionWon,stat_unsuccessfulTouch,stat_outfielderBlock,stat_fouls,stat_accurateCross,stat_wonTackle,stat_keyPass,stat_dispossessed,stat_onTargetScoringAttempt,stat_wasFouled,stat_shotOffTarget,stat_goals,stat_blockedScoringAttempt,stat_goodHighClaim,stat_totalOffside
10382077,home,FC Utrecht,Vasilis Barkas,,,vasilis-barkas,V. Barkas,G,1,196,390,M,347726,EUR,770256000,G,1,1,False,30.0,22.0,15.0,7.0,16.0,16.0,6.0,14.0,1.0,1.0,1.0,13.0,1.0,5.0,1.0,90.0,41.0,8.0,8.0,0,,,,,,,,,,,,,,,,,,,,,,,
10382077,home,FC Utrecht,Hidde ter Avest,,,hidde-ter-avest,H. t. Avest,D,24,182,95,M,361788,EUR,864086400,D,5,5,False,33.0,31.0,3.0,2.0,13.0,14.0,18.0,20.0,,3.0,2.0,1.0,,,,45.0,49.0,6.9,3.0,0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
10382077,home,FC Utrecht,Mark van der Maarel,,,mark-van-der-maarel,M. van der Maarel,D,,177,47,M,88615,EUR,618883200,D,2,2,False,47.0,42.0,7.0,4.0,24.0,26.0,18.0,21.0,1.0,1.0,5.0,4.0,,,,90.0,59.0,6.9,6.0,0,,,2.0,,,,True,2.0,3.0,1.0,,,,,,,,,,,,,
10382077,home,FC Utrecht,Modibo Sagnan,,,modibo-sagnan,M. Sagnan,D,27,187,577,M,904759,EUR,924048000,D,27,27,False,43.0,35.0,8.0,5.0,24.0,29.0,11.0,14.0,6.0,8.0,4.0,5.0,,,,78.0,51.0,7.2,9.0,0,,2.0,4.0,,,2.0,,,,1.0,1.0,2.0,,,,,,,,,,,
10382077,home,FC Utrecht,Djevencio van der Kust,,,djevencio-van-der-kust,D. v. d. Kust,D,5,178,181,M,974530,EUR,988588800,D,15,15,False,29.0,18.0,2.0,,7.0,9.0,12.0,24.0,1.0,2.0,2.0,1.0,,,,78.0,48.0,6.9,18.0,0,4.0,1.0,2.0,,,1.0,,1.0,1.0,2.0,,,1.0,1.0,3.0,,,,,,,,
10382077,home,FC Utrecht,Moussa Sylla,,,sylla-moussa,M. Sylla,F,9,181,2073,M,861980,EUR,943488000,M,29,29,False,32.0,25.0,7.0,4.0,11.0,12.0,17.0,29.0,1.0,5.0,1.0,8.0,,,,90.0,55.0,7.2,17.0,1,9.0,,4.0,,,2.0,,3.0,,2.0,,,3.0,1.0,3.0,1.0,1.0,2.0,,,,,
10382077,home,FC Utrecht,Jens Toornstra,,,jens-toornstra,J. Toornstra,M,18,178,203,M,99960,EUR,607651200,M,18,18,False,47.0,36.0,6.0,2.0,11.0,11.0,28.0,43.0,1.0,2.0,2.0,3.0,,,,90.0,62.0,7.1,17.0,0,7.0,1.0,3.0,,,1.0,,,1.0,1.0,,1.0,3.0,,1.0,1.0,,,,,,,
10382077,home,FC Utrecht,Luuk Brouwers,,,luuk-brouwers,L. Brouwers,M,8,180,141,M,794014,EUR,894153600,M,8,8,False,39.0,35.0,8.0,7.0,13.0,14.0,22.0,25.0,,1.0,,5.0,,,,45.0,41.0,7.0,4.0,0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,
10382077,home,FC Utrecht,Othman Boussaid,,,othman-boussaid,O. Boussaid,M,49,166,244,M,877032,EUR,952387200,M,26,26,False,37.0,32.0,1.0,1.0,10.0,11.0,23.0,31.0,,3.0,,4.0,,,,85.0,57.0,6.9,13.0,2,5.0,2.0,5.0,,,2.0,,2.0,2.0,3.0,,,1.0,2.0,1.0,1.0,,1.0,2.0,,,,
10382077,home,FC Utrecht,Bas Dost,,,bas-dost,B. Dost,F,,196,697,M,32260,EUR,612576000,F,28,28,False,22.0,14.0,1.0,1.0,4.0,4.0,10.0,18.0,4.0,5.0,4.0,4.0,,,,90.0,31.0,7.7,8.0,2,,3.0,3.0,1.0,1.0,,,,1.0,,,,,,1.0,,2.0,,,1.0,,,
