match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_keyPass,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_fouls,stat_challengeLost,stat_unsuccessfulTouch,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,captain,player_firstName,player_lastName,stat_savedShotsFromInsideTheBox,stat_totalOffside,stat_clearanceOffLine,player_sofascoreId,stat_hitWoodwork
10411749,home,Sampdoria,Nicola Ravaglia,nicola-ravaglia,N. Ravaglia,G,30,184.0,68,M,130802,EUR,597888000,G,30,30,False,37.0,22.0,25.0,10.0,15.0,17.0,7.0,20.0,1.0,11.0,1.0,2.0,1.0,90.0,46.0,6.0,15.0,0.0,0.0,0.00238269,0,-2.2359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411749,home,Sampdoria,Alessandro Zanoli,zanoli-alessandro,A. Zanoli,M,59,186.0,923,M,922928,EUR,970531200,D,59,59,False,34.0,30.0,1.0,,21.0,22.0,10.0,13.0,8.0,8.0,,,,76.0,49.0,7.3,4.0,0.2959,0.191,0.216463,2,,1.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10411749,home,Sampdoria,Bram Nuytinck,bram-nuytinck,B. Nuytinck,D,17,190.0,135,M,70930,EUR,641779200,D,17,17,False,37.0,32.0,8.0,6.0,29.0,31.0,3.0,6.0,8.0,4.0,3.0,,,90.0,55.0,6.7,6.0,0.0,0.0,0.00041852,0,,,,5.0,4.0,6.0,,,,,,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,
10411749,home,Sampdoria,Bruno Amione,bruno-amione,B. Amione,D,2,189.0,503,M,990050,EUR,1010016000,D,2,2,False,46.0,39.0,5.0,4.0,33.0,37.0,6.0,9.0,5.0,4.0,1.0,,,90.0,59.0,5.9,9.0,0.0,0.0,0.00262476,0,,,,1.0,3.0,6.0,1.0,,,,,2.0,1.0,,,1.0,2.0,,1.0,3.0,1.0,,,,,,,,,,,,
10411749,home,Sampdoria,Tommaso Augello,tommaso-augello,T. Augello,M,3,181.0,354,M,596736,EUR,778204800,D,3,3,False,43.0,37.0,3.0,2.0,21.0,23.0,18.0,23.0,5.0,4.0,,,,88.0,64.0,7.8,11.0,0.0709,0.0,0.392257,1,,3.0,2.0,2.0,3.0,4.0,3.0,2.0,,,,1.0,,2.0,,,1.0,,1.0,,,2.0,2.0,1.0,,,,,,,,,
10411749,home,Sampdoria,Harry Winks,harry-winks,H. Winks,M,8,178.0,1220,M,545780,EUR,823219200,M,20,20,False,38.0,34.0,8.0,7.0,18.0,18.0,16.0,21.0,3.0,5.0,2.0,,,90.0,50.0,6.7,6.0,0.017,0.0,0.0323714,1,,1.0,,1.0,,4.0,1.0,1.0,,,,1.0,,,,,1.0,,2.0,1.0,1.0,,,1.0,,,,,,,,,
10411749,home,Sampdoria,Tomás Rincón,tomas-rincon,T. Rincón,M,8,175.0,2735,M,46798,EUR,569030400,M,8,8,False,34.0,24.0,6.0,2.0,16.0,20.0,8.0,15.0,3.0,8.0,,,,90.0,44.0,6.1,14.0,0.0,0.0,0.00364985,0,,1.0,,,2.0,6.0,2.0,1.0,,,,2.0,,,,1.0,1.0,,2.0,3.0,1.0,,,,,,,,,,,,
10411749,home,Sampdoria,Mehdi Léris,mehdi-leris,M. Léris,M,7,186.0,1543,M,851222,EUR,895881600,M,37,37,False,24.0,11.0,1.0,,3.0,5.0,8.0,23.0,11.0,2.0,,,,90.0,48.0,7.3,21.0,0.2997,0.3608,0.0275606,2,,4.0,,4.0,8.0,8.0,4.0,2.0,,,2.0,3.0,1.0,1.0,,,,1.0,2.0,,,,1.0,,1.0,,,,,,,,
10411749,home,Sampdoria,Michaël Cuisance,michael-cuisance,M. Cuisance,M,10,181.0,892,M,826208,EUR,934761600,M,80,80,False,9.0,9.0,1.0,1.0,2.0,2.0,7.0,10.0,3.0,,,,,45.0,17.0,6.6,4.0,0.088,0.0,0.0416736,1,,3.0,,2.0,1.0,4.0,1.0,1.0,,,,,1.0,2.0,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,
10411749,home,Sampdoria,Filip Đuričić,filip-duricic,F. Đuričić,M,31,181.0,1068,M,69367,EUR,696729600,M,7,7,False,32.0,27.0,1.0,,12.0,13.0,16.0,22.0,2.0,4.0,2.0,,,88.0,44.0,6.4,10.0,0.4615,0.2792,0.0531692,2,,3.0,1.0,1.0,,3.0,,,1.0,,2.0,,,1.0,1.0,,,,1.0,,2.0,,,,,,,,,,,,
10411749,home,Sampdoria,Manolo Gabbiadini,manolo-gabbiadini,M. Gabbiadini,F,11,186.0,447,M,53816,EUR,691113600,F,23,23,False,29.0,21.0,,,8.0,9.0,13.0,21.0,7.0,1.0,2.0,,,90.0,42.0,7.0,13.0,0.2379,0.0,0.30145,1,,1.0,,3.0,4.0,6.0,,,1.0,,1.0,,1.0,3.0,2.0,,1.0,1.0,1.0,,2.0,,1.0,,,True,,,,,,,
10411749,home,Sampdoria,Sam Lammers,sam-lammers,S. Lammers,F,10,191.0,836,M,804901,EUR,862358400,F,10,10,True,9.0,9.0,,,1.0,1.0,8.0,8.0,2.0,2.0,2.0,,,45.0,21.0,7.1,5.0,0.5962,0.793,0.0183373,3,,,,4.0,,7.0,,,,,3.0,,,,1.0,1.0,,,2.0,,4.0,,,,1.0,,,,,,,,
10411749,home,Sampdoria,Marios Oikonomou,marios-oikonomou,M. Oikonomou,D,,189.0,70,M,146951,EUR,718329600,D,5,5,True,4.0,2.0,1.0,1.0,,1.0,2.0,3.0,2.0,1.0,1.0,,,14.0,6.0,6.1,2.0,0.0,0.0,0.00016382,0,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
10411749,home,Sampdoria,Nicola Murru,nicola-murru,N. Murru,D,29,180.0,66,M,148745,EUR,787536000,D,29,29,True,5.0,2.0,1.0,,,,2.0,5.0,,2.0,,,,11.0,5.0,6.0,3.0,0.0,0.0,0.00699121,0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
10411749,home,Sampdoria,Jesé Rodríguez,jese-rodriguez,Jesé,F,10,178.0,1129,M,110781,EUR,730684800,F,99,99,True,,,,,,,,,,,,,,11.0,,6.3,,0.0,0.0,0.0,0,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
10411749,home,Sampdoria,Elia Tantalocchi,elia-tantalocchi,E. Tantalocchi,G,1,190.0,47,M,1069101,EUR,1088553600,G,32,32,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411749,home,Sampdoria,Martin Turk,martin-turk,M. Turk,G,16,190.0,240,M,1083104,EUR,1061424000,G,22,22,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411749,home,Sampdoria,Flavio Paoletti,paoletti-flavio,F. Paoletti,M,36,178.0,74,M,1069011,EUR,1042675200,M,36,36,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411749,home,Sampdoria,Lorenzo Malagrida,lorenzo-malagrida,L. Malagrida,M,11,170.0,48,M,1108074,EUR,1066953600,M,31,31,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411749,home,Sampdoria,Gerard Yepes,gerard-yepes,G. Yepes,M,14,170.0,98,M,1067220,EUR,1030233600,M,28,28,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
