match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,captain,stat_totalTackle,stat_aerialLost,stat_shotOffTarget,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_totalOffside,stat_errorLeadToAShot
14566867,home,Olympiacos FC,Konstantinos Tzolakis,konstantinos-tzolakis,K. Tzolakis,G,88,193.0,2912,M,953414,EUR,1036713600,G,88,88,False,31.0,8.0,31.0,8.0,0.0,8.0,31.0,1.0,1.0,3.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,90.0,37.0,6.6,23.0,0.00792686,21.816,5.3925,0.0,0.0702,0,-0.7108,0.16,0.03,0.16,0.08,3.62,1.59,0.15,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566867,home,Olympiacos FC,Rodinei,rodinei,Rodinei,D,23,175.0,3169,M,244039,EUR,696643200,D,23,23,False,24.0,19.0,7.0,5.0,0.0,18.0,22.0,,3.0,8.0,2.0,,,,,,,90.0,61.0,7.2,17.0,0.0409001,28.548,10.56111,11.0,,0,,0.35,0.18,-0.06,,2.87,4.95,1.74,0.77,0.23,1.0,2.0,9.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14566867,home,Olympiacos FC,Panagiotis Retsos,panagiotis-retsos,T. Retsos,D,45,186.0,1558,M,828971,EUR,902620800,D,45,45,False,28.0,26.0,4.0,2.0,0.0,7.0,9.0,3.0,5.0,10.0,4.0,,,,,,,90.0,43.0,7.0,4.0,0.00279108,28.26,10.27832,8.0,,0,,0.08,0.06,0.16,,2.78,4.97,1.72,0.65,0.16,19.0,19.0,,,,,,,,,2.0,,,True,2.0,,,,,,,,,,,,,,,,,
14566867,home,Olympiacos FC,Lorenzo Pirola,lorenzo-pirola,L. Pirola,D,5,185.0,1017,M,965014,EUR,1014163200,D,5,5,False,37.0,32.0,4.0,4.0,0.0,10.0,14.0,2.0,5.0,8.0,2.0,,,,,,,90.0,53.0,6.9,5.0,0.00405606,29.484,10.31214,10.0,,1,,-0.15,0.04,0.27,,2.73,5.31,1.54,0.53,0.2,22.0,23.0,,,3.0,,,,,2.0,,,,,3.0,2.0,1.0,2.0,1.0,0.0525,-0.2,,,,,,,,,,,
14566867,home,Olympiacos FC,Francisco Ortega,francisco-ortega,F. Ortega,D,3,177.0,1560,M,913647,EUR,919382400,D,3,3,False,30.0,24.0,2.0,,0.0,14.0,18.0,2.0,7.0,4.0,5.0,,,,,,,90.0,60.0,6.9,11.0,0.063781,29.628,10.15724,12.0,,0,,0.17,0.04,-0.08,,3.04,4.93,1.34,0.62,0.24,10.0,12.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,,2.0,,,1.0,2.0,,,,,,,,,,,,,
14566867,home,Olympiacos FC,Dani García,dani-garcia,D. García,M,14,180.0,703,M,298920,EUR,643507200,M,14,14,False,14.0,13.0,3.0,3.0,0.0,7.0,7.0,,1.0,2.0,2.0,,,,,,,63.0,22.0,6.9,2.0,0.00406036,25.956,7.7199,2.0,,2,,0.09,0.02,0.15,,1.75,3.9,1.59,0.43,0.04,6.0,7.0,,,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,,0.0702,0.03,2.0,,,,,,,,,,
14566867,home,Olympiacos FC,Christos Mouzakitis,christos-mouzakitis,C. Mouzakitis,M,96,178.0,3766,M,1416540,EUR,1167004800,M,96,96,False,34.0,25.0,3.0,3.0,0.0,20.0,27.0,,6.0,1.0,8.0,,,,,,,90.0,50.0,7.2,10.0,0.0154577,27.468,11.37036,6.0,,1,,0.29,0.14,-0.05,,2.64,5.75,2.18,0.68,0.12,5.0,7.0,1.0,,2.0,1.0,,1.0,1.0,2.0,,1.0,,,4.0,,1.0,3.0,1.0,0.009,0.0,,Christos Mouzakitis,,1.0,,,,,,,
14566867,home,Olympiacos FC,Gelson Martins,gelson-martins,G. Martins,M,10,173.0,2063,M,364618,EUR,800150400,M,10,10,False,28.0,23.0,1.0,1.0,0.0,16.0,21.0,,8.0,1.0,8.0,,,,,,,90.0,58.0,8.0,16.0,0.117713,30.06,11.169,15.0,,7,,0.3,0.42,-0.09,,3.02,4.96,1.91,1.0,0.28,7.0,7.0,3.0,1.0,6.0,1.0,3.0,6.0,5.0,,4.0,3.0,,,,1.0,6.0,,,0.4303,0.44,,,,,1.0,1.0,1.0,0.2765,,,
14566867,home,Olympiacos FC,Chiquinho,chiquinho,Chiquinho,M,22,174.0,1913,M,584124,EUR,806112000,M,22,22,False,17.0,12.0,1.0,1.0,1.0,7.0,12.0,,2.0,,1.0,,,,,,,74.0,31.0,6.8,8.0,0.0851754,29.304,8.72316,8.0,,5,,0.12,0.13,-0.03,,2.17,4.33,1.5,0.55,0.16,5.0,5.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,,1.0,,,1.0,0.3214,-0.03,3.0,,,,2.0,,,0.3064,,,
14566867,home,Olympiacos FC,Daniel Podence,daniel-podence,D. Podence,F,56,165.0,3019,M,308764,EUR,814233600,M,56,56,False,26.0,16.0,4.0,,0.0,13.0,23.0,,12.0,,5.0,,,,,,,84.0,50.0,7.4,14.0,0.0457335,27.36,8.66595,4.0,,1,,-0.09,0.36,0.0,,2.93,3.92,1.23,0.5,0.08,3.0,3.0,1.0,,3.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,,8.0,,,4.0,,0.0213,-0.13,,,,,1.0,,,0.2109,,,
