match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_interceptionWon,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_dispossessed,stat_blockedScoringAttempt,stat_outfielderBlock,player_sofascoreId,captain,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_totalOffside,stat_bigChanceMissed,stat_goals,stat_errorLeadToAShot,stat_hitWoodwork
12421206,home,RC Sporting Charleroi,Mohamed Koné,Mohamed Koné,,mohamed-kone,M. Koné,G,30,186.0,1004,M,1131009,EUR,1015459200,G,30,30,False,28.0,16.0,19.0,7.0,0.0,11.0,13.0,5.0,15.0,1.0,1.0,2.0,13.0,2.0,4.0,1.0,1.0,90.0,44.0,7.2,12.0,0.00152328,0,0.2812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421206,home,RC Sporting Charleroi,Žan Rogelj,,,zan-rogelj,Ž. Rogelj,D,21,175.0,87,M,888605,EUR,943488000,D,29,29,False,34.0,21.0,7.0,1.0,0.0,10.0,13.0,11.0,23.0,,5.0,1.0,4.0,,,,,90.0,59.0,6.4,23.0,0.00614761,0,,2.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12421206,home,RC Sporting Charleroi,Cheick Keita,Cheick Keita,,cheick-keita,C. Keita,D,95,185.0,229,M,1407973,EUR,1049241600,D,95,95,False,23.0,17.0,8.0,3.0,0.0,16.0,19.0,1.0,4.0,,1.0,4.0,5.0,,,,,75.0,31.0,5.8,8.0,0.00036064,0,,,3.0,1.0,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
12421206,home,RC Sporting Charleroi,Aiham Ousou,,,aiham-ousou,A. Ousou,D,4,186.0,1246,M,965265,EUR,947376000,D,4,4,False,37.0,25.0,6.0,1.0,0.0,20.0,26.0,5.0,11.0,3.0,6.0,6.0,5.0,,,,,90.0,53.0,6.9,13.0,0.00223384,0,,,4.0,,,2.0,2.0,1.0,1.0,,4.0,1.0,,,,,,,,,,,,,,,,,,
12421206,home,RC Sporting Charleroi,Vetle Winger Dragsnes,,,vetle-winger-dragsnes,V. W. Dragsnes,D,20,187.0,53,M,548640,EUR,760492800,D,15,15,False,48.0,32.0,10.0,2.0,0.0,14.0,24.0,18.0,24.0,3.0,10.0,9.0,6.0,,,,,90.0,85.0,7.5,25.0,0.0532039,1,,,2.0,1.0,3.0,3.0,2.0,,1.0,1.0,,,3.0,1.0,0.0916,0.5078,1.0,,,,,,,,,,,,,
12421206,home,RC Sporting Charleroi,Yassine Titraoui,Yacine Titraoui,,yassine-titraoui,Y. Titraoui,M,22,170.0,2454,M,1094538,EUR,1059177600,M,22,22,False,45.0,35.0,3.0,2.0,0.0,17.0,20.0,18.0,26.0,1.0,3.0,1.0,8.0,,,,,90.0,55.0,6.4,13.0,0.0212788,1,,1.0,10.0,3.0,1.0,2.0,2.0,,,1.0,4.0,,,,0.0782,,,1.0,1.0,1.0,,,,,,,,,,
12421206,home,RC Sporting Charleroi,Adem Zorgane,,,adem-zorgane,A. Zorgane,M,8,184.0,6525,M,1000472,EUR,947116800,M,6,6,False,72.0,53.0,16.0,12.0,0.0,19.0,25.0,34.0,49.0,2.0,10.0,2.0,14.0,,,,,90.0,92.0,7.4,26.0,0.0552556,0,,2.0,7.0,6.0,1.0,6.0,4.0,3.0,1.0,,1.0,,1.0,,,,1.0,,,,AdemZorgane,True,,,,,,,,
12421206,home,RC Sporting Charleroi,Isaac Mbenza,,,isaac-mbenza,I. Mbenza,F,7,188.0,141,M,789000,EUR,826243200,M,7,7,False,13.0,7.0,,,1.0,,2.0,11.0,16.0,,1.0,1.0,1.0,,,,,70.0,25.0,7.3,10.0,0.249642,1,,5.0,,,,1.0,1.0,2.0,,,,,,,0.0705,,2.0,,,,,,4.0,2.0,1.0,2.0,,,,
12421206,home,RC Sporting Charleroi,Daan Heymans,,,heymans-daan,D. Heymans,M,38,186.0,544,M,845344,EUR,929404800,M,18,18,False,52.0,42.0,2.0,2.0,0.0,12.0,15.0,30.0,37.0,9.0,12.0,6.0,6.0,,,,,90.0,66.0,7.2,10.0,0.0593597,2,,,9.0,,,3.0,1.0,,,1.0,8.0,,,,0.2081,,1.0,,,,,,,,2.0,,1.0,,,
12421206,home,RC Sporting Charleroi,Parfait Guiagon,,,parfait-guiagon,P. Guiagon,M,10,169.0,1096,M,1030459,EUR,982800000,M,10,10,False,28.0,21.0,1.0,1.0,0.0,9.0,12.0,12.0,16.0,1.0,3.0,1.0,6.0,,,,,77.0,45.0,7.0,17.0,0.0518688,1,,,7.0,1.0,5.0,,,4.0,,,2.0,,2.0,1.0,0.1502,0.5984,1.0,1.0,,,,,,,,1.0,,1.0,,
