match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wasFouled,stat_fouls,stat_totalContest,stat_wonContest,stat_keyPass,stat_blockedScoringAttempt,stat_expectedGoals,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_interceptionWon,stat_wonTackle,captain,stat_dispossessed,stat_shotOffTarget,stat_aerialWon,stat_unsuccessfulTouch,stat_penaltyConceded,stat_errorLeadToAShot,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_punches,stat_bigChanceMissed,stat_bigChanceCreated,stat_goals
12514014,home,FC Arouca,Nico Mantl,,,nico-mantl,N. Mantl,G,58,193,162,M,888592,EUR,949795200,G,58,58,False,36.0,30.0,11.0,6.0,0.0,28.0,31.0,2.0,5.0,2.0,15.0,2.0,1.0,4.0,90.0,48.0,7.2,6.0,0.00052491,0,0.1698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514014,home,FC Arouca,Jose Fontán,,,jose-fontan,J. Fontán,D,3,182,67,M,964609,EUR,950227200,D,3,3,False,34.0,29.0,11.0,7.0,0.0,25.0,28.0,4.0,6.0,2.0,1.0,,,,86.0,41.0,6.0,5.0,0.00351664,0,,6.0,2.0,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
12514014,home,FC Arouca,Chico Lamba,,,lamba-chico,C. Lamba,D,15,187,378,M,1153110,EUR,1047254400,D,73,73,False,42.0,38.0,3.0,1.0,0.0,34.0,37.0,4.0,5.0,5.0,1.0,,,,90.0,56.0,6.8,4.0,0.0212221,0,,1.0,3.0,1.0,3.0,1.0,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12514014,home,FC Arouca,Mamadou Loum,,,mamadou-loum,M. Loum,M,21,193,531,M,796059,EUR,851904000,D,31,31,False,34.0,32.0,1.0,,0.0,31.0,32.0,1.0,2.0,4.0,2.0,,,,90.0,44.0,6.1,3.0,0.00102419,1,,3.0,,1.0,1.0,,,2.0,,,,1.0,0.0187,,,,,,,,,,,,,,,,,,,,
12514014,home,FC Arouca,Tiago Esgaio,,,tiago-esgaio,T. Esgaio,D,28,175,68,M,863637,EUR,807235200,M,28,28,False,16.0,10.0,3.0,1.0,0.0,8.0,11.0,3.0,6.0,3.0,3.0,,,,90.0,32.0,6.5,8.0,0.0540772,0,,4.0,1.0,1.0,,1.0,,1.0,,,1.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
12514014,home,FC Arouca,David Simão,,,david-simao,D. Simão,M,8,183,75,M,54672,EUR,642729600,M,5,5,False,36.0,33.0,6.0,5.0,0.0,24.0,26.0,9.0,10.0,1.0,5.0,,,,86.0,45.0,6.9,4.0,0.143264,1,,7.0,2.0,3.0,2.0,,,3.0,2.0,2.0,2.0,,0.0183,,,,,,True,1.0,1.0,,,,,,,,,,,,
12514014,home,FC Arouca,Taichi Fukui,,,taichi-fukui,T. Fukui,M,21,177,1092,M,1105857,EUR,1089849600,M,21,21,False,51.0,40.0,3.0,,0.0,33.0,36.0,7.0,15.0,4.0,1.0,,,,90.0,65.0,6.3,14.0,0.00566339,0,,2.0,4.0,2.0,2.0,1.0,2.0,1.0,,,1.0,,,,,,1.0,,,,,1.0,3.0,1.0,,,,,,,,,
12514014,home,FC Arouca,Amadou Dante,,,amadou-dante,A. Dante,D,44,179,1391,M,982610,EUR,970876800,M,27,27,False,10.0,8.0,1.0,1.0,0.0,8.0,10.0,,,,1.0,,,,74.0,18.0,6.3,2.0,7.126e-05,0,,2.0,2.0,2.0,1.0,2.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,
12514014,home,FC Arouca,Jason,,,jason,Jason,M,23,179,253,M,330677,EUR,773452800,F,10,10,False,20.0,14.0,1.0,,0.0,10.0,11.0,4.0,12.0,,3.0,,,,90.0,37.0,6.5,16.0,0.0261172,1,,6.0,5.0,3.0,,1.0,3.0,,2.0,,1.0,,0.0764,3.0,,,1.0,1.0,,1.0,1.0,1.0,4.0,,,1.0,,,,,,,
12514014,home,FC Arouca,Vladislav Morozov,,,vladislav-morozov,V. Morozov,F,18,188,174,M,1009460,EUR,971308800,F,9,9,False,9.0,4.0,2.0,1.0,0.0,4.0,6.0,,3.0,,1.0,,,,45.0,14.0,6.7,7.0,9.548e-05,0,,2.0,4.0,,,1.0,,,1.0,1.0,,,,,,1.0,,1.0,,1.0,,2.0,1.0,,,1.0,,,,,,,
