match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,stat_totalContest,stat_aerialLost,stat_outfielderBlock,stat_wonContest,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_penaltyWon,captain,player_sofascoreId,stat_goals,stat_totalOffside,stat_penaltyFaced,stat_punches,stat_penaltyConceded,stat_goalAssist
11369942,home,Club Brugge KV,Simon Mignolet,simon-mignolet,S. Mignolet,G,22,193,1240,M,10406,EUR,573609600,G,22,22,False,31.0,22.0,19.0,10.0,15.0,18.0,7.0,13.0,1.0,10.0,1.0,1.0,2.0,1.0,1.0,90.0,41.0,7.0,9.0,0.00229211,0,-0.0871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369942,home,Club Brugge KV,Maxim De Cuyper,maxim-de-cuyper,M. De Cuyper,D,29,183,4477,M,997152,EUR,977443200,D,55,55,False,65.0,50.0,6.0,2.0,26.0,27.0,25.0,43.0,2.0,5.0,,,,,,90.0,97.0,7.6,21.0,0.332734,2,,5.0,1.0,3.0,3.0,7.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.1055,0.1966,1.0,,,,,,,,,,,,,,,,,,,,
11369942,home,Club Brugge KV,Jorne Spileers,jorne-spileers,J. Spileers,D,58,188,885,M,1104897,EUR,1106265600,D,58,58,False,56.0,53.0,8.0,5.0,40.0,41.0,13.0,15.0,6.0,6.0,,,,,,76.0,68.0,6.8,4.0,0.00409731,0,,,,,1.0,,,,,,3.0,,,,,,,Jorne,Spileers,1.0,,,,,,,,,,,,,,,,,
11369942,home,Club Brugge KV,Brandon Mechele,brandon-mechele,B. Mechele,D,44,188,823,M,248331,EUR,728179200,D,44,44,False,81.0,64.0,15.0,6.0,44.0,52.0,20.0,29.0,6.0,5.0,,,,,,90.0,95.0,6.9,18.0,0.00835684,0,,,,3.0,6.0,7.0,2.0,,,,,4.0,3.0,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,
11369942,home,Club Brugge KV,Bjorn Meijer,bjorn-meijer,B. Meijer,D,14,190,695,M,1047509,EUR,1047945600,D,14,14,False,29.0,20.0,4.0,1.0,5.0,9.0,17.0,22.0,1.0,,,,,,,68.0,47.0,6.8,12.0,0.154172,0,,2.0,2.0,1.0,2.0,2.0,,,,,1.0,,,,,,3.0,Bjorn Meijer,,2.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,
11369942,home,Club Brugge KV,Hugo Vetlesen,hugo-vetlesen,H. Vetlesen,M,10,174,784,M,877236,EUR,951696000,M,10,10,False,36.0,30.0,3.0,2.0,14.0,16.0,16.0,20.0,2.0,9.0,,,,,,90.0,54.0,7.1,11.0,0.0233663,1,,,,,4.0,6.0,,,,,,1.0,1.0,3.0,0.1897,,,,,2.0,,,2.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,
11369942,home,Club Brugge KV,Raphael Onyedika,raphael-onyedika,R. Onyedika,M,15,184,6213,M,1129862,EUR,987638400,M,15,15,False,41.0,34.0,4.0,2.0,19.0,22.0,15.0,19.0,1.0,7.0,,,,,,85.0,49.0,6.6,9.0,0.0102272,0,,,,,6.0,5.0,1.0,,,,,3.0,1.0,1.0,,,,,,2.0,1.0,,1.0,1.0,3.0,,,,,,,,,,,,
11369942,home,Club Brugge KV,Andreas Skov Olsen,andreas-skov-olsen,A. Skov Olsen,M,7,187,2523,M,888537,EUR,946425600,M,7,7,False,35.0,27.0,1.0,1.0,9.0,10.0,18.0,27.0,1.0,8.0,,,,,,85.0,52.0,7.5,14.0,0.2009,1,,2.0,,,2.0,5.0,,1.0,1.0,,1.0,2.0,1.0,,0.0602,,2.0,,,5.0,,,3.0,2.0,,,,,,,,,,,,,
11369942,home,Club Brugge KV,Hans Vanaken,hans-vanaken,H. Vanaken,M,20,194,2941,M,118085,EUR,714614400,M,20,20,False,53.0,40.0,5.0,5.0,26.0,27.0,14.0,26.0,,6.0,,,,,,90.0,66.0,7.3,15.0,0.0282143,2,,,,5.0,5.0,10.0,,,,,,3.0,2.0,1.0,0.1384,,,,,2.0,3.0,,1.0,,,1.0,,2.0,,True,,,,,,,
11369942,home,Club Brugge KV,Antonio Nusa,nusa-antonio,A. Nusa,M,7,180,11508,M,1121923,EUR,1113696000,M,32,32,False,26.0,19.0,,,5.0,9.0,14.0,19.0,,10.0,,,,,,90.0,61.0,7.2,24.0,0.0719379,0,,2.0,,,9.0,14.0,,,,,1.0,4.0,3.0,3.0,,,1.0,,,12.0,2.0,,7.0,3.0,1.0,1.0,,,,,nusaantonio,,,,,,
