match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_keyPass,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_penaltyWon,player_sofascoreId,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_totalOffside,stat_expectedGoalsOnTarget,player_lastName,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_penaltyMiss
12437824,home,Girona FC,Paulo Gazzaniga,paulo-gazzaniga,P. Gazzaniga,G,13,196,1913,M,164343,EUR,694310400,G,13,13,False,24.0,15.0,10.0,1.0,0.0,15.0,17.0,7.0,1.0,10.0,2.0,2.0,2.0,3.0,1.0,1.0,90.0,37.0,8.1,9.0,9.138e-05,0,1.4162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437824,home,Girona FC,Arnau Martínez,arnau-martinez,A. Martínez,D,4,181,1573,M,1084081,EUR,1051228800,D,4,4,False,77.0,74.0,2.0,2.0,1.0,47.0,47.0,34.0,1.0,7.0,,,,,,,89.0,95.0,6.7,9.0,0.0217184,0,,Arnau Martinez,True,27.0,4.0,2.0,2.0,6.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12437824,home,Girona FC,David López,david-lopez,D. López,D,5,185,551,M,135116,EUR,623894400,D,5,5,False,94.0,79.0,12.0,5.0,0.0,57.0,61.0,33.0,2.0,4.0,,,,,,,90.0,105.0,7.2,16.0,0.0294137,1,,,,22.0,,1.0,6.0,3.0,9.0,,1.0,1.0,,,,2.0,1.0,1.0,3.0,1.0,2.0,0.0654,,,,,,,,,,,,,,,,
12437824,home,Girona FC,Ladislav Krejčí,ladislav-krejci,L. Krejčí,D,37,191,2172,M,856250,EUR,924566400,D,18,18,False,80.0,71.0,6.0,2.0,0.0,52.0,58.0,23.0,1.0,7.0,,,,,,,90.0,91.0,7.3,10.0,0.0105517,1,,,,19.0,1.0,1.0,3.0,3.0,7.0,,2.0,,,2.0,,,1.0,1.0,,,2.0,0.2437,1.0,,,,,,,,,,,,,,,
12437824,home,Girona FC,Miguel Gutiérrez,miguel-gutierrez,M. Gutiérrez,D,3,180,4281,M,908716,EUR,996192000,D,3,3,False,46.0,43.0,3.0,2.0,0.0,19.0,20.0,31.0,,5.0,,,,,,,90.0,66.0,7.7,7.0,0.381372,1,,,,28.0,5.0,1.0,1.0,4.0,7.0,1.0,2.0,2.0,,,4.0,2.0,,,1.0,2.0,2.0,0.1169,,MGutiérrez,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.1811,,,,,,
12437824,home,Girona FC,Iván Martín,ivan-martin,I. Martín,M,23,178,895,M,973699,EUR,918950400,M,23,23,False,71.0,68.0,4.0,3.0,0.0,37.0,38.0,33.0,1.0,7.0,,,,,,,89.0,85.0,6.9,6.0,0.0330332,0,,,,31.0,,,,7.0,3.0,1.0,2.0,1.0,,1.0,1.0,4.0,,,2.0,1.0,,,,,,2.0,1.0,,,,,,,,,,,
12437824,home,Girona FC,Yangel Herrera,yangel-herrera,Y. Herrera,M,12,184,4247,M,839585,EUR,884131200,M,21,21,False,56.0,48.0,6.0,4.0,0.0,30.0,32.0,24.0,3.0,2.0,,,,,,,90.0,82.0,7.5,14.0,0.0179304,3,,,,18.0,,2.0,3.0,10.0,16.0,2.0,6.0,1.0,,4.0,,1.0,2.0,,,3.0,4.0,0.1779,,YangelHerrera8,,4.0,3.0,,1.0,,,0.0707,,,,,,
12437824,home,Girona FC,Yáser Asprilla,yaser-asprilla,Y. Asprilla,M,22,176,9605,M,1092769,EUR,1069200000,M,10,10,False,57.0,43.0,4.0,2.0,0.0,5.0,9.0,56.0,2.0,2.0,,,,,,,89.0,87.0,8.4,26.0,0.806084,3,,Yaser Asprilla,,42.0,8.0,,1.0,5.0,5.0,2.0,3.0,3.0,,,4.0,1.0,,,2.0,2.0,,0.0678,,yaser_asprilla_10,4.0,3.0,1.0,1.0,1.0,,,0.0511,,2.0,1.0,,,
12437824,home,Girona FC,Donny van de Beek,donny-van-de-beek,D. v. d. Beek,M,6,183,7962,M,361790,EUR,861321600,M,6,6,False,38.0,32.0,2.0,2.0,0.0,12.0,13.0,27.0,1.0,3.0,,,,,,,90.0,49.0,6.8,12.0,0.626731,1,,,,20.0,2.0,,,3.0,2.0,3.0,2.0,1.0,,,1.0,,,,,,,0.0989,,donnyvdbeek,,,,,,,,,,1.0,,,,
12437824,home,Girona FC,Arnaut Danjuma,arnaut-danjuma,A. Danjuma,F,7,178,3536,M,827064,EUR,854668800,M,11,11,False,13.0,11.0,,,0.0,2.0,2.0,13.0,,,,,,,,,59.0,26.0,5.9,10.0,0.0698239,2,,,,10.0,2.0,,,4.0,1.0,1.0,,4.0,1.0,1.0,1.0,,1.0,,,,1.0,0.3182,,,1.0,2.0,,,1.0,,1.0,0.2554,,,,1.0,,
