match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_wonContest,stat_aerialWon,captain,stat_accurateCross,stat_shotOffTarget,stat_wasFouled,stat_expectedGoals,stat_shotValueNormalized,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_blockedScoringAttempt,stat_totalOffside,stat_hitWoodwork
14065114,home,RB Leipzig,Péter Gulácsi,peter-gulacsi,P. Gulácsi,G,1,190,2361,M,37096,EUR,641952000,G,1,1,False,26.0,17.0,9.0,0.0,17.0,17.0,9.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,90.0,36.0,6.7,9.0,3.018e-05,0.2999,0,-0.1858,0.01,0.0,0.25,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065114,home,RB Leipzig,Ridle Baku,ridle-baku,R. Baku,M,17,176,1448,M,856553,EUR,891993600,D,17,17,False,61.0,52.0,7.0,0.0,26.0,30.0,31.0,1.0,10.0,2.0,6.0,,,,90.0,92.0,6.3,16.0,0.074301,,0,,0.28,0.13,-0.4,,,,5.0,26.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
14065114,home,RB Leipzig,Willi Orbán,willi-orban,W. Orbán,D,4,186,3115,M,136924,EUR,720748800,D,4,4,False,69.0,64.0,2.0,0.0,36.0,40.0,29.0,1.0,1.0,13.0,1.0,,,,90.0,87.0,6.9,6.0,0.00818855,,0,,0.0,0.15,0.33,,,,1.0,28.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
14065114,home,RB Leipzig,Castello Lukeba,castello-lukeba,C. Lukeba,D,23,184,2734,M,976421,EUR,1040083200,D,23,23,False,81.0,72.0,8.0,0.0,42.0,43.0,38.0,1.0,1.0,11.0,8.0,,,,90.0,99.0,7.0,9.0,0.0144008,,0,,0.11,0.2,0.18,,,,2.0,30.0,,3.0,,,,,3.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,
14065114,home,RB Leipzig,David Raum,david-raum,D. Raum,D,22,180,2192,M,856076,EUR,893203200,D,22,22,False,65.0,56.0,4.0,0.0,30.0,33.0,32.0,2.0,7.0,5.0,2.0,,,,90.0,97.0,7.0,15.0,0.120674,,1,,0.37,-0.08,0.23,,,,3.0,26.0,3.0,3.0,1.0,,,1.0,3.0,1.0,1.0,,,4.0,1.0,,1.0,True,1.0,1.0,1.0,0.0429,0.0,,,,,,,,,
14065114,home,RB Leipzig,Assan Ouédraogo,assan-ouedraogo,A. Ouédraogo,M,20,192,7677,M,1418623,EUR,1147132800,M,20,20,False,23.0,17.0,3.0,0.0,7.0,7.0,16.0,,1.0,1.0,3.0,,,,61.0,28.0,6.8,7.0,0.130453,,0,,0.21,0.15,-0.04,,Assan Ouédraogo,,1.0,10.0,,3.0,,1.0,1.0,,,1.0,1.0,,,,2.0,1.0,,,,,1.0,,,1.0,,,,,,,,
14065114,home,RB Leipzig,Nicolas Seiwald,seiwald-nicolas,N. Seiwald,M,13,179,1528,M,976575,EUR,988934400,M,13,13,False,43.0,37.0,2.0,0.0,13.0,17.0,26.0,,1.0,3.0,2.0,,,,90.0,61.0,7.0,7.0,0.0224514,,0,,0.14,0.16,0.26,,,,,24.0,,3.0,,,,1.0,7.0,2.0,2.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,
14065114,home,RB Leipzig,Christoph Baumgartner,christoph-baumgartner,C. Baumgartner,M,14,180,2738,M,825956,EUR,933465600,M,14,14,False,14.0,11.0,2.0,0.0,6.0,8.0,6.0,1.0,5.0,,1.0,,,,78.0,25.0,8.7,6.0,0.26314,,3,,0.28,0.29,-0.06,,,,1.0,5.0,,3.0,,,2.0,,,,,,,2.0,1.0,,1.0,,,,2.0,0.6914,0.8,,1.0,3.0,2.0,1.1465,,,,
14065114,home,RB Leipzig,Johan Bakayoko,johan-bakayoko,J. Bakayoko,F,9,179,6820,M,1088896,EUR,1050796800,F,9,9,False,20.0,18.0,,0.0,5.0,5.0,15.0,,1.0,,,,,,61.0,24.0,6.5,5.0,0.0374124,,0,,-0.13,0.15,0.0,,Johan Bakayoko,,,13.0,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,johanbakayoko,,,
14065114,home,RB Leipzig,Rômulo,romulo,Rômulo,F,40,193,3725,M,1133743,EUR,1013126400,F,40,40,False,23.0,14.0,4.0,1.0,4.0,7.0,16.0,3.0,6.0,1.0,3.0,,,,89.0,30.0,6.5,11.0,0.0324738,,1,,-0.19,-0.41,-0.04,,Rômulo,,2.0,10.0,,6.0,1.0,1.0,1.0,,,2.0,1.0,,,,1.0,,3.0,,,1.0,1.0,0.0843,-0.23,1.0,,,,,,,,
