match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_accurateCross,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_errorLeadToAGoal,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,captain,stat_totalContest,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_challengeLost,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine
14053682,home,SC Telstar,Ronald Koeman Jr,ronald-koeman-jr,R. K. Jr,G,1,180.0,144,M,268701,EUR,801187200,G,1,1,False,35.0,27.0,16.0,8.0,0.0,21.0,22.0,6.0,13.0,10.0,3.0,3.0,90.0,40.0,6.1,8.0,0.00367653,83.432633343336,12.0,32.34,8.715,0.0699,0,-1.2807,0.12,0.0,-0.25,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053682,home,SC Telstar,Devon Koswal,devon-koswal,D. Koswal,D,21,180.0,64,M,1068610,EUR,1061337600,D,21,21,False,40.0,32.0,5.0,,0.0,17.0,20.0,15.0,20.0,4.0,,,90.0,53.0,6.1,12.0,0.0109621,103.00297657163,13.0,66.045,19.53,,0,,0.1,0.06,-0.39,,Dewon Koswal,,2.0,1.0,1.0,4.0,5.0,3.0,2.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14053682,home,SC Telstar,Guus Offerhaus,guus-offerhaus,G. Offerhaus,M,4,185.0,43,M,1047396,EUR,978480000,D,4,4,False,51.0,46.0,4.0,2.0,0.0,22.0,25.0,24.0,26.0,7.0,,,90.0,66.0,6.7,10.0,0.167797,266.52368139031,24.0,71.295,13.755,,1,,0.37,0.13,-0.24,,,,4.0,3.0,2.0,5.0,4.0,2.0,2.0,1.0,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0211,2.0,-0.11,,,,,,,,,,,,,,,,,
14053682,home,SC Telstar,Danny Bakker,danny-bakker,D. Bakker,D,6,178.0,77,M,302690,EUR,790214400,D,6,6,False,80.0,73.0,6.0,5.0,0.0,39.0,42.0,34.0,38.0,7.0,,,90.0,90.0,6.7,10.0,0.0434394,233.18992254831,29.0,57.225,23.415,,3,,0.4,0.12,-0.54,,,,,4.0,5.0,5.0,6.0,,,,1.0,1.0,,,,1.0,,,,0.3489,,-0.31,True,1.0,2.0,2.0,24.580736868532,1.0,,,,,,,,,,,
14053682,home,SC Telstar,Tyrese Noslin,noslin-tyrese,T. Noslin,M,11,182.0,127,M,1469336,EUR,1031702400,M,11,11,False,31.0,21.0,5.0,1.0,0.0,4.0,7.0,17.0,24.0,5.0,,,87.0,62.0,6.8,18.0,0.0261384,110.94482846358,13.0,67.2,35.28,,1,,0.18,0.07,-0.07,,Tyrese Noslin,,2.0,,,5.0,7.0,1.0,4.0,4.0,2.0,2.0,1.0,,1.0,1.0,,,,0.0223,,-0.11,,3.0,,,40.847053722179,2.0,1.0,1.0,,,,,,,,,
14053682,home,SC Telstar,Nils Rossen,nils-rossen,N. Rossen,M,17,181.0,81,M,1150154,EUR,1122854400,M,17,17,False,42.0,36.0,6.0,3.0,0.0,16.0,17.0,20.0,25.0,5.0,,,76.0,48.0,6.8,7.0,0.0253243,128.65546328,14.0,38.64,12.075,,0,,0.1,0.13,0.19,,Nils,Rossen,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14053682,home,SC Telstar,Tyrone Owusu,tyrone-owusu,T. Owusu,M,8,181.0,213,M,1084609,EUR,920592000,M,8,8,False,49.0,43.0,4.0,1.0,0.0,16.0,16.0,27.0,33.0,2.0,,,90.0,69.0,6.8,12.0,0.0916593,111.62733286944,15.0,36.33,16.59,,0,,0.07,0.13,-0.19,,Tyrone Owusu,,1.0,,2.0,3.0,9.0,,1.0,1.0,3.0,2.0,1.0,,2.0,,,1.0,,,2.0,,,4.0,,,9.68423068705,1.0,,4.0,1.0,,,,,,,,
14053682,home,SC Telstar,Jeff Hardeveld,jeff-hardeveld,J. Hardeveld,M,2,184.0,72,M,385300,EUR,793843200,M,2,2,False,52.0,38.0,8.0,5.0,1.0,13.0,16.0,25.0,36.0,4.0,,,90.0,81.0,7.6,25.0,0.470009,61.385449329019,9.0,35.385,11.97,,0,,0.57,0.09,-0.19,,,,14.0,,3.0,2.0,5.0,2.0,1.0,,1.0,1.0,2.0,6.0,,,,,,,4.0,,,,,,,,,,2.0,,,,,,,,
14053682,home,SC Telstar,Jochem Ritmeester van de Kamp,jochem-ritmeester-van-de-kamp,J. R. v. d. Kamp,M,39,177.0,173,M,1157777,EUR,1067731200,F,39,39,False,17.0,14.0,,,0.0,2.0,3.0,12.0,14.0,,,,62.0,31.0,7.6,6.0,0.0191281,37.080738918652,6.0,-15.435,5.775,,2,,-0.03,0.15,0.18,,Jochem van de Kamp,,,,2.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,4.0,,,,,1.0,,0.2218,,0.51,,,,,5.823240420934,1.0,,,,2.0,1.0,1.0205,,,,,
14053682,home,SC Telstar,Patrick Brouwer,patrick-brouwer,P. Brouwer,F,27,176.0,92,M,1066319,EUR,984960000,F,27,27,False,29.0,25.0,,,0.0,7.0,7.0,18.0,22.0,1.0,,,87.0,42.0,7.1,10.0,0.273307,51.171388227837,6.0,23.415,21.21,,0,,0.32,-0.13,0.18,,,,,,1.0,2.0,6.0,,1.0,1.0,4.0,3.0,,,,,,,,,3.0,,,3.0,,,21.2535573493,1.0,,1.0,,,,,,,,,
14053682,home,SC Telstar,Soufiane Hetli,soufiane-hetli,S. Hetli,F,7,186.0,108,M,1548838,EUR,991180800,F,7,7,False,19.0,16.0,1.0,1.0,0.0,1.0,1.0,15.0,18.0,3.0,,,76.0,34.0,6.5,7.0,0.041806,190.85553315505,15.0,33.075,29.085,,2,,0.04,-0.17,0.0,,Soufiane Hetli,,1.0,,,3.0,4.0,,1.0,1.0,1.0,2.0,1.0,,,2.0,,1.0,,0.0981,1.0,-0.34,,3.0,,,48.350857635919,2.0,,1.0,,,,,2.0,,,,
