match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_penaltyConceded,captain,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalOffside,stat_unsuccessfulTouch,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_accurateCross,stat_bigChanceCreated,stat_outfielderBlock,stat_goals,stat_penaltyWon
11453089,home,Al-Fateh,Jacob Rinne,,,jacob-rinne,J. Rinne,G,35,188.0,92,M,289025,EUR,740534400,G,1,1,False,14.0,10.0,6.0,2.0,9.0,10.0,1.0,4.0,1.0,9.0,1.0,4.0,1.0,7.0,1.0,90.0,28.0,8.4,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453089,home,Al-Fateh,Saeed Baattia,Saeed Baattia,,saeed-baattia,S. Baattia,D,15,172.0,25,M,1521953,EUR,969667200,D,12,12,False,33.0,29.0,1.0,,13.0,17.0,16.0,18.0,,12.0,,,,,,63.0,45.0,6.6,9.0,0,2.0,1.0,6.0,6.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
11453089,home,Al-Fateh,Jason Denayer,,,jason-denayer,J. Denayer,D,,184.0,657,M,352664,EUR,804297600,D,64,64,False,51.0,49.0,1.0,1.0,25.0,26.0,24.0,25.0,5.0,3.0,,,,,,90.0,58.0,6.4,2.0,1,,4.0,5.0,4.0,1.0,,,,,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,
11453089,home,Al-Fateh,Marwane Saadane,,,marwane-saadane,M. Saadane,D,17,185.0,1277,M,847714,EUR,695606400,D,17,17,False,79.0,68.0,13.0,6.0,23.0,25.0,45.0,55.0,2.0,7.0,,,,,,90.0,92.0,7.3,14.0,3,1.0,2.0,2.0,5.0,1.0,,3.0,2.0,,,,1.0,2.0,,True,1.0,1.0,1.0,1.0,,,,,,,,,
11453089,home,Al-Fateh,Tawfiq Buhumaid,,,tawfiq-buhumaid,T. Buhumaid,D,25,179.0,6,M,871425,EUR,562464000,D,25,25,False,17.0,14.0,1.0,1.0,4.0,5.0,10.0,14.0,,4.0,,,,,,45.0,28.0,6.7,7.0,0,2.0,1.0,2.0,1.0,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,
11453089,home,Al-Fateh,Sofiane Bendebka,,,sofiane-bendebka,S. Bendebka,M,28,180.0,1218,M,845609,EUR,713318400,M,28,28,False,26.0,16.0,4.0,,7.0,8.0,9.0,18.0,,4.0,,,,,,88.0,37.0,6.6,14.0,1,,1.0,6.0,4.0,,3.0,1.0,1.0,,4.0,1.0,1.0,1.0,,,,,,2.0,2.0,1.0,2.0,,,,,,
11453089,home,Al-Fateh,Mukhtar Ali,,,ali-mukhtar,A. Mukhtar,M,7,185.0,334,M,788258,EUR,878169600,M,7,7,False,65.0,59.0,5.0,4.0,21.0,21.0,38.0,45.0,,7.0,,,,,,90.0,78.0,7.3,11.0,2,1.0,,4.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,,,,,,1.0,,,2.0,1.0,,1.0,,,,,
11453089,home,Al-Fateh,Lucas Zelarayán,Lucas,Zelarayán,lucas-zelarayan,L. Zelarayán,M,10,172.0,1289,M,249061,EUR,708998400,M,10,10,False,55.0,41.0,4.0,3.0,11.0,11.0,32.0,50.0,1.0,5.0,,,,,,90.0,82.0,7.7,27.0,3,6.0,,8.0,6.0,,7.0,,,3.0,,4.0,,,,,,1.0,,,1.0,4.0,3.0,2.0,2.0,,,,
11453089,home,Al-Fateh,Mourad Batna,,,batna-mourad,M. Batna,M,11,185.0,1192,M,880790,EUR,646444800,F,11,11,False,7.0,5.0,1.0,,,1.0,7.0,11.0,,2.0,,,,,,57.0,31.0,7.5,13.0,6,5.0,,3.0,2.0,,2.0,,,2.0,2.0,1.0,,1.0,,,,2.0,,2.0,4.0,,,3.0,2.0,1.0,,,
11453089,home,Al-Fateh,Abdullah Almogren,,,abdullah-almogren,A. Almogren,F,14,173.0,18,M,948593,EUR,848966400,F,20,20,False,8.0,7.0,,,2.0,2.0,5.0,6.0,,1.0,,,,,,90.0,18.0,6.9,3.0,0,,1.0,3.0,6.0,1.0,1.0,2.0,1.0,3.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,
