match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_totalClearance,stat_unsuccessfulTouch,stat_wasFouled,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_penaltyConceded,stat_fouls,stat_bigChanceMissed,stat_blockedScoringAttempt,player_sofascoreId,stat_goalAssist,stat_goals,captain,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine,stat_outfielderBlock,stat_penaltyWon
11401876,home,PSV Eindhoven,Walter Benítez,,,walter-benitez,W. Benítez,G,44,193.0,4345,M,249859,EUR,727401600,G,1,1,False,24.0,23.0,3.0,2.0,21.0,22.0,2.0,2.0,9.0,1.0,90.0,27.0,6.6,1.0,0.0,0.0,0.00145618,0,-0.0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401876,home,PSV Eindhoven,Jordan Teze,,,jordan-teze,J. Teze,D,4,183.0,1080,M,825846,EUR,938649600,D,3,3,False,81.0,71.0,4.0,3.0,20.0,21.0,51.0,63.0,8.0,,90.0,105.0,7.6,17.0,0.0606,0.0,0.225391,1,,3.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401876,home,PSV Eindhoven,Armel Bella-Kotchap,,,armel-bella-kotchap,A. Bella-Kotchap,D,37,190.0,1090,M,976025,EUR,1008028800,D,6,6,False,102.0,92.0,8.0,2.0,34.0,34.0,58.0,69.0,5.0,,86.0,111.0,6.8,13.0,0.0,0.0,0.0405154,0,,1.0,3.0,3.0,1.0,,,1.0,,,,,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11401876,home,PSV Eindhoven,Olivier Boscagli,,,boscagli-olivier,O. Boscagli,D,21,181.0,1043,M,788784,EUR,879811200,D,18,18,False,119.0,104.0,23.0,17.0,31.0,37.0,74.0,84.0,14.0,,90.0,136.0,8.3,17.0,0.0471,0.4529,0.17481,3,,2.0,4.0,6.0,2.0,2.0,1.0,2.0,,,,5.0,,4.0,3.0,,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11401876,home,PSV Eindhoven,Patrick van Aanholt,,,patrick-van-aanholt,P. v. Aanholt,D,14,175.0,555,M,74577,EUR,651888000,D,30,30,False,50.0,43.0,2.0,,10.0,11.0,35.0,43.0,7.0,,90.0,79.0,6.6,14.0,0.7435,1.1173,0.136282,4,,4.0,9.0,2.0,3.0,5.0,,,1.0,1.0,,2.0,1.0,,,,,2.0,,1.0,,3.0,,,1.0,2.0,1.0,,,,,,,,,,,,,
11401876,home,PSV Eindhoven,Joey Veerman,,,joey-veerman,J. Veerman,M,23,185.0,3780,M,850816,EUR,911433600,M,23,23,False,62.0,51.0,2.0,1.0,14.0,17.0,42.0,54.0,7.0,,90.0,81.0,7.9,17.0,0.066,0.0,0.414212,2,,9.0,7.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,,5.0,5.0,2.0,1.0,1.0,,5.0,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,
11401876,home,PSV Eindhoven,Johan Bakayoko,Johan Bakayoko,,johan-bakayoko,J. Bakayoko,F,9,179.0,6820,M,1088896,EUR,1050796800,M,11,11,False,59.0,51.0,2.0,1.0,6.0,8.0,47.0,55.0,3.0,,90.0,92.0,8.8,18.0,0.3148,0.1351,1.22476,5,,4.0,8.0,8.0,,6.0,2.0,,3.0,2.0,,6.0,,1.0,,2.0,1.0,2.0,2.0,3.0,2.0,3.0,,,3.0,,,johanbakayoko,1.0,,,,,,,,,,,
11401876,home,PSV Eindhoven,Malik Tillman,,,malik-tillman,M. Tillman,M,10,186.0,5864,M,975798,EUR,1022544000,M,10,10,False,52.0,39.0,1.0,,11.0,12.0,28.0,40.0,14.0,,90.0,90.0,8.8,25.0,0.1679,0.2622,0.99479,4,,,10.0,14.0,,7.0,1.0,1.0,7.0,2.0,,4.0,2.0,1.0,,4.0,3.0,,2.0,3.0,1.0,1.0,,,2.0,,2.0,MalikTillman8,1.0,1.0,,,,,,,,,,
11401876,home,PSV Eindhoven,Ismael Saibari,,,ismael-saibari,I. Saibari,M,34,185.0,23357,M,1063767,EUR,980640000,M,34,34,False,12.0,9.0,,,6.0,7.0,3.0,5.0,4.0,,45.0,24.0,6.7,8.0,0.5781,0.0,0.00868715,2,,,2.0,3.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,4.0,1.0,,,,,1.0,,,1.0,1.0,,ismaelsaibari,,,,,,,,,,,,
11401876,home,PSV Eindhoven,Noa Lang,,,noa-lang,N. Lang,F,77,173.0,15023,M,875136,EUR,929577600,M,7,7,False,47.0,36.0,6.0,6.0,5.0,5.0,31.0,43.0,2.0,,86.0,71.0,8.3,23.0,0.1534,0.3595,0.671494,2,,1.0,9.0,4.0,1.0,8.0,,,,,1.0,3.0,1.0,,,2.0,1.0,,1.0,3.0,2.0,2.0,,,1.0,,,noano,,1.0,,,,,,,,,,
