match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_wasFouled,stat_clearanceOffLine,stat_accurateCross,stat_wonContest,stat_fouls,stat_totalOffside,stat_blockedScoringAttempt,stat_bigChanceCreated,captain,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper
12421153,home,K. Beerschot V.A.,Nick Shinton,,,nick-shinton,N. Shinton,G,33,196,117,M,909962,EUR,989452800,G,33,33,False,36.0,29.0,10.0,3.0,0.0,28.0,30.0,1.0,6.0,1.0,7.0,1.0,1.0,1.0,90.0,42.0,7.1,7.0,0.00173635,0,0.0183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421153,home,K. Beerschot V.A.,Colin Dagba,,,dagba-colin,C. Dagba,D,2,168,498,M,941300,EUR,905299200,D,2,2,False,59.0,49.0,6.0,2.0,0.0,28.0,30.0,21.0,30.0,1.0,2.0,,,,70.0,87.0,7.4,15.0,0.0134309,2,,1.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,1.0,0.0231,0.0737,1.0,,,,,,,,,,,,,,
12421153,home,K. Beerschot V.A.,Apostolos Konstantopoulos,,,konstantopoulos-apostolos,A. Konstantopoulos,D,44,188,197,M,1033264,EUR,1028246400,D,66,66,False,93.0,85.0,12.0,6.0,0.0,64.0,66.0,21.0,27.0,9.0,6.0,,,,90.0,113.0,8.1,10.0,0.0152745,1,,,2.0,2.0,4.0,1.0,,,1.0,,4.0,1.0,1.0,1.0,0.0409,,2.0,1.0,1.0,1.0,,,,,,,,,,,
12421153,home,K. Beerschot V.A.,Loïc Mbe Soh,,,loic-mbe-soh,L. M. Soh,D,4,186,287,M,904992,EUR,992390400,D,5,5,False,82.0,77.0,8.0,4.0,0.0,57.0,58.0,20.0,24.0,7.0,4.0,,,,90.0,93.0,7.8,6.0,0.019407,0,,,2.0,5.0,2.0,,1.0,,,,,,,,,,,4.0,2.0,,1.0,,,,,,,,,,
12421153,home,K. Beerschot V.A.,Brian Plat,,,brian-plat,B. Plat,D,4,191,60,M,980673,EUR,954892800,D,4,4,False,57.0,48.0,5.0,1.0,0.0,35.0,39.0,15.0,22.0,5.0,6.0,,,,90.0,85.0,6.9,17.0,0.0587121,0,,4.0,1.0,4.0,3.0,1.0,2.0,1.0,,,,1.0,,2.0,,,,1.0,,,,2.0,1.0,,,,,,,,
12421153,home,K. Beerschot V.A.,Ewan Henderson,,,ewan-henderson,E. Henderson,M,20,186,63,M,862951,EUR,954115200,M,8,8,False,72.0,59.0,15.0,7.0,0.0,29.0,33.0,31.0,47.0,1.0,6.0,,,,90.0,95.0,7.2,23.0,0.116238,1,,8.0,2.0,4.0,5.0,,1.0,,,1.0,3.0,3.0,1.0,2.0,0.0522,0.299,2.0,2.0,,,,1.0,,1.0,1.0,,,,,,
12421153,home,K. Beerschot V.A.,Faisal Al-Ghamdi,Faisal,Al-Ghamdi,al-ghamdi-faisal,F. A. Ghamdi,M,16,185,953,M,966452,EUR,997660800,M,16,16,False,78.0,64.0,12.0,4.0,0.0,32.0,36.0,32.0,42.0,1.0,18.0,,,,90.0,98.0,7.4,17.0,0.0319456,4,,,1.0,8.0,8.0,,2.0,1.0,4.0,,4.0,6.0,3.0,,0.262,,1.0,5.0,,,,,1.0,1.0,,,,,,,
12421153,home,K. Beerschot V.A.,Marwan Alsahafi,,,alsahafi-marwan,M. Alsahafi,F,9,179,1131,M,1474689,EUR,1076976000,M,17,17,False,15.0,10.0,1.0,,0.0,2.0,2.0,8.0,13.0,,5.0,,,,90.0,25.0,7.0,9.0,0.0337214,3,,,,9.0,3.0,,1.0,5.0,,2.0,,,,1.0,0.2027,1.0575,1.0,5.0,,,,,3.0,1.0,1.0,1.0,,,,,
12421153,home,K. Beerschot V.A.,Tom Reyners,,,tom-reyners,T. Reyners,F,10,169,57,M,965779,EUR,956188800,M,7,7,False,29.0,23.0,1.0,1.0,0.0,7.0,8.0,16.0,21.0,,2.0,,,,70.0,39.0,7.4,11.0,0.376694,1,,,,3.0,2.0,,3.0,,1.0,,,1.0,1.0,2.0,0.0933,,2.0,,,1.0,,,,,,,2.0,,,,
12421153,home,K. Beerschot V.A.,Thibaud Verlinden,,,thibaud-verlinden,T. Verlinden,M,7,173,110,M,826172,EUR,931478400,M,10,10,False,37.0,28.0,3.0,1.0,0.0,7.0,7.0,21.0,41.0,1.0,3.0,,,,90.0,63.0,7.1,25.0,0.118209,3,,11.0,,4.0,1.0,,2.0,1.0,,2.0,,,,1.0,0.3407,0.634,3.0,2.0,1.0,,,,1.0,,,1.0,,True,1.0,,
