match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_sofascoreId,stat_aerialLost,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_interceptionWon,stat_keyPass,player_firstName,player_lastName,stat_accurateCross,stat_hitWoodwork,stat_errorLeadToAShot,captain,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_goals,stat_lastManTackle,stat_bigChanceCreated
12499286,home,Cagliari,Simone Scuffet,simone-scuffet,S. Scuffet,G,22,193,684,M,284349,EUR,833500800,G,22,22,False,27.0,20.0,12.0,6.0,0.0,18.0,21.0,2.0,6.0,1.0,7.0,1.0,1.0,1.0,90.0,33.0,5.2,7.0,0.00041259,0,-1.4426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499286,home,Cagliari,Gabriele Zappa,gabriele-zappa,G. Zappa,D,28,183,617,M,927304,EUR,945820800,D,28,28,False,51.0,40.0,8.0,3.0,0.0,24.0,28.0,16.0,24.0,,8.0,,,,90.0,67.0,6.4,15.0,0.128963,0,,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12499286,home,Cagliari,Yerry Mina,yerry-mina,Y. Mina,D,26,195,5988,M,360396,EUR,780278400,D,26,26,False,75.0,62.0,9.0,4.0,0.0,42.0,42.0,20.0,33.0,5.0,10.0,,,,90.0,104.0,7.1,15.0,0.00640716,4,,,9.0,10.0,20.0,2.0,1.0,1.0,7.0,1.0,,3.0,5.0,yerrymina,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.1699,0.0461,,,,,,,,,,,,,
12499286,home,Cagliari,Sebastiano Luperto,sebastiano-luperto,S. Luperto,D,6,191,784,M,352736,EUR,841968000,D,6,6,False,47.0,42.0,4.0,2.0,0.0,33.0,33.0,9.0,15.0,3.0,6.0,,,,90.0,57.0,6.6,6.0,0.0382496,1,,1.0,2.0,3.0,3.0,,,1.0,1.0,1.0,,,,,2.0,1.0,,,1.0,,,0.054,0.4345,2.0,1.0,,,,,,,,,,,
12499286,home,Cagliari,Paulo Azzi,paulo-azzi,P. Azzi,M,7,188,184,M,383314,EUR,774230400,M,37,37,False,21.0,15.0,1.0,,0.0,10.0,14.0,6.0,10.0,1.0,2.0,,,,59.0,36.0,6.8,11.0,0.0823366,2,,3.0,,4.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,0.0429,0.1583,1.0,1.0,,,1.0,,,,,,,,
12499286,home,Cagliari,Răzvan Marin,razvan-marin,R. Marin,M,18,178,3932,M,279563,EUR,832809600,M,18,18,False,38.0,28.0,7.0,2.0,0.0,16.0,18.0,15.0,24.0,,7.0,,,,77.0,47.0,7.0,12.0,0.157686,2,,4.0,1.0,2.0,3.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,,0.053,0.1469,,4.0,,,3.0,1.0,1.0,,,,,,
12499286,home,Cagliari,Alessandro Deiola,alessandro-deiola,A. Deiola,M,14,189,280,M,328109,EUR,807235200,M,14,14,False,22.0,13.0,4.0,1.0,0.0,6.0,8.0,7.0,14.0,1.0,3.0,,,,45.0,26.0,6.4,10.0,0.0196812,0,,,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,True,,,,,
12499286,home,Cagliari,Tommaso Augello,tommaso-augello,T. Augello,M,3,181,354,M,596736,EUR,778204800,M,3,3,False,34.0,29.0,1.0,,0.0,17.0,18.0,16.0,26.0,6.0,2.0,,,,90.0,65.0,6.8,17.0,0.38846,0,,10.0,3.0,4.0,6.0,1.0,,,3.0,2.0,3.0,,1.0,,,1.0,1.0,,,,,,,,1.0,,,4.0,,,,,,,,
12499286,home,Cagliari,Zito Luvumbo,zito-luvumbo,Z. Luvumbo,F,15,171,5304,M,1000150,EUR,1015632000,F,77,77,False,13.0,9.0,1.0,1.0,0.0,2.0,2.0,7.0,17.0,,2.0,,,,90.0,31.0,6.8,15.0,0.0505824,1,,6.0,,8.0,3.0,2.0,1.0,,,,1.0,2.0,4.0,LuvumboZito,,,3.0,1.0,,,,0.0724,,,2.0,,,,,,,,,,,
12499286,home,Cagliari,Gianluca Gaetano,gaetano-gianluca,G. Gaetano,M,10,183,1108,M,902019,EUR,957484800,F,70,70,False,18.0,13.0,,,0.0,2.0,3.0,11.0,16.0,,2.0,,,,59.0,36.0,6.6,12.0,0.0164557,2,,1.0,,9.0,4.0,4.0,2.0,,2.0,1.0,1.0,,4.0,,,1.0,3.0,,,2.0,,0.1225,,,1.0,,,,,,,,,,,
12499286,home,Cagliari,Roberto Piccoli,roberto-piccoli,R. Piccoli,F,91,190,1557,M,958982,EUR,980553600,F,91,91,False,12.0,10.0,,,0.0,4.0,4.0,6.0,9.0,1.0,2.0,,,,77.0,28.0,6.1,11.0,0.00731543,3,,1.0,3.0,16.0,4.0,3.0,,,,,2.0,1.0,2.0,,8.0,,3.0,2.0,1.0,,1.0,0.1781,0.3204,,1.0,,,,,,,1.0,,,,
