match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_totalContest,stat_wonContest,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_expectedGoals,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoalsOnTarget,stat_unsuccessfulTouch,stat_hitWoodwork,stat_blockedScoringAttempt,stat_totalOffside,stat_errorLeadToAShot,stat_goodHighClaim,stat_goals,stat_lastManTackle
12513722,home,Gil Vicente,Andrew,andrew,Andrew,G,42,189,2669,M,947893,EUR,993945600,G,42,42,False,25.0,23.0,4.0,2.0,0.0,23.0,23.0,2.0,2.0,7.0,3.0,4.0,2.0,2.0,90.0,37.0,7.1,2.0,5.24e-05,0,0.0703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513722,home,Gil Vicente,Zé Carlos,ze-carlos,Z. Carlos,D,2,177,69,M,1001662,EUR,901843200,D,2,2,False,53.0,37.0,10.0,2.0,0.0,27.0,30.0,27.0,2.0,2.0,,,,,90.0,74.0,7.1,20.0,0.175375,0,,Zé,Carlos,12.0,4.0,2.0,1.0,3.0,5.0,8.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,
12513722,home,Gil Vicente,Josué Sá,josue-sa,J. Sá,D,3,186,48,M,137982,EUR,708739200,D,23,23,False,66.0,62.0,7.0,4.0,0.0,50.0,50.0,16.0,2.0,2.0,,,,,90.0,74.0,6.7,5.0,0.00430574,0,,,,12.0,,,1.0,,2.0,4.0,,,,,2.0,2.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,
12513722,home,Gil Vicente,Rúben Fernandes,ruben-fernandes,R. Fernandes,D,26,186,38,M,59751,EUR,515721600,D,26,26,False,56.0,51.0,8.0,7.0,0.0,40.0,41.0,15.0,4.0,3.0,,,,,90.0,69.0,6.4,6.0,0.00298893,2,,,,11.0,,,3.0,4.0,5.0,4.0,,,,1.0,,,,2.0,,,,True,2.0,2.0,0.4027,,,,,,,,,,,
12513722,home,Gil Vicente,Sandro Cruz,cruz-sandro,S. Cruz,D,57,182,281,M,982146,EUR,989625600,D,57,57,False,36.0,24.0,5.0,1.0,0.0,13.0,15.0,22.0,7.0,3.0,,,,,90.0,70.0,7.2,16.0,0.01794,1,,,,11.0,1.0,,3.0,4.0,4.0,13.0,,,,,9.0,5.0,,1.0,,,,,1.0,,0.3384,1.0,1.0,0.652,,,,,,,,
12513722,home,Gil Vicente,Jesús Castillo,jesus-castillo,J. Castillo,M,6,183,642,M,978543,EUR,992217600,M,6,6,False,62.0,53.0,10.0,5.0,0.0,41.0,43.0,19.0,3.0,4.0,,,,,90.0,71.0,6.8,10.0,0.0175066,0,,,,12.0,,,1.0,2.0,2.0,3.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,2.0,,1.0,,,,,,,
12513722,home,Gil Vicente,Sergio Bermejo,sergio-bermejo,S. Bermejo,M,17,170,42,M,949449,EUR,871776000,M,22,22,False,19.0,17.0,,,0.0,7.0,8.0,11.0,,6.0,,,,,67.0,29.0,6.9,4.0,0.0304026,1,,Sergio,Bermejo,10.0,,,,,4.0,5.0,,1.0,,,2.0,1.0,3.0,3.0,,,,,,1.0,0.0296,,,,1.0,1.0,,,,,,
12513722,home,Gil Vicente,Santi García,santi-garcia,S. García,M,95,184,131,M,1084746,EUR,999043200,M,19,19,False,25.0,23.0,1.0,1.0,0.0,10.0,11.0,14.0,,2.0,,,,,67.0,40.0,6.5,7.0,0.0266441,1,,,,13.0,,,1.0,1.0,6.0,4.0,2.0,,,1.0,1.0,1.0,2.0,2.0,,1.0,,,,,0.0508,,1.0,,4.0,,1.0,,,,,
12513722,home,Gil Vicente,Kanya Fujimoto,kanya-fujimoto,K. Fujimoto,M,27,176,609,M,925987,EUR,930787200,M,10,10,False,24.0,19.0,2.0,1.0,0.0,4.0,5.0,23.0,,2.0,,,,,90.0,39.0,6.6,13.0,0.0698351,3,,,,15.0,4.0,,2.0,,5.0,1.0,,3.0,,,,,,,3.0,1.0,1.0,,1.0,2.0,0.1447,1.0,,0.0432,1.0,,,1.0,,,,
12513722,home,Gil Vicente,Félix Correia,felix-correia,F. Correia,M,27,178,1349,M,934498,EUR,980121600,M,71,71,False,39.0,33.0,6.0,4.0,0.0,7.0,7.0,41.0,,5.0,,,,,90.0,77.0,7.6,22.0,0.497208,2,,,,28.0,9.0,2.0,,,9.0,5.0,1.0,4.0,2.0,,3.0,1.0,1.0,,4.0,5.0,1.0,,1.0,2.0,0.5695,,1.0,,,,,,1.0,,,
