match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_clearanceOffLine,stat_interceptionWon,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_accurateCross,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,stat_wonContest,stat_hitWoodwork,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed,player_sofascoreId
12499772,home,VfL Bochum 1848,Patrick Drewes,patrick-drewes,P. Drewes,G,30,194,349,M,132607,EUR,728784000,G,27,27,False,26.0,22.0,12.0,9.0,0.0,14.0,15.0,8.0,11.0,1.0,1.0,1.0,6.0,2.0,2.0,3.0,1.0,90.0,38.0,7.4,4.0,0.00132957,0,0.5972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499772,home,VfL Bochum 1848,Tim Oermann,tim-oermann,T. Oermann,D,15,187,294,M,1138778,EUR,1065398400,D,14,14,False,32.0,26.0,5.0,1.0,0.0,15.0,19.0,11.0,14.0,1.0,4.0,1.0,5.0,,,,,80.0,50.0,6.9,9.0,0.0230695,0,,1.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12499772,home,VfL Bochum 1848,Ivan Ordets,ivan-ordets,I. Ordets,D,,194,123,M,137673,EUR,710553600,D,20,20,False,64.0,59.0,9.0,7.0,0.0,39.0,41.0,20.0,23.0,4.0,6.0,4.0,5.0,,,,,90.0,72.0,7.7,5.0,0.0181179,0,,,3.0,4.0,,,1.0,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12499772,home,VfL Bochum 1848,Bernardo,bernardo,Bernardo,D,13,186,580,M,828571,EUR,800409600,D,5,5,False,67.0,51.0,16.0,8.0,0.0,25.0,30.0,26.0,37.0,6.0,8.0,6.0,7.0,,,,,90.0,83.0,7.2,17.0,0.0436679,0,,,2.0,4.0,1.0,,1.0,2.0,1.0,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,
12499772,home,VfL Bochum 1848,Maximilian Wittek,maximilian-wittek,M. Wittek,D,32,173,158,M,254125,EUR,808963200,D,32,32,False,29.0,19.0,7.0,4.0,0.0,6.0,10.0,15.0,22.0,,3.0,,4.0,,,,,64.0,61.0,6.7,19.0,0.0738774,3,,3.0,1.0,4.0,,1.0,,3.0,2.0,3.0,1.0,,,,1.0,,,2.0,1.0,2.0,1.0,0.0471,,,,,,,,,,,,
12499772,home,VfL Bochum 1848,Ibrahima Sissoko,ibrahima-sissoko,I. Sissoko,M,28,193,1219,M,829093,EUR,877910400,M,6,6,False,44.0,39.0,3.0,3.0,0.0,18.0,21.0,21.0,23.0,4.0,11.0,7.0,7.0,,,,,90.0,71.0,6.9,12.0,0.111598,1,,,3.0,13.0,1.0,3.0,,5.0,4.0,1.0,,,2.0,2.0,5.0,,,,2.0,,1.0,0.1013,,,,,,,,,,,,
12499772,home,VfL Bochum 1848,Matúš Bero,matus-bero,M. Bero,M,19,181,413,M,187207,EUR,810345600,M,19,19,False,38.0,29.0,4.0,3.0,0.0,11.0,14.0,19.0,32.0,1.0,6.0,1.0,8.0,,,,,90.0,72.0,6.2,29.0,0.0898551,2,,8.0,4.0,16.0,2.0,8.0,,3.0,2.0,4.0,2.0,,,1.0,3.0,,,1.0,1.0,1.0,1.0,0.1092,1.0,,,,,,,,,,,
12499772,home,VfL Bochum 1848,Moritz Broschinski,moritz-broschinski,M. Broschinski,F,17,188,263,M,924205,EUR,969667200,M,29,29,False,10.0,6.0,,,0.0,2.0,2.0,4.0,10.0,,6.0,1.0,3.0,,,,,64.0,29.0,6.8,13.0,0.00949961,1,,2.0,1.0,6.0,,4.0,,3.0,3.0,3.0,1.0,,,2.0,1.0,,,,1.0,1.0,,0.0259,1.0,,,,,,,,,,,
12499772,home,VfL Bochum 1848,Dani de Wit,dani-de-wit,D. de Wit,M,20,183,552,M,855854,EUR,885945600,M,10,10,False,15.0,8.0,1.0,1.0,0.0,2.0,4.0,6.0,11.0,2.0,3.0,1.0,1.0,,,,,63.0,26.0,6.5,10.0,0.00663943,0,,,3.0,6.0,,2.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
12499772,home,VfL Bochum 1848,Gerrit Holtmann,gerrit-holtmann,G. Holtmann,F,17,183,244,M,253517,EUR,796089600,M,21,21,False,29.0,26.0,4.0,2.0,0.0,9.0,9.0,19.0,25.0,2.0,3.0,,1.0,,,,,89.0,52.0,7.0,12.0,0.10693,7,,5.0,3.0,6.0,1.0,1.0,,,,4.0,1.0,,,1.0,,,,2.0,1.0,5.0,2.0,0.2011,,1.0,,,,,,,,,,
