match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_outfielderBlock,player_firstName,player_lastName,stat_challengeLost,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,stat_aerialLost,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,player_sofascoreId,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_bigChanceMissed,stat_totalOffside,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_keeperSaveValue,stat_goalkeeperValueNormalized,stat_ownGoals
14109658,away,Kocaelispor,Botond Balogh,botond-balogh,B. Balogh,D,5,189.0,1287,M,983510,EUR,1023321600,D,5,5,False,,45.0,39.0,6.0,3.0,0.0,26.0,26.0,13.0,19.0,4.0,,,85.0,55.0,6.3,9.0,0.0206773,0,,0.09,0.14,-0.64,,1.0,5.0,1.0,2.0,2.0,,,,1.0,,,,,,,,,3.0,,,1.0,,,,,,,,,,,1.0,,,,,,
14109658,away,Kocaelispor,Oleksandr Syrota,oleksandr-syrota,O. Syrota,D,34,193.0,158,M,976367,EUR,960681600,D,34,34,False,,73.0,65.0,12.0,6.0,0.0,43.0,44.0,22.0,29.0,3.0,,,90.0,83.0,5.9,9.0,0.0109796,0,,0.24,0.14,-0.99,,1.0,2.0,1.0,5.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
14109658,away,Kocaelispor,Muharrem Cinan,muharrem-cinan,M. Cinan,D,3,179.0,33,M,957582,EUR,895017600,D,3,3,False,,43.0,35.0,4.0,2.0,0.0,21.0,26.0,14.0,17.0,6.0,,,90.0,63.0,5.8,18.0,0.00939534,0,,-0.08,0.04,-0.6,6.0,,4.0,4.0,,1.0,2.0,2.0,1.0,,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,
14109658,away,Kocaelispor,Habib Keita,habib-keita,H. Keita,M,8,182.0,539,M,1082953,EUR,1012867200,M,8,8,False,,40.0,36.0,,,1.0,20.0,21.0,16.0,19.0,4.0,,,70.0,44.0,6.5,7.0,0.0721093,0,,-0.1,0.27,-0.11,,1.0,3.0,2.0,,,,,1.0,2.0,,Habib Keita,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,
14109658,away,Kocaelispor,Show,show,Show,M,14,180.0,737,M,933115,EUR,920678400,M,14,14,False,,58.0,51.0,4.0,1.0,0.0,35.0,36.0,16.0,22.0,5.0,,,90.0,77.0,7.3,10.0,0.107949,1,,0.28,0.12,0.29,,,3.0,4.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,,,1.0,,,1.0,,2.0,,1.0,,,0.0262,0.0,,1.0,,,,,,,,,,,,
14109658,away,Kocaelispor,Rigoberto Rivas,rigoberto-rivas,R. Rivas,M,99,178.0,347,M,837742,EUR,901843200,M,99,99,False,,21.0,14.0,3.0,2.0,0.0,7.0,9.0,7.0,12.0,5.0,,,78.0,38.0,6.1,14.0,0.0285971,0,,-0.15,0.24,-0.21,4.0,,10.0,4.0,,,2.0,2.0,1.0,2.0,,,,3.0,1.0,1.0,1.0,2.0,3.0,,1.0,2.0,,,,,,,,,,,,,,,,,
14109658,away,Kocaelispor,Tayfur Bingöl,tayfur-bingol,T. Bingöl,M,75,180.0,459,M,255957,EUR,726710400,M,75,75,False,,29.0,27.0,2.0,2.0,0.0,6.0,6.0,21.0,23.0,6.0,,,78.0,49.0,7.6,10.0,0.147244,3,,-0.02,0.13,-0.12,3.0,,7.0,6.0,,,,,3.0,2.0,,,,1.0,3.0,3.0,3.0,,2.0,,1.0,2.0,1.0,0.1521,0.51,,1.0,1.0,0.438,1.0,,,,,,,,,
14109658,away,Kocaelispor,Darko Churlinov,darko-churlinov,D. Churlinov,M,17,180.0,491,M,876345,EUR,963273600,M,17,17,False,,21.0,15.0,3.0,,0.0,8.0,8.0,7.0,13.0,1.0,,,45.0,31.0,6.5,9.0,0.0441068,0,,0.04,0.08,-0.18,3.0,,4.0,4.0,,,,,1.0,,,,,1.0,4.0,3.0,,1.0,,,,2.0,,,,,,,,,,1.0,,,,,,,
14109658,away,Kocaelispor,Bruno Petković,bruno-petkovic,B. Petković,F,9,192.0,6171,M,309306,EUR,779673600,F,9,9,False,True,18.0,10.0,1.0,,0.0,5.0,6.0,5.0,12.0,3.0,,,90.0,40.0,6.0,18.0,0.0252935,1,,-0.12,-0.33,0.14,,1.0,9.0,5.0,4.0,,1.0,,3.0,3.0,,,,,1.0,,5.0,,3.0,,,4.0,,0.0422,-0.31,brunopetkovic,1.0,,,,,,,,,,,,
14109658,away,Kocaelispor,Tarkan Serbest,tarkan-serbest,T. Serbest,D,15,184.0,53,M,164099,EUR,767836800,D,15,15,True,,29.0,25.0,7.0,4.0,0.0,19.0,20.0,6.0,9.0,,,,45.0,35.0,6.5,4.0,0.00143009,0,,0.02,0.05,-0.2,,2.0,3.0,3.0,2.0,,,,1.0,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14109658,away,Kocaelispor,Joseph Nonge,joseph-nonge-boende,J. Nonge,M,98,184.0,698,M,1149138,EUR,1116115200,M,98,98,True,,7.0,7.0,,,0.0,4.0,4.0,3.0,3.0,,,,20.0,9.0,6.7,,0.00949416,1,,0.05,0.07,-0.04,,2.0,1.0,3.0,,,,,1.0,,,Joseph Nonge Boende,,,,,,,,,,1.0,,0.0343,-0.2,,1.0,,,,,,,,,,,,
14109658,away,Kocaelispor,Can Keleş,can-keles,C. Keleş,F,70,180.0,519,M,918408,EUR,999388800,F,70,70,True,,3.0,3.0,,,0.0,3.0,3.0,,0.0,2.0,,,12.0,8.0,6.4,4.0,2.735e-05,0,,-0.06,0.12,0.0,2.0,,1.0,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,
14109658,away,Kocaelispor,Daniel Agyei,daniel-agyei,D. Agyei,F,7,183.0,368,M,793227,EUR,865123200,F,7,7,True,,2.0,1.0,,,0.0,,,1.0,2.0,,,,12.0,8.0,6.2,5.0,0.00021839,0,,-0.1,0.02,0.0,2.0,,3.0,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
14109658,away,Kocaelispor,Serdar Dursun,serdar-dursun,S. Dursun,F,19,190.0,1064,M,123917,EUR,687830400,F,19,19,True,,3.0,2.0,,,0.0,,,2.0,3.0,,,,13.0,3.0,6.4,1.0,0.00581083,0,,0.0,,0.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109658,away,Kocaelispor,Gökhan Değirmenci,gokhan-degirmenci,G. Değirmenci,G,35,184.0,46,M,60317,EUR,606441600,G,35,35,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109658,away,Kocaelispor,Ahmet Oğuz,ahmet-oguz,A. Oğuz,D,22,175.0,120,M,603902,EUR,727142400,D,22,22,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109658,away,Kocaelispor,Samet Yalçın,samet-yalcin,S. Yalçın,M,23,180.0,46,M,789102,EUR,762652800,M,23,23,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109658,away,Kocaelispor,Karol Linetty,karol-linetty,K. Linetty,M,10,176.0,2100,M,189135,EUR,791683200,M,10,10,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109658,away,Kocaelispor,Furkan Gedik,furkan-gedik,F. Gedik,F,18,,41,M,1129463,EUR,1026432000,F,18,18,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
