match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_keyPass,stat_dispossessed,stat_outfielderBlock,stat_totalContest,stat_fouls,player_firstName,player_lastName,stat_goalAssist,stat_wonContest,stat_blockedScoringAttempt,stat_penaltyConceded,stat_bigChanceCreated,captain,stat_shotOffTarget,stat_hitWoodwork,stat_bigChanceMissed,stat_totalOffside,stat_saves,stat_penaltyWon
10433870,home,Kayserispor,Bilal Bayazit,bilal-bayazit,B. Bayazit,G,25,185,235,M,825850,EUR,923529600,G,25,25,False,21.0,18.0,6.0,3.0,16.0,16.0,2.0,5.0,1.0,5.0,1.0,90.0,25.0,6.0,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433870,home,Kayserispor,Onur Bulut,onur-bulut,O. Bulut,D,6,179,562,M,142494,EUR,766454400,D,38,38,False,71.0,66.0,6.0,6.0,27.0,28.0,40.0,46.0,1.0,10.0,,90.0,89.0,7.0,8.0,0,3.0,1.0,1.0,6.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10433870,home,Kayserispor,Majid Hosseini,majid-hosseini,M. Hosseini,D,5,187,803,M,359332,EUR,835228800,D,5,5,False,84.0,78.0,7.0,5.0,44.0,47.0,34.0,37.0,2.0,8.0,,90.0,90.0,7.2,7.0,1,,,2.0,3.0,1.0,,,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10433870,home,Kayserispor,Dimitris Kolovetsios,dimitris-kolovetsios,D. Kolovetsios,D,,183,103,M,68228,EUR,687571200,D,4,4,False,84.0,74.0,8.0,2.0,41.0,43.0,33.0,41.0,2.0,4.0,,80.0,93.0,6.4,12.0,0,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,
10433870,home,Kayserispor,Lionel Carole,lionel-carole,L. Carole,D,23,180,84,M,122922,EUR,671414400,D,21,21,False,70.0,59.0,6.0,3.0,28.0,30.0,31.0,42.0,,5.0,,90.0,96.0,6.2,19.0,0,2.0,,2.0,4.0,1.0,,,2.0,2.0,3.0,6.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
10433870,home,Kayserispor,Campanharo,campanharo,Campanharo,M,,178,121,M,220094,EUR,702345600,M,88,88,False,45.0,41.0,2.0,2.0,25.0,26.0,16.0,19.0,1.0,1.0,,61.0,54.0,6.6,7.0,0,,,,2.0,,1.0,1.0,2.0,1.0,1.0,3.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
10433870,home,Kayserispor,Emrah Başsan,emrah-bassan,E. Başsan,M,14,177,60,M,174141,EUR,703468800,M,17,17,False,34.0,28.0,3.0,1.0,11.0,11.0,23.0,34.0,,8.0,,80.0,62.0,7.9,15.0,2,11.0,6.0,,6.0,1.0,2.0,2.0,3.0,2.0,,2.0,,1.0,,5.0,1.0,,2.0,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,
10433870,home,Kayserispor,Olivier Kemen,olivier-kemen,O. Kemen,M,8,177,827,M,280447,EUR,837820800,M,10,10,False,19.0,17.0,1.0,,5.0,5.0,12.0,14.0,,2.0,,71.0,26.0,6.7,4.0,0,,,,3.0,,,,2.0,2.0,,,,,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,
10433870,home,Kayserispor,Bernard Mensah,bernard-mensah,B. Mensah,M,43,180,416,M,546220,EUR,782352000,M,43,43,False,68.0,62.0,6.0,3.0,17.0,17.0,46.0,53.0,1.0,5.0,,90.0,90.0,7.4,12.0,2,2.0,1.0,1.0,7.0,1.0,1.0,1.0,3.0,3.0,1.0,6.0,,,,1.0,1.0,1.0,2.0,4.0,,,,2.0,,,,True,2.0,1.0,,,,
10433870,home,Kayserispor,Mame Thiam,mame-thiam,M. Thiam,F,17,185,1076,M,180981,EUR,718588800,M,27,27,False,24.0,19.0,1.0,,8.0,8.0,11.0,16.0,,2.0,,61.0,33.0,6.3,8.0,1,,,,3.0,,,,3.0,1.0,2.0,5.0,1.0,,,,,,2.0,2.0,,,,2.0,1.0,,,,,,,,,
